xp_per_min,tower_damage,stuns,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,buybacks,assists,level,duration,match_id,start_time,win,hero_id,account_id,leaguename
942,8124,1.50513,258,146,64,477,10,6536,56667,677,11,3,36834,59195,1,18,30,2872,5153918439,1576306218,false,102,117199412,Masters  Tournament
931,3107,0,271,144,44,567,3,315,33186,717,16,3,32637,33186,1,9,30,3002,5131722791,1574934551,false,102,117199412,ASIA CHALLENGER LEAGUE
897,4642,16.3458,212,123,55,307,6,596,26875,557,19,5,33198,26875,1,15,29,2523,5134614375,1575100309,true,102,110014441,Asian Hero League
877,4433,5.04688,235,124,36,436,9,11857,45634,603,9,12,62247,45634,2,18,30,3648,5144790880,1575712663,false,102,117199412,ASIA CHALLENGER LEAGUE
875,4139,31.6747,271,163,72,527,10,3315,42165,768,12,3,29198,42165,1,20,25,2848,5112240453,1573721050,true,102,298688649,Asian DOTA2 Gold Occupation  Competition
875,1428,3.81294,221,139,61,597,6,5625,32276,619,5,10,63004,32276,1,7,25,4178,5113485621,1573809889,false,102,1032763275,ASIA CHALLENGER LEAGUE
868,3288,0,181,101,45,215,10,3876,33672,495,15,5,42048,33672,1,16,25,2564,5036576788,1569218969,false,102,1009790652,Asian DOTA2 Gold Occupation Invitational Competition S3
857,1052,0,183,104,44,265,11,870,36294,525,2,3,25008,36294,1,13,28,2545,5286358819,1583917472,false,102,1032651180,Masters  Tournament
846,5651,0,253,160,67,379,3,765,48649,622,12,5,38852,48649,1,17,25,2649,5128521985,1574751494,false,102,235347502,Asian DOTA2 Gold Occupation  Competition
841,1957,3.43253,220,155,57,286,6,0,31536,526,18,5,21968,31536,1,17,25,2316,3812304070,1522645479,false,102,253962772,Dota 2 Professional League 2016
836,3201,0,193,136,61,331,5,16036,20089,511,10,3,21111,20089,1,20,30,2990,5142049969,1575543917,true,102,1045552496,ASIA CHALLENGER LEAGUE
835,3521,0,132,96,40,302,9,4270,41159,523,11,5,36029,41159,1,18,25,2928,5090230646,1572328931,false,102,179510301," Hainan  Master League "
835,3365,4.28125,214,133,56,492,4,13439,32905,618,21,8,60217,32905,1,23,30,3585,5140610619,1575453128,false,102,373706861,ASIA CHALLENGER LEAGUE
835,2985,0,202,106,47,248,9,420,25773,521,11,6,20441,25773,1,10,25,2128,5209155367,1579854162,false,102,1056905305,Masters  Tournament
831,4707,0,191,106,52,308,14,7610,50964,568,6,5,46357,50964,1,11,27,2510,5156859906,1576477776,false,102,1048008448,Masters  Tournament
827,7566,0,209,113,49,263,7,985,30726,618,6,10,32002,30726,1,13,26,2199,5142965535,1575600031,true,102,121416684,Asian DOTA2 Gold Occupation  Competition
824,21787,5.43171,234,127,41,571,6,1485,55594,723,7,10,65034,55594,2,21,29,3379,5395138070,1588540086,true,102,164685175,Realms Collide
823,2073,33.78,159,114,45,282,17,3784,66700,556,8,9,58358,66700,1,13,28,2912,5160629577,1576750881,false,102,121416684,Asian DOTA2 Gold Occupation  Competition
818,7373,0,180,130,49,294,10,3717,30924,588,5,9,42225,30924,1,16,29,2497,5131430977,1574914282,false,102,1009991723,Asian DOTA2 Gold Occupation  Competition
817,5438,0,255,141,54,665,12,1500,115325,715,9,8,53294,115325,2,17,25,3892,3231644812,1496889045,false,102,118073569,ProDotA Cup Series by Azubu.tv
813,1546,3.51196,189,110,35,522,9,500,37025,716,4,3,34794,37025,1,14,25,3269,3671061970,1515578623,true,102,93616251,ESL One Katowice 2018 powered by Intel
813,879,0,34,22,6,35,5,12266,15886,331,2,9,22260,15886,1,24,24,1963,5027037637,1568716608,true,102,860622456,Asian DOTA2 Gold Occupation Invitational Competition S3
809,1756,0,191,131,54,251,7,17646,11091,529,10,2,20896,11091,1,15,25,2409,5114642685,1573881273,true,102,53178236,QCF.kz
805,2443,0,134,102,45,150,12,3899,31935,503,4,13,31033,31935,1,16,25,2238,5100513240,1572956658,true,102,1014766785,Asian DOTA2 Gold Occupation  Competition
803,2613,0,227,153,67,243,4,4839,26894,538,5,3,16932,26894,1,18,25,2096,3677501971,1515870581,true,102,117956848,PGL BUCHAREST MAJOR 2018
803,2284,0,112,83,40,124,6,10324,17536,423,2,7,27042,17536,1,24,25,2129,5070282507,1571130113,true,102,143051496,VARENA赛事
