xp_per_min,tower_damage,stuns,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,buybacks,assists,level,duration,match_id,start_time,win,hero_id,account_id,leaguename
1029,6706,51.0597,292,194,78,465,22,0,62436,1200,5,6,40630,62436,1,12,25,2575,4955843040,1565323794,true,73,204281778,Asian DOTA2 Gold Occupation Invitational Competition S3
1023,8393,76.3906,260,164,53,281,16,0,53101,918,11,2,20384,53101,1,19,25,2197,4786765273,1558887664,true,73,189536858,"Hardstyle Minor League "
995,15096,42.6356,301,192,73,347,15,0,50782,1048,7,8,31399,50782,1,14,25,2117,4992162450,1566985719,true,73,244058707,Asian DOTA2 Gold Occupation Invitational Competition S3
984,3213,51.4243,427,258,89,573,14,0,36556,1311,3,6,29763,36556,2,9,25,2561,4950320445,1565075539,true,73,995062523,Asian DOTA2 Gold Occupation Invitational Competition S3
959,10867,31.9024,341,215,71,352,8,0,24591,1129,9,6,17111,24591,1,19,25,1920,4961928612,1565560714,true,73,74558715,COPA MASGAMERS 2019
949,5786,116.998,373,237,92,535,13,0,55290,1096,2,5,66928,55290,1,14,29,2776,5718730313,1606475518,false,73,231622898,Perfect World League
928,13554,99.4962,294,195,71,499,19,0,66861,1084,8,4,67076,66861,2,31,25,3070,5096956688,1572737636,true,73,298827500,Dotabuff Reach - Pinnacle Division
921,13108,73.1558,383,269,80,720,22,0,74462,1174,19,4,65599,74462,2,14,25,3705,4843557083,1560686647,true,73,277661058,YouTube SIVVIT - Big Russian Show
920,3253,47.3911,293,169,50,389,7,0,40030,935,7,9,39352,40030,1,10,25,2583,4997322714,1567221111,false,73,1009469896,Asian DOTA2 Gold Occupation Invitational Competition S3
907,8653,16.6934,340,213,61,350,8,0,19167,1072,8,2,17936,19167,1,15,25,1871,4941550824,1564726624,true,73,175538337,OES CUP  #2
905,168,30.9992,266,186,67,305,5,0,36047,846,10,8,34105,36047,1,3,25,2014,4952258106,1565162674,false,73,904511968,Destiny Cup
899,7512,58.0287,381,196,62,678,9,0,45264,1310,19,5,25068,45264,1,22,25,2854,4957812981,1565407463,false,73,904511968,Destiny Cup
895,21408,41.3748,312,193,60,442,20,0,43847,1021,5,5,52282,43847,2,8,27,2789,5802434834,1611584107,true,73,366294622,Snow Sweet Snow #1
895,13896,55.7591,397,226,73,718,17,0,49112,1264,5,4,39693,49112,3,11,25,3253,5098621216,1572830227,false,73,86745912,Dotabuff Reach - Pinnacle Division
892,9838,48.1183,251,162,66,286,16,0,29244,1089,12,6,29214,36689,1,20,25,2185,1939966560,1447691004,true,73,158571074,Nxtgame Eternal Dota League Season 4
