xp_per_min,tower_damage,stuns,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,buybacks,assists,level,duration,match_id,start_time,win,hero_id,account_id,leaguename
1020,17273,56.6931,354,215,62,628,18,0,56154,934,35,2,25158,56154,1,12,25,2824,4806297124,1559487563,true,1,373488044,TNG League 1
1014,4421,24.1106,442,221,62,504,12,0,18377,847,0,2,26318,18377,1,5,28,2111,5704467187,1605581774,false,1,1032918275,Asia Challenger league
991,6146,2.93448,226,153,42,228,11,0,19192,602,6,6,16273,19192,1,8,26,1859,5586833533,1598511450,true,1,397480648,RED STAR CUP
987,4926,7.54348,340,177,61,421,16,0,57130,803,18,3,27245,57130,1,18,25,2150,4874176083,1561869104,true,1,389237573,Asian DOTA2 Gold Occupation Invitational Competition S2
983,4766,18.2289,370,215,55,472,27,0,55179,870,25,5,26821,55179,1,11,29,2453,5506056271,1594318599,true,1,167976729,Hot Price Season 4
980,11558,48.6553,336,196,56,428,23,0,67238,896,31,4,22197,67238,1,9,25,2390,4260549120,1544268928,true,1,361564937,E-SPORT LEAGUE-DICKYGAMING
974,5710,24.5607,391,187,54,507,11,0,31318,785,19,4,17883,31318,1,4,27,2187,5291927182,1584191402,false,1,79066480,Hot Price League
968,3594,16.6337,374,167,74,559,10,0,30318,818,11,5,23161,30318,1,9,29,2404,5145938859,1575773039,false,1,244058707,Asian DOTA2 Gold Occupation  Competition
966,23680,24.5357,399,207,60,747,15,0,42844,932,21,4,24231,42844,1,15,30,3060,5599028816,1599204417,false,1,100594231,ESL One Thailand 2020 Online powered by Intel
961,14118,6.4605,460,205,42,1039,12,0,20331,994,22,4,18647,20331,1,2,25,3381,3330264429,1500764398,true,1,105248644,DreamLeague season 7
959,4772,9.52696,370,219,74,406,10,0,25054,707,20,4,18549,28046,1,3,26,2067,5259419112,1582558531,false,1,1055998509,Asia Challenger league
958,6074,12.1381,294,140,43,323,13,0,24104,774,11,6,20324,24104,1,16,27,1932,5725454092,1606881200,true,1,868787608,The Crown Cup
957,18832,50.1899,373,193,60,667,15,0,53737,895,12,7,39404,53737,1,16,25,3165,4992334191,1566993184,true,1,93119769,LPL PRO Dota 2 ANZ Championship Season 3 2019
