xp_per_min,tower_damage,stuns,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,buybacks,assists,level,duration,match_id,start_time,win,hero_id,account_id,leaguename
992,5600,0,222,134,44,231,11,0,39920,562,15,7,43221,39920,1,10,25,2041,5202719893,1579417504,false,113,158659942,Asian DOTA2 Gold Occupation  Competition
953,7765,121.781,315,144,50,850,20,0,125143,992,20,11,100121,125143,3,18,25,3964,4954312190,1565254736,true,113,191364625,Asian DOTA2 Gold Occupation Invitational Competition S3
928,2193,0,307,150,38,398,14,0,50880,835,7,5,47140,50880,1,8,25,2384,5068844009,1571039844,false,113,136335606,ASIA CHALLENGER LEAGUE
922,13900,0,329,157,37,390,13,0,38993,920,11,5,25421,38993,1,11,25,2032,5072913223,1571300531,true,113,1032760693,ASIA CHALLENGER LEAGUE
899,2245,0,256,131,38,399,17,0,66303,793,17,5,55467,66303,1,11,25,2617,4631286965,1554786080,false,113,194673410,CHINA FUTURE  CUP
894,7791,15.5195,245,141,45,265,19,0,49976,907,13,3,30796,49976,1,12,25,1918,5740834388,1607865455,true,113,1055411613,YouTube SIVVIT - Big Russian Show
879,5904,0,263,165,48,313,7,0,35827,787,9,8,31107,35827,1,16,25,2006,5733803043,1607410805,true,113,218522118,The Crown Cup
872,6922,71.0732,354,205,72,761,9,0,80496,855,12,7,75022,80496,2,19,25,3597,5109787630,1573548286,true,113,139212407,Asian DOTA2 Gold Occupation  Competition
871,13449,0,273,137,51,460,24,0,79843,953,17,5,63640,79843,1,19,29,2681,5587708701,1598554023,true,113,86745912,OMEGA League
868,9475,0,280,148,55,489,25,0,115817,898,15,13,87296,115817,1,9,25,2936,4993801114,1567064708,false,113,283503694,Asian DOTA2 Gold Occupation Invitational Competition S3
836,2758,0,279,126,29,435,5,0,28081,744,9,6,39071,28081,1,4,25,2480,4904924732,1563187756,false,113,248300049,joinDOTA League #16
827,669,0,83,45,19,162,13,0,35351,558,8,14,54075,35351,1,12,25,2388,4934085035,1564412642,false,113,240029997,FUN MATCH LEAGUE
825,5685,15.2854,288,195,57,407,17,0,58188,852,8,4,38329,58188,1,8,25,2353,4967721543,1565844748,true,113,94054712,The International 2019
823,5259,0,339,189,66,699,12,730,85923,837,2,4,98180,85923,1,7,29,3369,5248596319,1582014568,true,113,1058098132,Asia Challenger league
817,5384,22.8779,243,145,56,336,10,0,31621,786,20,5,27029,32716,1,12,25,2458,4136594429,1537873354,true,113,201594424,DreamLeague Season 10
815,3977,0,324,164,51,526,14,0,66217,826,17,4,68874,66217,1,24,26,2740,5742837345,1607999701,false,113,110583422,BTS Dota 2 Online
812,27954,0,337,160,67,720,17,0,144838,937,15,2,90261,144838,1,12,30,3621,5650547948,1602301866,true,113,131303632,4D ESPORTS
811,19263,109.083,277,128,54,766,15,0,118703,804,14,8,154621,118703,2,15,28,4258,5795785100,1611206706,false,113,262367336,Asian Blood Roded Championship
801,3918,0,288,115,47,688,13,0,100888,839,27,3,86550,100888,1,15,25,3445,4715502233,1556882923,false,113,343797829,TNG League 1
798,2175,8.46226,241,118,47,495,13,0,57790,807,16,3,47685,57790,1,11,25,3100,5066509444,1570905597,false,113,109255806,CUP OF THE ANCIENTS 2.0
790,9205,20.2021,315,164,53,380,13,0,26411,843,22,1,19778,26411,1,15,24,2110,5556241463,1596787213,true,113,177804322,Oceanic Esports Dota League Season 2
789,22001,30.5903,295,155,51,1025,22,0,129112,1063,19,6,175239,129112,2,12,30,4820,5585434625,1598429065,false,113,177804322,Oceanic Esports Dota League Season 2
789,6632,44.2913,257,138,43,428,11,0,58193,859,10,7,52164,58193,2,17,25,2599,5047407162,1569815630,true,113,1025744545,Asian DOTA2 Gold Occupation Invitational Competition S3
788,19594,0,295,171,60,563,14,0,103357,918,17,2,88647,103357,1,16,27,2975,5595904418,1598997217,true,113,110583422,OMEGA League
788,3672,56.0576,361,175,49,559,7,0,45447,858,14,2,22276,45447,1,11,25,2612,4933482162,1564397039,true,113,906563731,Betway Dota 2 Asia League - Season 2
787,8063,0,268,139,30,313,9,0,38839,633,9,3,28949,38839,1,12,24,2104,5316727884,1585305393,true,113,1042319032,RED STAR CUP
782,11235,39.936,352,186,61,582,9,0,92257,851,20,3,61210,92257,1,12,25,3013,4777955500,1558635131,true,113,97590558,StarLadder ImbaTV Dota2 Minor #2
779,2339,0,281,151,44,379,20,0,50773,824,21,6,35604,50846,1,12,25,2377,4182995401,1540302093,true,113,230328929,Autumn Cup
778,10153,17.5929,258,120,35,486,9,0,49604,772,18,13,56785,49604,1,12,25,2914,5003346152,1567487409,false,113,995062523,Asian DOTA2 Gold Occupation Invitational Competition S3
778,5131,110.358,249,135,51,850,10,0,87909,951,20,3,161634,87909,2,14,30,3860,5817055171,1612414960,false,113,118233883,DPC Winter 21 League (SEA) presented by PGL
775,14049,12.2842,241,136,50,926,14,0,144289,964,15,6,140586,144289,3,20,30,5061,5621019809,1600504013,false,113,389022189,BTS Dota 2 Online
773,11818,38.4313,322,188,62,432,11,0,49500,819,14,3,33046,49500,1,11,25,2355,4925748555,1564100243,true,113,94004717,DOTA Summit 10
773,9723,48.088,324,168,44,724,21,0,55586,955,18,5,44037,55586,2,16,25,3372,4894322762,1562703217,true,113,94004717,The International 2019
772,2461,0,309,174,55,405,7,0,36341,721,8,4,38449,36341,1,8,25,2257,5001575382,1567396751,false,113,432546468,ASIA CHALLENGER LEAGUE
767,15051,40.6405,292,129,41,833,16,0,103036,957,13,10,95295,103036,1,33,25,4074,4857772290,1561213511,true,113,121769650,EPICENTER Major 2019
767,3741,0,266,175,45,275,7,0,43699,542,15,6,42066,43699,1,13,24,2029,5213436948,1580116564,false,113,225364949,Asian DOTA2 Gold Occupation  Competition
765,0,0,179,104,30,179,8,0,28470,585,12,13,45199,28470,1,15,23,1814,5025574618,1568630859,false,113,1001005037,Masters  Tournament
764,15654,48.048,326,188,65,572,18,0,122857,909,18,3,143602,122857,1,9,29,3377,5736944025,1607617455,false,113,389022189,BTS Dota 2 Online
763,15137,0,292,153,54,493,8,0,48244,880,26,4,58541,48244,1,9,27,2548,5679658464,1604121800,true,113,392565237,Monster Energy DOTA Summit 13 Online
761,3427,100.91,254,138,47,512,17,0,73358,801,12,5,55190,73358,1,7,25,3165,5115284807,1573912628,false,113,86745912,MDL Chengdu Major
759,11281,42.7722,272,119,40,736,14,0,109712,986,17,3,78695,109712,1,14,30,3622,5149992514,1576038705,true,113,202217968,WESG 2019-2020 Online Qualifiers
756,6713,0,273,144,47,468,10,0,47502,790,17,8,57724,47502,1,8,25,2953,4791483362,1559045448,true,113,105248644,ESL One Birmingham 2019 powered by Intel
755,10920,2.00674,342,182,72,747,7,0,65376,957,15,6,62855,65376,2,6,27,3157,5553803068,1596640242,false,113,99155835,OMEGA League
753,15709,0,314,138,46,648,10,0,54941,939,17,3,51032,54941,1,10,27,2729,5575846005,1597874784,true,113,43276219,OMEGA League
752,10472,36.6916,309,156,61,705,13,0,46468,893,14,5,55520,46468,1,12,27,3352,5832258651,1613196876,true,113,104758571,DPC Winter 21 League (SEA) presented by PGL
751,70,0,264,172,48,291,11,0,36099,669,10,6,31275,36099,1,10,23,1962,5003548535,1567499375,false,113,178894154,ASIA CHALLENGER LEAGUE
749,21008,91.0769,293,180,52,578,15,0,73943,930,16,2,63981,73943,1,14,28,2896,5762607593,1609222137,true,113,220154695,WCAA冬季电子竞技挑战赛
748,17846,2.4082,235,97,24,636,9,0,55018,847,5,7,55476,55018,1,9,28,3242,5680556826,1604159035,false,113,31388939,Dota Saudi League
747,5354,0,263,151,36,420,8,0,57000,711,15,8,51114,57000,1,13,25,2634,4928456073,1564210539,false,113,177909246,Betway Dota 2 Asia League - Season 2
747,2118,71.6735,283,125,41,616,5,0,88030,757,13,4,64961,88030,1,7,25,3448,4920264161,1563877412,false,113,118233883,Betway Dota 2 Asia League - Season 2
745,351,38.1299,267,153,52,385,3,0,26333,697,15,3,28760,26333,1,5,24,2278,5811658334,1612096036,false,113,227657377,DPC Winter 21 League (CN) presented by Perfect World
744,6882,0,282,125,44,497,12,0,61865,834,10,8,62537,61865,2,11,27,2840,5647499639,1602101515,false,113,131706718,4D ESPORTS
741,4290,0,216,112,33,342,12,0,40008,768,8,6,17663,40008,1,14,25,2291,4155279376,1538832521,true,113,170343586,YouTube SIVVIT - Big Russian Show
741,1206,31.3401,304,177,52,444,10,0,48946,711,22,2,52098,48946,1,11,25,2677,4918753490,1563805361,false,113,193178137,joinDOTA League #16
740,14886,0,293,168,48,332,8,0,33090,774,10,5,32650,33090,1,5,23,2085,5655501689,1602608726,true,113,119315361,4D ESPORTS
740,8516,92.4125,220,118,33,676,18,0,69425,885,18,5,71075,69425,2,7,25,3930,3817971955,1522952917,false,113,114070719,CZ-SK Dota 2 League Season 10
739,8660,5.25112,319,174,56,764,11,0,80274,848,38,7,93864,80274,2,17,29,3980,5363038222,1587194050,true,113,953730230,Amadeus Cup
739,5516,0,324,130,38,603,12,0,57881,809,14,7,52712,57881,2,10,25,3123,5071417483,1571202174,false,113,1032760693,ASIA CHALLENGER LEAGUE
735,6246,0,234,121,38,459,18,0,62073,843,19,4,39752,62073,1,9,25,2740,4946963692,1564924570,true,113,192230105,YouTube SIVVIT - Big Russian Show
734,12274,17.5598,283,159,54,286,4,0,24163,768,15,1,13695,24163,1,15,22,1812,5040906943,1569471207,true,113,995062523,Asian DOTA2 Gold Occupation Invitational Competition S3
731,7213,95.3796,273,136,41,482,9,0,55914,793,9,3,60869,55914,1,12,25,2819,4637334699,1554913708,false,113,107579895,Mekansm League
730,3569,35.1865,241,119,51,389,14,395,62576,764,6,7,46636,62932,1,21,25,2869,4161575947,1539159509,true,113,176996872,Asia Pro League
727,5367,0,314,150,44,528,7,0,41644,753,15,5,50242,41644,1,6,26,2962,5623465268,1600619162,false,113,97590558,AMD SAPPHIRE OGA DOTA PIT EU/CIS
724,18670,148.491,288,146,54,728,12,0,108991,878,16,6,145020,108991,3,18,28,4108,5780120003,1610259339,false,113,227657377,DPC Winter 21 Qualifier (CN) presented by Perfect World
