xp_per_min,tower_damage,stuns,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,buybacks,assists,level,duration,match_id,start_time,win,hero_id,account_id,leaguename
981,2931,1.50513,265,152,45,281,22,0,31274,639,8,7,21921,31274,1,5,26,2011,5247579042,1581948673,false,4,1021028995,Asia Challenger league
960,3748,0,373,218,61,816,10,1219,35646,798,30,4,37267,35646,1,6,30,3646,5149131398,1575978458,false,4,1029387987,ASIA CHALLENGER LEAGUE
951,3268,7.62598,251,170,61,279,10,0,18065,627,3,4,17514,18065,1,5,26,1991,5622444838,1600576668,true,4,140571204,Asia Challenger league
933,1445,0,229,155,68,259,12,0,30173,602,13,7,29695,30173,1,6,26,2119,5168510485,1577253614,false,4,1032699094,Masters  Tournament
929,1685,0,217,118,53,251,13,0,33876,568,21,5,32173,33876,1,12,25,2039,5229563994,1580999410,false,4,198869773,Turkmenistan National League
920,1390,17.6323,276,151,60,455,14,2365,37637,712,14,6,22078,37637,1,16,25,2386,3428036119,1504710312,false,4,189525460,WellPlay Invitational by VitalBet
919,1938,4.3147,243,152,58,264,13,401,20607,627,2,7,25844,20607,1,13,26,1869,5197687962,1579081293,true,4,1058156584,Masters  Tournament
911,4055,0,353,227,94,665,11,448,45372,793,25,5,47752,45372,1,8,25,3233,5127310472,1574670725,false,4,1042041719,ASIA CHALLENGER LEAGUE
909,231,0,220,130,55,316,21,907,38025,628,18,6,39801,38025,1,9,25,2471,4125865178,1537348020,false,4,103910993,The Kuala Lumpur Major
908,57,5.04126,288,182,61,307,14,650,25259,620,11,5,27135,25259,1,4,25,1907,5266814129,1582960106,false,4,1054951211,Masters  Tournament
904,4933,0,218,140,70,261,13,832,50314,658,33,7,44879,50314,1,11,25,2469,4772173864,1558456840,true,4,392565237,"ABOY PRO GAMING LEAGUE "
899,3155,22.6074,396,210,81,718,11,303,40381,762,41,3,26844,40381,1,5,30,3076,5154141064,1576318331,false,4,1021364524,Masters  Tournament
896,1957,4.18091,294,175,77,294,13,124,22862,606,29,4,20532,22862,1,11,24,1860,5177114481,1577774943,false,4,133018827,RED STAR CUP
