xp_per_min,tower_damage,stuns,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,buybacks,assists,level,duration,match_id,start_time,win,hero_id,account_id,leaguename
1088,27950,0,451,294,127,600,16,0,37584,964,6,1,21399,37584,1,3,25,2455,5107967235,1573409852,true,61,90568397,Dotabuff Reach - Pinnacle Division
1071,800,39.5012,473,297,109,628,6,0,20402,795,0,3,30618,20402,1,3,25,2609,5031497652,1568978724,false,61,361612884,VARENA赛事
1018,1533,3.51196,449,275,117,760,12,0,51644,803,10,5,59474,60824,1,5,25,3597,5109787630,1573548286,false,61,1026060540,Asian DOTA2 Gold Occupation  Competition
984,19578,35.9893,359,213,94,541,8,0,18658,883,4,5,32684,18658,3,5,25,2390,5107554881,1573391762,true,61,118419316,Dotabuff Reach - Pinnacle Division
977,6651,0.468066,325,269,112,419,13,0,23380,712,2,3,20857,23380,1,6,25,2652,3505117558,1508145244,true,61,89972122,AEF Season 2
945,12258,9.33174,362,223,88,553,20,0,51450,885,20,3,36386,51450,1,6,29,2545,5212739459,1580065264,true,61,874703421,Dotabuff Reach - Pinnacle Division
945,895,0,252,147,67,319,6,0,11308,635,13,7,22771,11308,1,3,25,2225,4169194763,1539543856,false,61,136734119,joinDOTA League #14
941,9619,50.7158,439,264,116,903,17,0,36257,825,5,5,49042,36257,1,1,30,4041,5301341422,1584623310,false,61,904291784,Hot Price League
935,2675,16.8239,359,205,100,415,7,0,30765,705,1,7,41984,30765,1,4,25,2209,5041139378,1569487254,false,61,995062523,Asian DOTA2 Gold Occupation Invitational Competition S3
929,13426,45.9567,377,266,88,534,17,0,25704,853,18,2,20460,25704,1,6,27,2448,5359029210,1587030970,true,61,883376187,Amadeus Cup
926,6934,43.6436,372,232,93,514,16,0,66835,691,9,2,68383,66835,1,9,29,2993,5313496552,1585150652,true,61,96183976,Epic Challenger League
911,275,0,309,192,83,417,8,0,21088,652,12,6,30437,21088,1,4,25,2369,5104102818,1573205476,false,61,880093059,Asian DOTA2 Gold Occupation  Competition
905,11600,0,297,229,86,492,13,0,24868,785,1,6,26066,24868,1,3,25,2364,5054215246,1570199931,true,61,1005616166,Tehran Electronic sports League
902,3010,6.92358,472,273,102,626,5,0,9652,736,2,4,19263,9652,1,2,25,2768,5055526151,1570273627,false,61,11865327,MDL Chengdu Major
896,6208,0,353,243,117,534,11,0,31861,700,1,3,60503,31861,2,10,25,3211,4758828300,1558087009,false,61,315272623,Feng Ye Professional Invitational Competition
896,4815,13.4804,218,131,69,371,10,0,29111,543,14,10,43341,29111,1,13,25,3147,3465327787,1506343094,false,61,199133117,ProDotA Cup by Azubu
895,8834,22.8463,244,183,70,606,14,0,41492,615,13,6,62140,41492,1,19,25,4432,3431528388,1504876170,true,61,282359850,ProDotA Cup by Azubu
891,13239,43.3118,362,250,125,578,13,0,29466,763,2,3,30817,29466,1,11,29,2907,5745322050,1608174691,true,61,361612884,WCAA冬季电子竞技挑战赛
889,1357,34.1162,331,213,102,450,9,0,12894,639,2,5,21683,12894,1,10,25,2411,5092995325,1572512808,false,61,290553350," Hainan  Master League "
883,3119,19.1318,407,218,93,504,8,0,18480,752,2,4,25260,18480,1,3,25,2287,5117009139,1574002934,false,61,118419316,QCF.kz
877,14559,0,378,262,111,449,6,0,19115,819,8,3,19692,19115,1,2,25,2118,4969247132,1565923685,false,61,153836240,The International 2019
877,8656,31.4674,331,221,95,367,10,0,20741,751,5,2,24070,20741,1,13,26,2142,5641150376,1601727040,true,61,293950128,Moon Studio Mid-Autumn League
876,11837,0,288,144,42,316,10,0,25808,618,2,9,31394,25808,1,12,27,2161,5372973096,1587591883,true,61,86811043,ilusion Spring Tournament
875,11265,38.5312,437,253,113,629,9,0,24645,750,3,3,27671,24645,1,5,27,2634,5746889878,1608287345,true,61,361612884,WCAA冬季电子竞技挑战赛
874,13265,0,375,239,107,630,10,0,31120,802,5,6,27611,31120,2,5,25,2922,5096128755,1572697695,false,61,90568397,Dotabuff Reach - Pinnacle Division
870,8211,0,290,206,93,369,14,0,35696,691,0,3,35718,35696,1,11,25,2517,4810666092,1559635768,true,61,315272623,redrain cup
868,2426,0,307,246,103,359,8,0,25365,575,13,8,32490,25365,1,2,25,2118,5469048638,1592065071,false,61,327519547,IRESL/ELIGO
867,3552,41.5581,320,189,80,685,7,0,29093,757,12,9,49947,29093,3,11,25,3501,5084814567,1572014252,true,61,153836240,ESL One Hamburg 2019 powered by Intel
866,12403,39.2417,369,244,103,786,16,0,45411,888,5,3,65584,45411,1,7,30,3621,5447147973,1590959536,true,61,238239590,ESL One Birmingham 2020 Online powered by Intel
863,6058,0,382,226,97,401,6,0,10471,708,6,3,16416,10471,1,3,24,1935,4972958554,1566094164,false,61,153836240,The International 2019
862,13930,17.7271,344,224,105,480,13,0,31293,788,1,2,32719,31293,1,6,25,2682,4967602648,1565834610,true,61,116585378,The International 2019
855,11486,0,310,200,93,458,19,0,31724,715,0,3,26630,31724,1,11,25,2891,5038593454,1569331844,true,61,322375297,QCF.kz
852,1449,4.03967,259,156,71,357,16,0,35171,545,12,8,33811,35171,1,16,25,2723,3842220656,1524236866,false,61,250114507,ProDotA Cup Series
849,13508,0,299,213,112,455,11,0,22401,665,5,2,20780,22401,1,8,25,2857,5074547442,1571401828,true,61,86738694,Corsair DreamLeague Season 12
847,13549,59.1297,362,226,100,480,10,0,35501,683,2,3,56010,35501,1,19,25,2728,5128347892,1574735658,true,61,860622456,Asian DOTA2 Gold Occupation  Competition
847,9930,27.0251,330,210,74,391,20,0,44029,768,5,5,36346,44029,1,10,28,2457,5853158496,1614148103,true,61,331999484,WCAA Spring Festival cup
847,662,0,362,240,124,520,8,0,32005,665,10,5,34778,32005,1,8,27,2690,5509608999,1594544896,false,61,293950128,2020 DSPL S2 中国DOTA2次级联赛S2
