xp_per_min,tower_damage,stuns,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,buybacks,assists,level,duration,match_id,start_time,win,hero_id,account_id,leaguename
951,4182,58.8931,158,110,58,159,19,0,35450,625,15,4,27242,35450,1,8,25,1828,5568377202,1597462461,true,81,255223353,LUMO Cup
950,1933,32.647,289,186,53,313,20,0,27584,776,4,6,28891,27584,2,3,26,1958,5673725145,1603765862,false,81,117893901,RED STAR CUP
945,3630,39.4185,250,157,63,583,13,0,44765,694,22,5,44619,44765,1,17,25,3639,5113419514,1573805223,false,81,1025925850,ASIA CHALLENGER LEAGUE
890,1938,38.5967,227,143,49,237,18,0,33589,674,3,8,26139,33589,1,11,25,1951,5101594208,1573033281,false,81,171896373,Elite Cup Season 2
888,5174,67.3586,196,135,57,252,17,0,47829,689,10,8,51578,47829,1,22,25,2451,5094440427,1572603640,true,81,298688649,Asian DOTA2 Gold Occupation  Competition
878,10031,50.6329,251,132,54,496,16,0,49575,780,8,6,29631,49575,1,14,25,3025,5097285722,1572761827,true,81,1032760693,Masters  Tournament
858,20504,72.936,304,143,54,560,18,0,58760,773,11,8,45883,58760,1,12,28,3228,5611352470,1599920046,true,81,116934015,BTS Dota 2 Online
854,3275,66.2577,229,127,40,408,12,0,42530,603,16,8,65192,42530,1,10,29,2770,5149453704,1575992622,false,81,139771064,ASIA CHALLENGER LEAGUE
844,5929,69.2217,230,132,55,354,16,0,48488,711,11,3,57853,48488,1,18,25,2801,5098353441,1572808625,true,81,101639280,Dotabuff Reach - Pinnacle Division
838,4113,63.4821,152,107,52,326,25,0,45980,666,19,8,40040,45980,1,12,25,2970,4429772787,1550350675,false,81,457639622,"Hardstyle Minor League "
835,6938,43.6615,299,214,88,488,12,0,41920,727,12,3,48522,41920,1,13,25,3908,5045411646,1569705253,false,81,339235645,Movistar Liga Pro Gaming Season 1
830,3386,42.4671,236,130,58,298,15,0,36686,687,19,5,33583,36686,1,12,25,2574,3612112543,1513001501,false,81,356501153,ProDotA Cup Series
826,2311,30.8126,202,115,47,289,16,0,22060,662,41,4,22488,22060,1,4,25,2135,4222396865,1542374217,false,81,361564937,E-SPORT LEAGUE-DICKYGAMING
812,7843,39.5278,262,186,91,332,12,0,37560,624,1,3,34842,37560,1,6,28,2488,5186092538,1578315302,true,81,1032918275,ASIA CHALLENGER LEAGUE
812,6,35.4877,228,135,63,247,12,0,31715,498,8,6,37339,31715,1,8,25,2221,5185783463,1578298536,false,81,1009894221,RED STAR CUP
810,3920,46.8494,187,114,57,249,14,0,31586,620,20,7,28163,31586,1,16,25,2356,4861697633,1561372140,false,81,343044854,Asian DOTA2 Gold Occupation Invitational Competition S2
809,5510,57.9456,236,155,60,293,17,0,35541,724,10,1,24334,35541,1,10,25,2209,4854660699,1561104022,true,81,135585738,ZBT INVITATIONAL
808,160,62.1834,230,166,62,466,16,0,54327,682,7,10,67101,54327,1,10,25,3386,5098670323,1572835060,true,81,372189566,Masters  Tournament
802,13306,34.0527,297,175,79,356,14,0,24859,842,8,2,23309,24859,1,3,25,2191,3131591695,1492786904,true,81,97590558,H-CUP(好汉杯）
802,4624,25.6873,297,198,65,500,11,0,43292,651,21,6,40496,43292,1,3,25,3078,5129146950,1574784214,false,81,167584799,ASIA CHALLENGER LEAGUE
796,7553,41.9625,198,111,53,337,15,0,47678,743,24,16,56055,47678,1,11,30,2791,5153855797,1576302413,true,81,432546468,Masters  Tournament
789,6064,49.9881,156,81,36,192,16,0,28129,641,4,3,32000,28129,1,16,25,2119,4672459299,1555765996,true,81,399861473,rainbow cup
787,60,49.0593,148,95,49,222,12,0,27702,607,8,4,27113,27702,1,13,25,2300,3176915673,1494716651,false,81,115295708,Dota 2 BEAT Invitational Season 8
786,2164,88.5088,167,119,48,267,26,0,82468,663,9,12,78540,82468,1,17,25,3267,5067241281,1570952349,true,81,1014766785,Asian DOTA2 Gold Occupation  Competition
785,4053,17.6415,346,196,79,504,3,0,15445,678,15,6,42409,15445,1,4,25,2754,5101392772,1573017380,false,81,161042969,Masters  Tournament
784,645,36.7099,268,154,55,329,8,0,24647,685,9,6,52598,24647,1,9,25,2438,4959944529,1565487874,false,81,133083067,Dota2 Battle
781,9289,41.2279,281,186,55,400,10,0,30347,718,9,4,31054,30347,1,17,27,2523,5667886623,1603408802,true,81,339235645,Movistar Liga Pro Gaming Season 6
779,3829,22.2983,335,184,62,617,12,0,31990,730,25,5,39969,31990,1,8,25,3361,5109767813,1573546744,true,81,203980597,Masters  Tournament
774,425,46.5626,104,71,25,144,10,0,29091,477,9,10,44873,29091,1,11,25,2454,4452532938,1550924289,false,81,120812945,Meister Division 2019
770,7690,36.3315,245,150,62,395,14,0,38020,648,23,4,48481,38020,1,6,25,3124,4913511010,1563601250,false,81,86809886,ESL AUNZ Championship Season 4 (2019)
768,11657,106.598,347,225,69,677,19,0,59093,887,4,5,72773,59093,2,7,25,3501,5084814567,1572014252,true,81,164685175,ESL One Hamburg 2019 powered by Intel
768,1910,65.7509,208,95,40,212,11,0,28663,535,8,10,40824,28663,1,15,25,2230,5178442162,1577862698,false,81,220136159,RED STAR CUP
767,5521,38.4189,200,119,44,318,13,0,31398,628,16,3,38299,31398,1,11,25,2737,4622411248,1554613902,false,81,169811497,CHINA FUTURE  CUP
762,1130,44.7293,200,115,50,297,9,0,30705,552,28,7,45446,30705,1,10,25,2587,4620425390,1554562351,false,81,171342186,Meister Division 2019
761,9394,52.0086,188,110,46,311,18,0,33013,601,16,3,50831,33013,1,10,28,2822,5290904980,1584144204,true,81,319495561,Dotabuff Reach - Pinnacle Division
761,4646,40.695,219,122,54,253,10,0,24401,601,22,5,28906,24401,1,11,25,2321,4896517067,1562815866,true,81,148215639,The International 2019
760,7313,70.1008,257,131,53,409,4,0,25691,596,3,9,44757,25691,1,13,28,2929,5273739936,1583292854,false,81,1055998509,Masters  Tournament
759,2360,49.6698,181,116,48,304,10,409,24997,510,13,5,28743,24997,1,11,26,2705,5733993026,1607424970,false,81,134276083,AMD SAPPHIRE OGA DOTA PIT CHINA
756,80,61.4978,266,160,67,438,17,0,45247,642,19,4,30855,45247,1,7,25,2910,4942123909,1564747389,false,81,152083285,VARENA赛事
753,2465,40.6073,240,156,57,482,7,0,25207,627,15,5,40903,25207,1,11,27,3184,5629643248,1601020986,false,81,474527300,Oceanic Esports Dota League Season 2
752,8332,7.47427,268,176,63,355,10,0,18134,643,12,5,31006,18134,1,4,25,2480,5574132168,1597771446,false,81,62533910,OMEGA League
751,997,24.5479,238,136,42,238,9,0,20338,515,0,7,26059,20338,1,4,22,1829,5534524217,1595660776,false,81,1032918275,Asia Challenger league
747,7055,29.9529,245,153,65,316,9,0,17999,639,21,3,33868,17999,1,2,25,2487,5134134445,1575069032,false,81,165456701,DreamLeague Season 13
745,7428,31.7826,299,156,63,677,10,0,27061,705,26,4,28102,27061,1,4,29,4184,5716981615,1606361043,false,81,253962772,Artisan Dota League
745,5146,42.0169,257,185,85,285,14,400,28701,715,6,3,30343,28701,1,6,25,2255,4465626167,1551189169,true,81,100058342,Tug of War: Radiant
745,3213,36.6381,286,169,54,373,8,0,17797,601,1,4,26055,17797,1,7,25,2370,5625358232,1600742548,false,81,369942571,Asia Challenger league
744,5532,39.9963,195,126,42,232,19,0,26581,671,12,4,27438,26581,1,12,25,2187,3643832942,1514351110,true,81,194673410,H-CUP(好汉杯）
743,6994,49.9853,99,74,29,152,19,0,39907,684,15,13,36785,39907,1,15,25,2365,4189963437,1540656160,true,81,351500682,YouTube SIVVIT - Big Russian Show
740,15274,55.58,398,196,58,1147,18,0,79784,968,20,4,109856,79784,3,12,25,4891,5057742059,1570375936,false,81,116881520,MDL Chengdu Major
