xp_per_min,tower_damage,stuns,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,buybacks,assists,level,duration,match_id,start_time,win,hero_id,account_id,leaguename
1232,3427,0,231,152,67,236,26,0,60923,799,4,4,24232,60923,1,7,28,1950,5504152706,1594202586,false,56,1048431936,Asian DOTA2 Gold Occupation  Competition
977,3498,0,163,129,63,166,20,0,41098,616,15,2,17152,41098,1,10,26,1957,5733683140,1607400188,false,56,187276215,The Crown Cup
912,8851,0,160,108,55,165,15,0,39611,628,5,11,23819,39611,1,14,24,1863,5606674344,1599645009,true,56,158659942,Asian DOTA2 Gold Occupation  Competition
891,7975,0,224,135,81,392,23,0,77676,661,7,8,36438,77676,1,12,29,2938,5183196618,1578144722,false,56,1021364524,ASIA CHALLENGER LEAGUE
871,11180,3.53894,232,158,72,376,21,0,54723,653,3,7,30480,54723,1,9,30,2752,5180100159,1577963294,false,56,150588364,ASIA CHALLENGER LEAGUE
849,10026,21.0604,157,129,49,184,14,0,59114,607,17,7,28265,59114,1,19,25,2089,5700223082,1605332743,true,56,187673594,Wild Freedom CUP
825,17595,3.51953,148,103,52,397,20,0,88084,582,28,12,37703,88084,1,16,30,3885,5378575663,1587831046,true,56,851223436,EGB Isolation Cup
821,12048,0,154,92,41,255,18,0,33966,538,8,8,22904,33966,1,16,25,3062,3318409194,1500257515,true,56,115141430,ProDotA Cup by Azubu
817,6794,19.3993,175,105,46,266,17,0,53200,675,11,10,32433,53200,1,14,29,2497,5131430977,1574914282,true,56,158659942,Asian DOTA2 Gold Occupation  Competition
805,6041,0,82,47,23,128,19,0,49547,536,8,10,21485,49547,1,22,26,2314,5507813739,1594441153,true,56,229241407,libertango cup
804,5067,0,251,169,64,356,15,0,44986,625,34,8,43099,44986,1,9,26,2576,5570407165,1597567504,false,56,176681846,LUMO Cup
802,13761,0,196,155,68,212,12,0,35205,615,31,5,24180,35205,1,14,24,1982,5525298071,1595221116,true,56,909164370,libertango cup
795,15663,0,211,142,63,432,21,0,64678,784,3,10,36430,64678,1,12,30,2771,5181722996,1578059217,true,56,1032768189,ASIA CHALLENGER LEAGUE
794,12392,0,191,98,68,222,13,0,36895,616,13,5,12950,36895,1,14,25,2074,4453841638,1550937041,true,56,250595113,Meister Division 2019
793,2331,0,206,134,81,229,13,0,30532,510,2,4,18765,30532,1,7,25,2120,5284578207,1583822338,false,56,1032918275,Masters  Tournament
784,24918,3.54541,236,141,62,309,9,0,24686,676,25,1,7673,24686,1,10,24,2183,5719860595,1606540869,true,56,898754153,IMBA!中国DOTA2职业杯S2
784,11614,0,230,154,78,427,12,0,41021,637,24,13,43832,41021,2,8,25,3658,4020825624,1532362567,false,56,178032556,ProDotA Cup Series
781,23852,44.2891,193,116,44,545,26,0,80492,799,16,5,27732,80492,1,14,30,3896,5710506612,1605970674,true,56,116258981,IESF Regional Qualifiers 2020
777,9965,0,139,83,48,191,27,0,97562,583,37,9,23724,97562,1,17,25,3050,4831258051,1560270658,true,56,202128398,ESL SURA.BRAZEN.ID
777,4282,17.5598,173,102,55,378,21,0,80350,632,10,7,25245,80350,1,8,25,3161,5113236307,1573789769,false,56,1032768189,ASIA CHALLENGER LEAGUE
770,14198,0,249,146,41,375,17,0,48160,751,2,5,24044,48160,1,8,27,2628,5710926452,1605989266,true,56,452400903,Realms Collide - The Burning Darkness
758,5289,0,218,124,46,305,11,0,27358,577,11,6,19722,27358,2,8,25,2313,5516842781,1594895077,false,56,134683396,Dota summer league
