xp_per_min,tower_damage,stuns,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,buybacks,assists,level,duration,match_id,start_time,win,hero_id,account_id,leaguename
1002,2031,22.6736,228,128,51,278,11,0,44314,624,20,8,41686,44314,1,9,25,2283,5074178383,1571380777,false,43,880093059,RED STAR CUP
878,3495,0,302,190,70,452,5,0,20135,571,13,4,30471,20135,1,8,27,2616,5217585573,1580356754,false,43,185128119,Masters  Tournament
878,3273,12.7366,216,138,56,222,12,0,28446,599,16,6,32352,28446,1,2,24,1903,4915778518,1563690498,false,43,161137480,redrain cup
877,9651,15.0996,211,110,36,317,16,0,31437,708,11,2,23785,31437,1,18,26,2343,5861948828,1614584628,true,43,100659811,Asian New Bloom
864,4332,5.06543,165,102,58,165,15,0,36909,538,9,8,31924,36909,1,10,24,1803,5737550230,1607668739,false,43,144862244,The Crown Cup
860,13599,17.5598,195,118,53,253,18,250,46128,704,3,6,50336,46128,1,12,25,2307,4865403131,1561533926,true,43,217540519,redrain cup
860,5731,20.165,188,127,58,204,15,265,42906,614,18,7,34799,42906,1,11,25,1967,5307040222,1584869457,true,43,1057451623,RED STAR CUP
858,6007,2.50854,70,51,12,82,9,0,36683,458,11,12,43654,36683,1,21,25,2406,5146032068,1575779811,false,43,151176214,Asian DOTA2 Gold Occupation  Competition
853,2066,2.50854,223,132,52,251,6,0,19539,502,21,3,24758,19539,1,8,25,2049,5480048047,1592704084,false,43,122347180,BTS Dota 2 Online
847,6486,17.584,270,173,81,291,7,0,21487,633,6,3,13068,21487,1,16,24,1967,5755499795,1608796523,true,43,137895298,WCAA冬季电子竞技挑战赛
832,812,2.50854,101,57,27,224,17,0,47038,569,6,10,52104,47038,2,9,25,2640,4855162606,1561120373,false,43,346411617,Meister Division 2019
829,6760,13.3028,242,153,73,393,7,0,35015,639,5,3,41383,35015,2,22,27,2906,5339890118,1586257153,false,43,133558180,ESL One Los Angeles 2020 Online powered by Intel
826,2355,12.5669,263,180,77,370,11,135,29764,580,9,6,24939,29764,1,11,27,2680,5715536306,1606274426,false,43,301722509,Artisan Dota League
821,9337,7.57397,267,195,101,381,9,0,32252,612,9,2,28146,32252,1,11,26,2443,5195437174,1578918790,true,43,1032768189,ASIA CHALLENGER LEAGUE
819,4805,8.5625,198,123,42,226,14,125,29641,553,16,2,28345,29641,1,13,25,2104,5711175723,1606008126,true,43,59463394,Realms Collide - The Burning Darkness
817,5331,0,254,152,62,329,11,375,32833,616,13,1,27498,32833,1,18,26,2541,5854319410,1614197550,true,43,96803083,Snow Sweet Snow #2
817,3974,5.04126,176,101,45,179,10,0,29883,570,12,2,22411,29883,1,19,25,2011,4447422714,1550804260,true,43,24985355,joinDOTA League #15
816,6083,0,215,153,46,227,8,0,19423,528,13,4,22495,19423,1,11,24,1926,5420245865,1589704497,true,43,908221052,RED STAR CUP
814,6102,10.0583,253,187,83,336,8,0,24198,569,2,8,30006,24198,1,3,25,2425,5419871498,1589689835,false,43,877281328,Asia Challenger league
812,8574,7.52563,223,150,64,294,20,0,45405,646,19,6,42351,45405,1,12,27,2399,5149925633,1576032010,true,43,1036723936,Asian DOTA2 Gold Occupation  Competition
811,5949,48.9446,219,146,59,332,16,0,39222,610,12,4,30070,39222,1,27,25,2911,3871188429,1525642603,false,43,301649000,MLeS
809,2241,2.50854,184,133,48,241,8,0,25527,559,4,6,27053,25527,2,3,25,2196,4809394931,1559581820,false,43,96622888,joinDOTA League #16
803,2375,12.5669,253,160,62,327,12,5,41852,596,8,4,34436,41852,1,10,25,2387,4865289496,1561529528,false,43,142465246,Asian DOTA2 Gold Occupation Invitational Competition S2
801,5834,15.0513,224,154,55,278,7,0,38168,554,16,5,25961,39217,1,21,26,2408,5456915097,1591446646,true,43,100594231,World E-sports Legendary League
796,5812,27.6943,221,134,49,415,13,600,35566,670,5,3,17113,35566,1,20,28,2996,5853072913,1614141520,true,43,237578577,WCAA Spring Festival cup
795,13829,7.57397,159,103,56,173,9,0,38369,575,17,8,34847,38369,1,17,25,2158,4928594135,1564214915,true,43,907220653,Betway Dota 2 Asia League - Season 2
795,4874,36.2439,219,130,65,293,14,0,42046,703,21,6,37836,42046,1,14,25,2283,5026914867,1568709869,false,43,161042969,Masters  Tournament
794,4545,23.738,168,90,40,223,20,0,22864,674,5,8,34073,34399,1,10,24,2316,2388080536,1464175913,true,43,93119769,Nanyang Championships Season2
793,4243,17.584,215,100,45,220,13,0,23401,643,13,4,13482,23401,1,12,23,1865,4801012681,1559357267,true,43,115141430,Tug of War: Dire
785,8100,47.3186,271,194,86,480,11,0,47627,653,6,5,40972,47627,1,12,28,2943,5316200228,1585277165,false,43,1032889954,Asia Challenger league
785,2135,12.5669,206,131,45,282,11,0,26869,515,5,4,23650,26869,1,7,25,2303,5414296707,1589437894,false,43,121201170,Masters  Tournament
785,1321,10.0583,161,97,48,320,10,125,36191,529,14,11,38373,36191,1,24,27,2909,5415974540,1589519929,false,43,470392491,World E-sports Legendary League
782,3312,7.52563,147,96,29,212,12,432,36289,572,10,5,28998,36289,1,19,25,2203,5860432873,1614507327,true,43,318371533,"Moon Studio Asia "
778,10547,35.2654,176,104,30,264,20,0,43569,562,2,7,60545,43569,2,14,25,3115,3572460881,1511168766,true,43,86872602,AEF Season 2
778,4958,15.0754,189,116,48,269,13,0,28848,577,15,3,29637,28848,1,15,25,2405,4954387984,1565257883,true,43,216067541,中国DOTA2发展联赛
777,5645,17.6323,212,134,62,255,11,380,21264,612,16,3,21642,21264,1,12,25,2112,4423699388,1550221992,true,43,157557921,challenge cup
776,5401,0,178,119,47,279,15,0,50303,553,19,10,62510,50303,3,16,25,3160,5013930513,1568019644,false,43,144870065,Asia Communication League
771,4200,15.0513,245,136,50,462,11,0,37980,691,16,5,38480,37980,1,14,25,2799,5087257810,1572152520,false,43,1032768189,ASIA CHALLENGER LEAGUE
766,7519,7.52563,208,141,60,238,15,0,17931,610,9,2,12047,17931,1,13,24,2055,5858247395,1614411523,true,43,100659811,WCAA Spring Festival cup
759,9036,15.0996,179,111,57,194,12,330,23810,575,11,3,14812,23810,1,10,24,2021,5339575708,1586242521,true,43,290553350,Asian Masters League
759,6754,20.0684,181,96,66,253,14,0,46596,589,8,7,42901,46596,1,17,25,2460,5103338486,1573142950,true,43,1036723936,Asian DOTA2 Gold Occupation  Competition
759,5460,38.6601,189,122,45,389,13,0,58168,526,11,6,60082,58168,1,18,29,4101,5622755769,1600591759,false,43,220462565,Meister Division Rookies 2020
758,8494,2.50854,165,115,61,174,12,210,29400,531,10,5,18606,29400,1,13,23,1977,5614371007,1600089439,true,43,210053851,BTS Dota 2 Online
756,4792,10.0583,228,141,55,305,9,0,46016,495,8,11,49844,46016,2,15,29,3139,5472581443,1592241617,false,43,152962063,Beyond Epic League
756,1292,5.04126,304,171,78,538,1,0,23039,625,9,3,26346,23039,1,4,29,3022,5133536347,1575037764,false,43,150588364,ASIA CHALLENGER LEAGUE
754,5707,12.5669,101,63,39,176,15,0,49417,546,7,10,53808,49417,1,18,25,2584,4993642097,1567056751,false,43,986857888,Asian DOTA2 Gold Occupation Invitational Competition S3
754,2595,20.0684,180,136,60,276,10,0,37023,523,9,4,24429,37023,1,11,25,2617,5036073495,1569179381,false,43,190826739,Reshuffle Madness 2019
750,5138,20.1167,217,123,54,340,13,0,50744,594,5,5,29222,50744,1,15,25,2852,5096057780,1572694838,false,43,97676580,Dotabuff Reach - Pinnacle Division
748,2711,28.1775,236,166,69,289,11,0,45227,508,7,7,47036,45227,1,18,26,2594,5634444873,1601300399,false,43,134271628,FreeWin Invitational - Europe
746,1621,29.0542,203,141,59,555,7,35,32832,588,12,5,48704,32832,1,12,30,3933,5808831153,1611949384,false,43,431770905,DPC Winter 21 League (EEU) presented by ESL One
745,4749,26.2283,266,139,57,644,11,0,41151,715,24,4,37921,41151,2,20,25,3673,4932953178,1564375497,false,43,224195257,Stars Championship Compeition
739,6262,2.53271,182,118,52,198,14,0,22436,598,7,8,38584,22436,1,13,23,2024,5358718010,1587015802,true,43,1036529642,RED STAR CUP
738,8127,25.0854,256,178,43,523,15,0,77311,730,17,5,56615,77311,1,18,29,3082,5345639333,1586497990,false,43,137895298,Asian Masters League
736,7629,61.6144,160,122,42,401,11,0,56486,547,11,5,59240,56486,1,27,30,4062,5389977263,1588335969,true,43,138857296,2020 DPL-CDA中国DOTA2职业联赛
735,8485,5.01709,304,180,83,437,7,0,36247,553,16,7,44762,36247,1,9,27,3275,5505528542,1594292746,false,43,150970092,2020 DSPL S2 中国DOTA2次级联赛S2
733,7006,5.01709,211,142,69,308,9,235,30451,593,16,2,18725,30451,1,23,27,2798,5710129607,1605955673,true,43,114787051,Perfect World League
733,4815,7.5498,207,134,60,262,15,0,35477,631,8,5,32837,35477,1,6,24,2156,5098511169,1572819111,false,43,101062921,Dotabuff Reach - Pinnacle Division
730,15446,10.0825,250,165,70,350,10,0,25102,604,19,4,28369,25102,1,10,26,2628,5421668939,1589749904,true,43,928794456,Copa Dota 2 Brasil
728,10255,54.7219,222,125,51,469,14,310,45945,620,11,7,50837,45945,2,13,29,3854,5845072960,1613750823,false,43,110819366,META'21 Open. Winter
728,7028,12.2659,164,107,59,312,20,140,56017,627,5,6,54341,56017,2,19,25,3143,5096504284,1572711441,false,43,47359293,Dotabuff Reach - Pinnacle Division
