xp_per_min,tower_damage,stuns,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,buybacks,assists,level,duration,match_id,start_time,win,hero_id,account_id,leaguename
1007,6625,80.5886,306,192,64,342,14,0,36607,632,7,4,27960,36607,1,10,27,2240,5214926617,1580203473,false,49,225364949,Asian DOTA2 Gold Occupation  Competition
974,4848,89.558,228,139,51,229,15,0,34609,695,9,5,30596,34609,1,13,25,1814,5464876503,1591853283,true,49,187276215,Asian DOTA2 Gold Occupation  Competition
903,5954,37.1904,320,198,68,427,6,0,27571,681,6,4,27882,27571,1,15,28,2424,5278878960,1583559818,true,49,1032768189,Masters  Tournament
901,11211,52.8474,282,130,45,347,12,0,36749,725,8,6,32931,36749,1,12,26,2090,5188363980,1578467723,true,49,399155036,RED STAR CUP
900,4485,100.554,258,178,54,379,13,0,50915,688,10,9,45486,50915,2,10,29,2510,5156859906,1576477776,false,49,1025925850,Masters  Tournament
898,5104,25.6832,294,176,53,324,6,0,16432,626,7,13,28528,16432,2,3,25,2042,5176336509,1577719579,false,49,1026060540,Asian DOTA2 Gold Occupation  Competition
888,7236,88.6591,252,141,78,569,15,0,53851,757,16,5,45953,53851,3,16,25,3252,5109929347,1573557844,false,49,1009894221,Asian DOTA2 Gold Occupation  Competition
888,6384,58.4363,281,146,57,354,8,0,16401,683,13,4,27677,16492,1,11,27,2157,5729641150,1607160328,true,49,369942571,Asian New Star League
886,2680,58.2576,223,135,48,269,13,0,26803,650,11,6,26020,26803,1,8,25,2199,4932851411,1564370621,false,49,471533921,Asian DOTA2 Gold Occupation Invitational Competition S2
884,3012,26.603,336,223,86,368,5,0,19985,579,3,5,31884,19985,1,3,25,2014,5199974507,1579246048,false,49,1054644648,Masters  Tournament
875,3751,50.9878,255,189,54,306,9,0,22374,670,11,6,27882,22374,1,15,26,2183,5502570740,1594096440,true,49,229241407,libertango cup
