xp_per_min,tower_damage,stuns,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,buybacks,assists,level,duration,match_id,start_time,win,hero_id,account_id,leaguename
999,1360,24.2097,238,143,61,238,15,0,30374,595,12,6,24631,30374,1,11,26,1844,5185828776,1578301593,false,41,170639894,RED STAR CUP
968,9938,37.5534,237,173,71,336,11,0,38580,686,29,8,39569,38580,1,26,25,2573,5040973832,1569476623,false,41,995062523,Asian DOTA2 Gold Occupation Invitational Competition S3
956,1421,27.3528,304,156,53,349,5,0,29090,645,11,6,33081,29090,1,20,25,2133,5011867656,1567920296,false,41,1001005037,ASIA CHALLENGER LEAGUE
954,5609,43.6986,326,158,49,565,14,0,42059,865,21,3,29896,42059,1,1,25,2784,5077293908,1571547919,false,41,452376367,ASIA CHALLENGER LEAGUE
944,293,19.0082,483,238,57,954,12,0,29847,886,15,4,52645,29847,1,6,30,3352,5273863037,1583301485,false,41,1055976418,Masters  Tournament
942,7895,19.8141,293,166,59,449,19,0,29177,687,22,3,29277,29177,2,9,28,2833,5484657041,1593001747,true,41,340941046,DOTA 2 INDONESIA ONLINE PROFESSIONAL TOURNAMENT 2020
940,1402,20.6842,292,168,76,394,10,0,26493,662,8,5,28026,26493,1,7,26,2209,5157048019,1576491832,false,41,142655954,Asian DOTA2 Gold Occupation  Competition
935,6281,26.2414,274,147,48,314,19,0,40277,707,3,5,26654,40277,1,6,27,2136,5206675299,1579680263,false,41,1055550508,Masters  Tournament
934,2467,82.4304,217,128,53,413,27,0,99852,758,27,8,89088,99852,1,13,25,3267,5067241281,1570952349,false,41,1009991723,Asian DOTA2 Gold Occupation  Competition
932,0,28.0898,223,137,60,269,12,0,30939,660,16,7,23265,30939,1,11,26,2049,5561057061,1597037348,false,41,143213147,OMEGA League
930,219,21.9027,270,159,60,293,4,416,15927,614,13,6,21998,15927,1,11,25,2003,5008099023,1567742599,false,41,1025925850,ASIA CHALLENGER LEAGUE
929,4488,21.9508,287,188,56,295,12,0,41761,703,22,3,22927,41761,1,6,25,1905,5670949968,1603597491,true,41,244058707,RED STAR CUP
929,3366,19.9653,294,140,48,417,13,0,28291,680,6,4,26603,28291,1,8,27,2448,5272223462,1583214779,false,41,167584799,Masters  Tournament
929,2153,18.8376,323,166,67,430,7,0,22709,646,16,4,22873,22709,1,6,27,2306,5195267337,1578908736,false,41,1029387987,ASIA CHALLENGER LEAGUE
929,1392,18.8396,228,146,51,229,9,0,20697,539,1,7,21921,20697,1,10,25,1830,5200012292,1579248868,false,41,1055976418,Masters  Tournament
928,2252,20.4321,241,141,49,245,8,0,21592,622,2,6,25320,21592,1,9,25,1817,5224235487,1580709194,true,41,1056816962,ASIA CHALLENGER LEAGUE
925,7478,31.086,285,174,67,423,13,0,27642,729,26,1,17247,27642,1,18,25,2533,4990456281,1566905228,true,41,256238640,Destiny Cup
922,2478,12.5647,329,169,59,471,9,0,23692,665,3,2,20372,23692,1,4,28,2436,5165860175,1577076364,false,41,1001005037,Masters  Tournament
919,5870,17.1964,317,140,42,404,14,0,29490,780,26,5,26288,29490,1,5,27,2089,5274261715,1583321566,true,41,1009790652,Asian DOTA2 Gold Occupation  Competition
918,6617,20.8688,288,170,66,441,9,0,26053,673,3,5,27881,26053,1,11,27,2312,5286236214,1583910967,false,41,1055998509,Masters  Tournament
917,4701,28.6855,318,187,61,696,9,0,43979,805,24,6,32751,43979,1,8,25,3338,5071504200,1571209223,false,41,144819522,ASIA CHALLENGER LEAGUE
915,5445,25.1652,320,178,60,362,12,0,31440,697,12,5,18994,31440,1,8,26,2241,5616573071,1600226937,false,41,140571204,Asia Challenger league
915,1825,21.2148,242,133,45,328,7,0,23149,686,15,5,29066,23149,1,6,25,2094,5026815018,1568703698,false,41,432546468,Masters  Tournament
911,3570,22.0705,272,123,52,281,10,0,16289,659,12,3,15964,16289,1,15,25,1857,4576401088,1553598665,true,41,909770125,VARENA赛事
911,1317,21.7377,249,157,58,282,13,0,28848,645,15,2,21686,28848,1,12,26,2074,5662321695,1603036170,false,41,152755941,YouTube SIVVIT - Big Russian Show
909,5408,17.2344,365,204,67,505,11,0,34800,742,1,2,19911,34800,1,15,28,2574,5415897277,1589514490,true,41,1054493266,Masters  Tournament
909,3420,33.9489,188,116,44,265,11,0,37859,604,9,10,32419,37859,1,11,28,2406,5146032068,1575779811,false,41,139212407,Asian DOTA2 Gold Occupation  Competition
904,5611,13.843,283,163,58,304,9,0,16077,735,10,5,16223,16077,1,6,24,1892,5685042481,1604405973,true,41,1051852966,Asian DOTA2 Gold Occupation  Competition
903,2369,26.6679,380,192,62,740,5,0,27461,783,14,7,46204,27461,1,6,30,3249,5133744175,1575045335,false,41,1032699094,ASIA CHALLENGER LEAGUE
901,3301,23.8618,339,155,58,953,10,0,41103,899,31,4,33110,41103,1,8,30,3678,5131645502,1574929802,false,41,1042041719,ASIA CHALLENGER LEAGUE
901,2232,41.1236,374,192,61,570,14,0,59213,777,17,5,45448,59213,1,14,25,3015,5070139684,1571119876,false,41,1001005037,ASIA CHALLENGER LEAGUE
900,2456,23.839,255,143,46,380,10,0,31311,657,21,5,32848,31311,1,12,27,2588,5151153798,1576117945,false,41,142655954,Asian DOTA2 Gold Occupation  Competition
900,1754,11.7216,350,205,66,479,13,0,25943,690,5,4,18651,25943,1,1,27,2517,5277064620,1583472281,false,41,1055976418,Masters  Tournament
899,288,31.77,217,129,48,291,11,0,26553,595,17,7,33117,26553,2,14,25,2323,5053793447,1570183149,false,41,144819522,ASIA CHALLENGER LEAGUE
898,7774,44.566,170,126,63,179,21,0,49866,615,12,5,27134,49866,1,17,27,1988,5248412278,1582003447,true,41,142655954,RED STAR CUP
898,1114,27.443,370,213,66,697,12,0,42029,881,11,3,21114,42029,1,9,25,3153,5105169731,1573266868,false,41,1038366642,Masters  Tournament
894,11512,15.318,251,130,43,306,13,0,20363,666,7,4,27311,20363,1,8,26,2175,5506424997,1594351659,false,41,136318455,Masters  Tournament
894,3277,38.0701,325,144,48,609,4,0,39076,753,20,3,36405,41030,1,9,29,2990,5142049969,1575543917,false,41,167584799,ASIA CHALLENGER LEAGUE
891,1226,23.2628,175,94,31,217,12,0,35252,494,3,10,30855,35252,2,9,25,2360,5179893137,1577950950,false,41,995062523,RED STAR CUP
890,4132,32.9137,212,112,41,235,18,0,32679,677,14,3,26583,32679,1,14,25,1911,5038521145,1569329363,true,41,244058707,Asian DOTA2 Gold Occupation Invitational Competition S3
886,2157,24.6107,344,180,64,729,10,0,41428,788,11,3,38259,41428,1,7,30,3320,5133141329,1575021263,false,41,452376367,ASIA CHALLENGER LEAGUE
886,1242,15.9284,220,146,60,284,10,0,22113,582,6,7,25460,22113,1,16,26,2142,5170402128,1577370470,false,41,1014645107,Asian DOTA2 Gold Occupation  Competition
885,5351,32.6763,336,172,64,619,9,0,41308,787,11,2,27937,41308,1,9,25,3016,5071567169,1571213775,false,41,144819522,ASIA CHALLENGER LEAGUE
882,6248,30.6244,266,152,59,467,15,0,45525,698,23,13,38381,45525,1,22,25,3356,5095638784,1572673264,false,41,432546468,Masters  Tournament
879,2225,26.7542,222,114,35,539,9,0,35152,721,10,10,58416,35152,1,7,30,3134,5147761058,1575884619,false,41,1029387987,ASIA CHALLENGER LEAGUE
877,1463,28.7111,281,138,41,383,9,0,25954,662,20,8,33517,25954,1,12,28,2380,5141683741,1575518211,false,41,148504633,Asian Hero League
873,16689,36.068,328,164,53,589,12,0,31683,845,5,3,37140,31683,1,15,29,2696,5582685011,1598266808,true,41,136177710,ESL One Thailand 2020 Online powered by Intel
873,7614,23.3048,256,139,43,389,10,0,22238,759,18,10,30544,22294,2,16,25,2441,5075716401,1571468431,true,41,139771064,ASIA CHALLENGER LEAGUE
