xp_per_min,tower_damage,stuns,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,buybacks,assists,level,duration,match_id,start_time,win,hero_id,account_id,leaguename
929,6542,0,287,203,79,322,15,0,56206,587,28,7,57346,56206,1,7,28,2577,5227446285,1580889959,false,59,139212407,RED STAR CUP
892,9504,3.57886,131,92,47,236,39,0,100846,717,16,14,88614,102106,2,12,25,3338,4158272940,1538975035,false,59,188409855,TNG League 1
838,403,0,124,98,41,124,14,0,45819,505,22,11,36405,45819,1,13,25,2062,4861335523,1561357526,false,59,262367336,redrain cup
836,8107,0,245,161,66,273,17,0,31326,705,18,4,13667,31326,1,7,25,2015,5096300897,1572704019,true,59,90568397,Dotabuff Reach - Pinnacle Division
823,5297,0,172,91,44,377,26,0,78344,700,34,7,80742,78344,1,11,25,3209,4291108393,1545669812,false,59,275678922,"ABOY PRO GAMING LEAGUE "
819,7600,0,182,104,44,256,19,0,49750,623,38,12,59009,49750,1,7,25,2788,4851131666,1560957337,false,59,862893339,E-SPORT LEAGUE-DICKYGAMING
811,2448,0,150,92,39,264,23,0,54506,627,19,9,48967,54506,1,7,25,2857,4777319992,1558620545,false,59,387197937,TNG League 1
802,7277,0,120,67,25,178,21,0,55172,604,21,5,42789,55172,1,13,25,2555,4246316434,1543547668,true,59,901058362,"ABOY PRO GAMING LEAGUE "
796,4832,0,203,139,54,276,10,0,45521,558,5,3,29276,45521,1,14,26,2279,5151389608,1576139203,true,59,204281778,Asian DOTA2 Gold Occupation  Competition
794,2993,5.5188,204,147,49,205,3,0,10067,519,5,6,17986,10067,1,8,23,1834,5303273044,1584712220,true,59,1026062046,RED STAR CUP
783,9878,0,199,117,56,349,20,0,52857,657,36,11,60945,52857,1,6,25,3141,4823117410,1560008937,true,59,862893339,ESL SURA.BRAZEN.ID
776,1774,0,266,147,63,459,12,0,44073,606,50,12,38706,44073,1,4,25,3357,5128958381,1574776177,false,59,1032918275,ASIA CHALLENGER LEAGUE
775,1848,0,299,213,105,404,7,0,30244,583,23,6,30770,30244,2,6,26,2421,5264104351,1582811865,false,59,261192588,Asian DOTA2 Gold Occupation  Competition
770,1518,0,227,156,70,231,14,0,40054,537,29,9,31911,40054,1,7,25,2229,3339096785,1501154032,false,59,386736786,AEF Season 2
770,747,0,255,177,84,332,9,0,27813,536,6,6,31037,27813,1,4,25,2370,5253343696,1582280253,false,59,1032768189,Asia Challenger league
769,3456,0,197,134,66,214,14,0,42355,531,19,10,25224,42355,1,10,24,2076,5369349015,1587439825,false,59,152707258,RED STAR CUP
767,4686,0,180,106,56,219,10,0,35576,528,37,9,40756,35576,1,12,25,2319,4257508106,1544106035,false,59,862893339,E-SPORT LEAGUE-DICKYGAMING
765,7910,0,138,102,49,203,20,0,71829,562,44,11,41668,71829,1,12,25,2732,4829015969,1560187513,true,59,862893339,E-SPORT LEAGUE-DICKYGAMING
764,4568,0,165,120,46,182,6,0,17647,476,1,9,22678,17647,1,13,24,2052,5491439031,1593419876,true,59,121201170,Asia Challenger league
763,7096,0,136,95,44,145,18,0,52818,549,13,10,41715,52818,1,18,24,1999,5163297744,1576925887,true,59,204281778,Asian DOTA2 Gold Occupation  Competition
747,6281,0,188,121,42,220,15,0,19980,616,21,5,18942,19980,1,5,24,2020,4219750034,1542214878,true,59,237238721,D2CL
738,7394,0,162,97,44,214,20,0,54909,603,27,9,37523,54909,2,9,25,2488,4294320234,1545810122,false,59,131528055,"Max plus U 21 Final Season "
