xp_per_min,tower_damage,stuns,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,buybacks,assists,level,duration,match_id,start_time,win,hero_id,account_id,leaguename
971,2124,197.426,148,109,45,269,18,0,61769,647,31,7,35762,61769,1,18,25,2768,4984575854,1566654063,false,74,459190938,Meister Division Rookies 2020
940,5876,96.1591,162,117,40,177,11,0,30572,581,6,8,22351,30572,1,17,25,1914,5666852469,1603348205,true,74,204281778,RED STAR CUP
940,5138,48.4209,267,178,67,351,18,0,40757,830,24,3,15628,40757,2,17,27,2149,5785833987,1610618036,true,74,290713970,YouTube SIVVIT - Big Russian Show
940,1562,55.0631,294,178,58,385,11,0,27026,692,30,7,20224,27026,1,7,25,2438,5105737884,1573299266,false,74,998096014,Masters  Tournament
940,56,63.9852,127,88,36,127,10,0,23599,499,15,9,21507,23599,1,16,24,1813,5714438009,1606214272,false,74,1009469896,RED STAR CUP
933,521,94.4907,208,131,59,286,22,0,42589,661,13,6,20652,42589,1,4,25,2646,5127517117,1574683019,false,74,1032889954,ASIA CHALLENGER LEAGUE
923,4998,54.7021,199,121,34,204,12,0,32147,685,23,6,14018,32147,1,15,25,1857,5660183603,1602926455,true,74,1058098132,Asia Challenger league
920,2220,104.823,259,144,59,363,20,0,38694,731,23,3,26370,38694,1,15,25,2621,4857466587,1561206717,true,74,356571190,Meister Division 2019
916,4847,92.879,266,172,63,403,13,0,42477,735,8,4,18798,42477,1,8,25,2919,4961727139,1565549764,false,74,58513047,Loot.bet/dota Season 1
912,1326,52.3091,233,122,47,250,11,0,29769,576,5,4,25885,29769,1,11,26,2023,5165904667,1577080119,false,74,203980597,Masters  Tournament
906,5084,56.0767,168,137,67,185,10,0,35860,593,20,10,24495,35860,1,14,25,1923,5726806068,1606975397,true,74,1051365190,The Crown Cup
905,3605,92.4517,324,213,78,609,8,0,41687,756,17,4,27523,41687,1,7,30,3669,5131797398,1574938611,false,74,150588364,ASIA CHALLENGER LEAGUE
901,3881,143.809,173,119,48,302,21,0,63801,597,12,7,30224,63801,1,28,30,3104,5158640643,1576598284,true,74,414037867,"TESL 2 "
900,909,65.0577,193,109,42,256,16,0,32832,639,25,7,28134,32832,1,9,25,2320,5031714250,1568986276,false,74,328714315,E-SPORT LEAGUE-DICKYGAMING
897,2487,71.1288,284,185,71,796,8,0,38138,766,35,4,33348,38138,1,8,30,4611,5133226605,1575025912,false,74,161042969,ASIA CHALLENGER LEAGUE
891,6716,46.0885,242,162,45,252,12,0,27489,692,24,6,12672,27489,1,7,24,1911,5489872681,1593323064,true,74,397073989,RED STAR CUP
891,2163,104.011,145,114,59,254,16,0,43804,647,21,9,32085,43804,2,24,29,2548,5151312214,1576132890,true,74,880093059,Asian DOTA2 Gold Occupation  Competition
882,8226,78.6433,263,159,57,451,10,0,31297,708,8,8,24831,31297,1,20,29,3166,5524039120,1595164814,true,74,135422669,YouTube SIVVIT - Big Russian Show
880,2880,111.666,165,109,42,239,11,0,43426,632,19,5,21530,43426,1,19,25,2391,5029850702,1568884006,true,74,471533921,Asian DOTA2 Gold Occupation Invitational Competition S3
879,2439,70.0504,158,119,62,174,13,0,30598,576,22,6,21622,30723,1,19,26,2087,5724124744,1606793022,true,74,1009469896,The Crown Cup
878,4917,121.276,215,114,49,294,28,0,57002,667,29,6,41243,57002,1,13,25,2656,4544228025,1552846593,false,74,342780999,MantanDoto League Season 2
877,2175,92.3518,196,132,49,318,8,0,31974,624,11,3,16189,31974,1,24,29,2683,5143577091,1575638820,true,74,186785269,VyrDota League by GUMANTAR
871,5783,84.3617,178,132,56,202,16,50,21367,731,17,6,30301,32224,1,10,24,2220,2021603155,1450796121,true,74,250114507,ProDotA Cup by Twitch.tv
864,9806,38.2556,222,169,49,235,14,0,34071,569,6,5,18359,34071,1,12,27,2222,5166039970,1577090409,true,74,161042969,Masters  Tournament
862,3534,85.8059,163,110,68,185,15,0,31871,584,19,3,22626,31871,1,24,25,2061,5550182971,1596444806,true,74,139253146,Moon Studio Asian League
861,1673,141.897,196,95,55,322,17,0,50123,594,13,6,30001,50123,1,19,25,3090,4949252264,1565018014,false,74,129892310,JD.ID High School League Indonesia
860,2666,149.721,161,120,60,345,17,0,37352,595,25,2,29950,37352,1,25,25,3048,5129763785,1574823056,false,74,133066657,Campeonato Brasileiro de Dota 2
853,1169,55.2627,284,179,63,406,4,0,25724,578,12,6,22718,25724,1,20,25,2756,4955780322,1565319987,true,74,132315437,Asian DOTA2 Gold Occupation Invitational Competition S3
852,1925,47.9651,227,151,55,287,9,240,24553,594,10,5,15887,24553,1,7,26,2144,5318909658,1585392601,false,74,1064197815,Masters  Tournament
850,3481,124.66,229,152,55,355,16,400,38031,734,21,3,20460,38031,1,15,25,2682,4651396641,1555244307,true,74,241768491,YouTube SIVVIT - Big Russian Show
846,3105,72.8018,118,72,50,119,13,0,25955,512,24,9,20539,25955,1,17,23,1822,5716008164,1606305185,true,74,117893901,RED STAR CUP
845,7172,85.5349,262,166,64,462,12,0,47598,691,4,5,32070,47598,1,18,30,3454,5171122684,1577422605,true,74,150588364,Masters  Tournament
843,12091,64.022,206,143,70,245,15,0,32551,662,23,1,18850,32551,1,23,26,2155,5565254522,1597272671,true,74,905380428,Movistar Liga Pro Gaming Season 5
842,7454,53.5873,216,149,62,242,17,0,30959,652,25,5,17828,30959,1,12,25,2189,5670450543,1603561570,true,74,925154218,DIGI CUP MONTHLY
842,4667,90.1664,131,92,41,148,16,0,48307,559,14,5,13611,48307,1,15,25,2026,4329903508,1547311489,true,74,134741940,"ABOY PRO GAMING LEAGUE "
842,995,152.932,175,114,49,195,14,0,38555,539,14,2,24489,38555,1,19,27,2102,5221036014,1580548742,true,74,1015445985,Asian DOTA2 Gold Occupation  Competition
840,1580,116.42,105,57,19,185,6,0,34479,486,11,3,29098,34479,1,15,25,2208,5068966154,1571047364,false,74,136433990,ASIA CHALLENGER LEAGUE
840,1407,92.2809,222,137,37,455,18,0,39751,723,19,7,25226,39751,1,14,25,3044,4873183320,1561822912,true,74,359431141,"ABOY PRO GAMING LEAGUE "
838,1593,89.5308,106,66,52,161,13,0,26976,554,17,10,35765,26976,2,17,25,2441,5075716401,1571468431,false,74,376545741,ASIA CHALLENGER LEAGUE
837,2590,97.0056,133,82,41,144,12,240,37452,486,13,7,23150,37452,2,18,25,2175,4942623293,1564759538,false,74,390385238,VyrDota League by GUMANTAR
836,9915,101.229,263,142,59,755,8,0,33691,727,16,4,25061,33691,2,11,25,3919,3139633624,1493133804,false,74,111620041,Kiev Major
836,4596,88.7143,167,88,28,283,19,0,39298,652,13,8,28780,39298,1,17,25,2908,4182152539,1540248578,true,74,112931430,"ABOY PRO GAMING LEAGUE "
835,758,69.2706,224,142,79,285,4,0,37415,560,3,8,21271,37415,1,13,27,2451,5229581943,1581000011,true,74,1021364524,ASIA CHALLENGER LEAGUE
832,4917,64.0497,243,152,72,486,14,0,48798,719,14,8,36214,48798,1,13,25,3403,5113282962,1573794057,true,74,1032768189,ASIA CHALLENGER LEAGUE
831,3103,154.6,249,117,43,457,12,0,51086,706,31,7,46006,51086,1,16,25,3218,5104080200,1573203935,false,74,150588364,Masters  Tournament
831,2997,203.21,154,103,52,263,24,0,94664,574,28,11,43732,94664,2,8,25,3213,4765447321,1558261048,false,74,299673291,Bishkek Stars League #8
831,1591,95.7731,191,122,53,293,19,0,38131,592,16,6,22038,38131,1,17,25,2693,4207896242,1541586603,true,74,301750126,joinDOTA League #14
