xp_per_min,tower_damage,stuns,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,buybacks,assists,level,duration,match_id,start_time,win,hero_id,account_id,leaguename
1040,5407,11.6062,363,231,95,498,13,492,35889,816,2,3,31271,35889,1,5,29,2444,5302411665,1584672111,false,8,1032768189,Asia Challenger league
1033,15827,0,313,196,59,448,20,770,46350,862,23,4,23732,46350,1,5,25,2694,4846879754,1560793647,true,8,354959702,E-SPORT LEAGUE-DICKYGAMING
1022,5111,0,247,181,65,250,13,7348,19441,716,6,3,20068,19441,1,10,27,1806,5693741808,1604915546,true,8,261192588,Asian DOTA2 Gold Occupation  Competition
1010,11168,1.10376,313,193,66,326,15,2868,26381,770,11,3,22054,26381,1,10,27,1916,5276246978,1583419569,true,8,191364625,Asian DOTA2 Gold Occupation  Competition
964,9663,9.49897,304,197,88,341,12,5086,48200,697,4,9,29289,48200,1,11,25,2251,4997818819,1567241736,false,8,1009991723,Asian DOTA2 Gold Occupation Invitational Competition S3
953,5933,0,282,155,56,300,12,3156,21669,676,11,9,27836,21669,1,5,27,2069,5551519052,1596515582,false,8,117893901,Asian DOTA2 Gold Occupation  Competition
946,7595,0,291,230,76,573,27,12326,69630,846,3,8,46995,69630,2,17,25,2718,4997716779,1567238135,true,8,1009991723,Asian DOTA2 Gold Occupation Invitational Competition S3
942,4347,0,161,104,43,198,29,0,33045,809,12,5,18904,35560,1,11,25,2061,1891354670,1445771859,true,8,91369376,StarLadder | i-League
937,3054,0,273,181,59,280,8,9220,21613,629,11,6,23219,21613,1,13,25,1849,5725536115,1606888789,true,8,142655954,The Crown Cup
929,1000,1.50513,255,175,50,357,15,1687,34178,783,26,7,20516,34178,1,8,25,2027,4321999682,1546965021,false,8,152646625,Volgograd Dota 2 League
915,5810,33.1445,312,188,70,493,11,5858,59932,674,25,6,48079,59932,1,15,25,3129,5105567423,1573291175,false,8,283503694,Asian DOTA2 Gold Occupation  Competition
915,5630,0,218,140,70,218,12,6918,24235,655,12,8,27198,24235,1,11,24,1833,5698932136,1605255928,true,8,454849686,RED STAR CUP
911,6472,0,289,148,44,328,7,5132,17510,745,8,4,12046,17510,1,14,25,1944,5015163919,1568088360,true,8,432546468,ASIA CHALLENGER LEAGUE
908,6129,0,199,140,62,209,14,7227,29170,622,8,4,22691,29170,1,9,26,1930,5146377721,1575798112,true,8,255845056,Asian Hero League
904,17261,18.0615,378,239,81,409,11,2839,29291,841,15,1,21873,29291,1,10,25,1982,4327199705,1547213608,true,8,389033587,The Bucharest Minor 2019
