xp_per_min,tower_damage,stuns,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,buybacks,assists,level,duration,match_id,start_time,win,hero_id,account_id,leaguename
1091,1025,29.7398,335,207,106,367,7,0,31015,591,0,6,29552,31682,1,9,27,2114,5272110038,1583207192,false,23,1064197815,Masters  Tournament
1091,121,72.8216,292,229,97,525,19,0,66770,752,1,9,53038,68048,1,13,30,3139,5147825902,1575888819,true,23,1025366805,ASIA CHALLENGER LEAGUE
983,3962,57.5297,363,196,74,438,13,0,44448,748,16,4,29021,45898,1,18,28,2253,5383545098,1588046804,true,23,129869827,RED STAR CUP
970,2084,19.6126,261,197,94,261,13,0,20904,648,0,4,16585,21774,1,6,26,1815,5646654235,1602060118,false,23,410566941,Masters  Tournament
962,1809,70.4174,279,168,68,408,15,0,56127,650,8,8,46314,61545,1,20,25,2797,4992038734,1566979169,true,23,340801694,Destiny Cup
961,1166,131.803,221,108,29,359,14,0,45831,584,7,11,74074,50277,1,24,25,3267,5067241281,1570952349,false,23,1009790652,Asian DOTA2 Gold Occupation  Competition
944,3500,107.762,487,306,89,755,7,125,31661,709,8,4,34837,33591,1,16,30,3100,5144373477,1575686508,true,23,1036723936,Asian DOTA2 Gold Occupation  Competition
931,2952,82.2017,306,182,69,444,15,0,47095,731,10,9,37526,47515,1,8,29,2588,5151153798,1576117945,false,23,158659942,Asian DOTA2 Gold Occupation  Competition
929,3184,46.2355,386,223,80,841,11,0,57672,843,3,5,46726,58998,2,18,30,3936,5133062655,1575016383,true,23,1021364524,ASIA CHALLENGER LEAGUE
929,1832,104.558,282,148,59,663,15,0,65824,795,3,6,32344,66006,1,5,25,3554,5130834071,1574872350,false,23,369942571,ASIA CHALLENGER LEAGUE
929,392,57.3499,380,234,120,673,6,0,24276,708,9,2,22596,26428,1,8,30,3093,5169700201,1577327670,false,23,1025366805,Masters  Tournament
925,5222,72.1183,261,171,72,334,17,0,45613,646,10,6,32480,46500,1,27,25,2570,4935182858,1564467645,true,23,471533921,Asian DOTA2 Gold Occupation Invitational Competition S2
924,825,121.607,262,153,54,535,14,0,48846,658,13,13,55776,50892,1,19,25,3526,5027153673,1568721682,false,23,328714315,E-SPORT LEAGUE-DICKYGAMING
922,940,42.8222,356,190,86,536,6,0,36601,611,9,7,40137,39962,1,11,25,3161,5113236307,1573789769,true,23,203980597,ASIA CHALLENGER LEAGUE
920,2893,53.5874,292,180,78,513,20,0,54966,799,7,8,54071,58510,3,8,25,2884,4685209218,1556107245,true,23,407235798,rainbow cup
918,6800,32.7485,426,264,91,604,6,0,32780,726,25,3,17876,35127,1,14,28,2722,5171725109,1577456449,true,23,980505305,Bishkek Stars League #8
916,3377,58.1318,212,152,57,216,5,0,20072,507,2,2,18073,21792,1,24,25,1948,5134427369,1575092237,true,23,1036723936,Asian DOTA2 Gold Occupation  Competition
913,3019,63.6937,288,200,85,298,3,0,29956,589,6,4,28809,32146,1,22,25,1953,4991818838,1566967034,false,23,426993582,Destiny Cup
909,1444,6.78091,357,236,84,377,2,0,8126,637,3,3,15913,8126,1,6,25,2028,5633853715,1601260715,false,23,250781792,Asia Challenger league
909,958,79.5869,310,220,84,337,6,0,34799,665,8,6,31167,34859,1,6,25,2049,5132936133,1575007627,false,23,377420354,Asian DOTA2 Gold Occupation  Competition
907,9163,36.6792,347,244,88,461,12,0,42920,717,7,5,40666,45733,1,14,25,2657,4754617928,1557942578,false,23,87586992,EPICENTER Major 2019
905,1966,51.8541,200,144,51,229,12,0,32555,576,4,8,31963,34418,1,15,25,2029,5213436948,1580116564,true,23,1014766785,Asian DOTA2 Gold Occupation  Competition
904,676,42.1919,262,169,58,301,13,0,26804,630,7,7,25187,27464,1,7,25,1980,5053482464,1570166642,false,23,376545741,ASIA CHALLENGER LEAGUE
900,0,121.719,390,241,90,773,14,0,61311,826,7,3,49862,68478,1,22,30,3585,5140610619,1575453128,false,23,998096014,ASIA CHALLENGER LEAGUE
895,3726,66.9699,228,163,60,378,10,0,57558,611,8,11,50241,61580,1,27,25,2959,5008123018,1567744191,true,23,880093059,Asian DOTA2 Gold Occupation Invitational Competition S3
892,2582,19.2833,393,249,95,513,7,0,24858,676,0,2,11188,25238,1,3,26,2408,5272360362,1583222475,false,23,1054644648,Masters  Tournament
892,273,50.6897,244,152,52,276,7,400,18790,578,4,6,26448,20018,1,12,25,2160,5016937648,1568195015,false,23,1026117539,ASIA CHALLENGER LEAGUE
890,3057,42.5144,256,191,48,256,11,0,27654,594,5,5,21381,28622,1,20,24,1826,5185703311,1578292367,true,23,140357589,RED STAR CUP
885,1542,75.5249,144,99,51,326,11,0,46534,660,14,11,61965,51527,3,31,25,2868,5065501705,1570865268,true,23,471533921,Asian DOTA2 Gold Occupation  Competition
882,1972,27.1409,428,230,101,917,2,775,28387,827,7,5,35575,29557,1,14,30,3605,5151555156,1576150279,true,23,203980597,ASIA CHALLENGER LEAGUE
875,2666,98.2358,224,113,63,335,19,0,55364,614,3,4,47014,61783,1,16,25,2836,4766222620,1558274076,false,23,412258958,MT League
874,1027,81.4715,335,233,121,691,7,0,27608,743,1,5,32863,29028,1,6,30,3193,5222335519,1580610951,false,23,1054909810,Masters  Tournament
872,430,63.5323,232,155,62,270,12,0,34824,563,7,8,28814,35892,1,15,25,2060,4946103323,1564899596,false,23,835678609,Destiny Cup
867,3635,25.5531,344,206,95,430,6,0,18026,672,1,5,22971,18986,1,11,25,2635,5097214275,1572757764,true,23,881188020,Masters  Tournament
858,3969,54.2268,342,228,111,499,6,0,36519,680,0,3,27241,37424,1,10,27,2488,5186092538,1578315302,false,23,1021364524,ASIA CHALLENGER LEAGUE
858,1213,34.3762,363,226,90,478,0,0,14513,663,13,3,18091,14922,1,9,27,2396,5172505867,1577507287,false,23,1025366805,Masters  Tournament
857,4407,32.0757,296,185,61,327,8,0,25171,682,4,5,18737,26451,1,9,24,1980,5582581548,1598260855,false,23,277121156,Asia Challenger league
851,2629,79.3938,329,229,114,484,11,0,41447,671,2,5,21676,42497,1,11,29,2711,5282809759,1583735147,false,23,1064197815,Masters  Tournament
851,1021,102.483,205,115,52,322,3,355,26286,573,3,6,27281,28847,1,23,25,2567,5099008042,1572860931,false,23,1032651180,Masters  Tournament
850,807,35.2013,274,185,65,275,2,0,21497,507,3,7,26065,22197,1,11,24,1833,5176045947,1577707988,false,23,1009991723,Asian DOTA2 Gold Occupation  Competition
847,3461,30.5322,299,183,85,314,9,400,21337,630,19,7,24013,22797,1,11,25,2108,5093040437,1572515716,true,23,298103127,ASIA CHALLENGER LEAGUE
846,811,53.4538,324,204,70,355,9,0,18308,618,16,3,27645,18858,1,4,25,2075,5434100906,1590384455,false,23,998096014,Asia Challenger league
841,3322,87.3952,211,145,68,485,11,250,47180,645,12,4,40200,50293,1,26,25,3434,5015197321,1568090827,true,23,135596324,Asia Communication League
839,1303,136.537,315,171,58,572,13,125,51360,690,7,8,40074,55373,1,12,28,3014,5841628310,1613588934,false,23,329459976,DIGI CUP MONTHLY
836,2932,88.3971,275,179,74,346,7,0,46119,512,9,5,33853,46969,1,24,28,2802,5193945660,1578821855,false,23,1032918275,ASIA CHALLENGER LEAGUE
836,2422,54.4353,184,104,26,213,6,0,19458,521,0,8,34636,21368,1,21,25,2023,5147563333,1575868974,true,23,142655954,Asian DOTA2 Gold Occupation  Competition
836,1435,34.1525,284,153,60,442,9,0,35026,665,5,13,39476,35140,1,11,25,2748,5077231395,1571544167,false,23,399155036,RED STAR CUP
834,4896,57.501,260,170,66,421,4,0,27471,657,14,5,42613,28585,1,27,28,2528,5163441638,1576932246,true,23,158659942,Asian DOTA2 Gold Occupation  Competition
834,1132,45.661,557,338,139,623,10,0,31709,653,16,6,20854,32121,1,4,25,2056,5099315044,1572874920,false,23,1014667163,Asian DOTA2 Gold Occupation  Competition
832,5613,45.0508,262,180,79,408,8,0,30411,669,3,3,30097,31601,1,29,27,2412,5388223046,1588259353,true,23,210053851,EGB Isolation Cup
830,7385,39.0499,404,266,127,416,6,0,29457,726,15,1,13990,31966,1,17,24,1856,5050430233,1569989146,true,23,404529913,MDL Chengdu Major
830,5282,64.9158,348,221,91,507,9,240,30548,639,8,3,36854,34421,1,15,28,3164,5650986568,1602331218,false,23,40805086,ESL One Germany 2020 Online powered by Intel
829,2229,108.453,290,162,69,576,19,0,66334,789,16,9,57015,71851,2,20,25,3353,4872137286,1561795383,true,23,921679546,Asian DOTA2 Gold Occupation Invitational Competition S2
829,0,33.643,91,48,22,189,14,0,16392,596,0,8,17333,28880,1,8,24,2234,2518855634,1469109606,false,23,136927241,ESL India Premiership - Season One
828,1750,91.8834,373,202,69,775,7,0,42219,784,10,5,39880,44937,2,10,25,3588,5108317901,1573440161,false,23,369942571,Masters  Tournament
827,1361,81.5234,273,171,86,360,8,400,23677,562,5,7,31540,26654,1,13,26,2473,5650042103,1602263414,false,23,140297552,ESL One Germany 2020 Online powered by Intel
826,4978,46.2368,323,204,100,370,15,0,45245,645,2,4,28618,45845,1,11,26,2237,5295148562,1584329853,false,23,1021364524,Asia Challenger league
826,3296,37.437,246,143,58,383,9,0,33009,649,9,8,31131,34589,1,22,25,2545,5107210389,1573377212,false,23,1014766785,Asian DOTA2 Gold Occupation  Competition
824,1998,71.7538,242,140,65,428,11,360,52195,610,3,3,36420,59682,1,22,25,2782,4722739079,1557056365,false,23,320854806,The Nationals - Conference 2
822,2329,30.3866,256,155,84,271,11,0,22828,633,7,5,21150,25238,1,9,24,1939,5470134362,1592123507,true,23,1011457057,Lockdown Online Tournament Season 2
821,2571,42.4715,282,165,72,311,9,0,23450,678,11,3,11340,26530,1,14,25,2001,3669505748,1515497626,true,23,108376607,ESL One Katowice 2018 powered by Intel
821,619,66.7128,300,165,64,404,11,1300,33993,688,3,2,29169,36729,1,10,25,2265,4939470359,1564641431,false,23,104512126,Stars Championship Compeition
818,460,63.3219,307,168,62,545,11,0,43405,757,6,9,41077,44465,1,12,25,2793,5105895871,1573305314,false,23,417663640,Asian DOTA2 Gold Occupation  Competition
817,1139,40.4002,274,140,62,334,8,0,22097,574,22,4,31068,22647,1,12,25,2160,5147590451,1575871419,false,23,383240840,HaiNan Supreme Cup
815,2053,104.041,290,180,67,453,16,0,73194,686,1,5,36537,76648,1,13,25,2719,4813801437,1559731378,false,23,361452834,redrain cup
813,5357,74.8134,207,138,57,433,11,115,37732,625,18,8,49550,41172,1,27,25,3277,4795018997,1559155057,false,23,105297599,"Hardstyle Minor League "
813,357,49.6019,343,209,73,421,7,0,28118,630,18,4,25490,33519,2,10,25,2471,4329928518,1547312213,true,23,468599935,The Bucharest Minor 2019
813,168,34.0222,284,146,66,434,6,0,24880,601,0,5,22962,25173,1,11,27,2517,5277064620,1583472281,false,23,368587343,Masters  Tournament
810,9557,68.6602,344,246,87,509,20,0,58457,818,23,3,36014,61257,1,23,25,2639,5029910353,1568887445,true,23,835678609,Blue Dota冠军赛
808,10387,44.2769,253,149,69,301,15,0,29554,742,13,3,14201,29574,1,15,24,2008,4857665739,1561211252,true,23,875796625,Meister Division 2019
808,7438,56.7331,257,147,60,456,13,0,39934,638,8,4,42766,41024,1,20,25,3224,5000315106,1567338082,true,23,1009894221,Asian DOTA2 Gold Occupation Invitational Competition S3
