xp_per_min,tower_damage,stuns,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,buybacks,assists,level,duration,match_id,start_time,win,hero_id,account_id,leaguename
1093,12161,36.4209,277,162,46,524,7,0,36665,716,0,8,26110,36665,1,12,25,3048,5129763785,1574823056,true,52,116885013,Campeonato Brasileiro de Dota 2
1017,9562,21.2347,288,172,80,299,13,0,31681,794,1,8,24250,31681,1,13,26,1834,5501463873,1594028694,true,52,1009469896,Asian DOTA2 Gold Occupation  Competition
1016,11704,67.977,234,131,61,315,15,125,29225,690,10,10,28949,29225,1,15,25,2535,5001756753,1567407698,true,52,1009894221,Asian DOTA2 Gold Occupation Invitational Competition S3
989,2644,14.6636,294,160,68,349,10,0,26935,711,3,6,27665,26935,1,5,27,2013,5669687642,1603528635,false,52,969706575,Asia Challenger league
989,1695,57.4584,403,230,92,506,6,0,17324,687,9,4,17017,17324,1,0,27,2364,5216020716,1580266152,false,52,1055750486,Masters  Tournament
979,965,71.7598,201,139,70,205,11,0,31197,574,2,13,28225,31197,1,10,25,1930,5733631980,1607395123,false,52,158659942,The Crown Cup
975,13635,57.0589,374,231,93,509,9,0,25340,722,3,3,16966,25340,1,6,28,2448,5272223462,1583214779,false,52,1054909810,Masters  Tournament
973,5788,55.2918,240,150,38,519,20,0,56221,724,3,13,48404,56221,1,18,30,3593,5135047546,1575118080,false,52,369942571,ASIA CHALLENGER LEAGUE
967,7424,29.0075,352,190,67,562,9,125,32288,719,16,5,25201,32288,1,12,25,3006,5128596534,1574757030,true,52,150588364,ASIA CHALLENGER LEAGUE
963,6894,37.7154,296,175,101,399,10,0,32183,659,9,8,25123,32183,1,0,26,2304,5422173326,1589783326,false,52,877281328,Asia Challenger league
949,7924,63.2739,259,124,46,479,35,360,65806,836,5,7,33874,65806,1,9,25,2892,5105784147,1573301126,true,52,1009894221,Asian DOTA2 Gold Occupation  Competition
947,9901,34.1913,294,204,42,313,14,0,26080,739,17,4,12282,26080,1,10,25,1866,5011734719,1567913812,true,52,396221331,Asia Communication League
947,3594,64.2817,190,115,48,228,18,0,43757,623,14,7,27521,43757,2,9,25,2459,4860122787,1561298569,false,52,323545943,Meister Division 2019
940,9393,41.2651,252,167,61,328,17,700,57811,733,12,6,24644,57811,1,9,27,2161,5576112928,1597898090,false,52,868787608,RED STAR CUP
938,4690,54.9693,309,204,57,369,15,0,44104,650,5,7,30362,44702,1,5,27,2261,5197559924,1579071975,false,52,185128119,Masters  Tournament
937,5642,67.2665,308,163,65,384,18,0,58844,666,15,9,34849,58844,2,13,25,2596,5000121993,1567332030,false,52,235002246,ASIA CHALLENGER LEAGUE
933,8408,50.7565,277,139,44,389,15,0,27857,632,8,5,28209,27857,1,5,27,2563,5150276159,1576061033,false,52,110276878,HaiNan Supreme Cup
933,8060,20.072,361,195,90,376,11,355,22459,740,1,4,12821,22459,1,10,25,1894,5688809861,1604633887,true,52,374613897,Masters Tournament
930,6315,28.4661,297,188,74,333,14,125,37043,759,7,4,18845,37043,1,7,27,1991,5691838690,1604802867,true,52,250781792,Masters Tournament
929,9838,59.1942,296,172,77,743,17,0,64234,850,5,9,43255,64234,1,8,30,3646,5149131398,1575978458,true,52,203980597,ASIA CHALLENGER LEAGUE
929,6172,44.1295,220,169,70,279,18,0,49266,726,8,11,29674,49266,2,10,28,2125,5728077324,1607061657,true,52,381836070,The Crown Cup
920,2606,31.6799,385,227,94,824,16,0,61946,872,0,5,44031,61946,1,10,30,3331,5171272229,1577433869,true,52,1021364524,Masters  Tournament
919,2579,33.7467,298,181,59,339,9,0,54000,637,16,4,26533,54000,1,12,25,2233,4987855169,1566792235,false,52,993068824,ASIA CHALLENGER LEAGUE
916,19456,34.4713,178,115,46,214,14,0,37074,653,2,18,32234,37074,1,7,27,2171,5734956921,1607484215,true,52,1051852966,The Crown Cup
915,8733,55.0411,303,183,64,755,13,0,59798,843,5,5,36115,59798,1,8,30,3179,5192680664,1578747147,false,52,1032768189,ASIA CHALLENGER LEAGUE
915,6069,74.718,208,135,45,235,14,0,37777,642,10,9,24498,37777,1,13,25,1946,5008181187,1567747910,true,52,199083712,ASIA CHALLENGER LEAGUE
915,5725,74.9672,225,131,57,342,15,1185,42107,711,6,7,30428,42107,1,18,25,2714,5098803297,1572846773,true,52,141250669,Masters  Tournament
912,3527,42.857,334,194,88,380,5,145,38293,636,5,4,20056,38293,1,10,26,2290,5345864022,1586508218,false,52,439548339,Masters  Tournament
907,5031,46.4606,231,154,49,367,14,0,47518,677,10,12,34673,47518,1,14,25,2718,4997716779,1567238135,false,52,471533921,Asian DOTA2 Gold Occupation Invitational Competition S3
906,7433,26.3588,296,182,80,307,11,125,21985,671,2,2,10075,21985,1,10,25,1921,5577866550,1598005312,true,52,439548339,Asia Challenger league
904,12169,57.2678,196,108,45,291,18,0,55656,673,17,13,28528,55656,1,12,25,2468,5018411981,1568277074,false,52,380426714,Asia Communication League
904,11780,90.8502,196,133,44,262,22,290,53769,775,6,8,26925,53769,1,12,28,2189,5143079482,1575610255,true,52,471533921,Asian DOTA2 Gold Occupation  Competition
903,6495,63.5962,194,142,60,215,13,0,27894,585,3,6,22299,27894,1,9,26,1952,5170247367,1577364253,true,52,1036529642,Asian DOTA2 Gold Occupation  Competition
903,1384,27.6796,325,209,73,361,13,0,28913,643,9,8,20739,28913,1,2,27,2110,5247655718,1581951431,false,52,1021028995,Asia Challenger league
902,11036,90.6013,216,129,58,334,21,515,52281,711,0,9,32358,52281,1,15,25,2564,5029677520,1568872793,true,52,880093059,Asian DOTA2 Gold Occupation Invitational Competition S3
902,10185,54.2857,283,152,32,391,23,0,42320,824,7,6,22437,42320,1,12,25,2390,4874671193,1561884500,false,52,204281778,Asian DOTA2 Gold Occupation Invitational Competition S2
899,5994,27.514,180,117,35,184,13,775,32292,579,2,6,21088,32292,1,20,24,1834,5155632958,1576401271,true,52,283503694,Asian DOTA2 Gold Occupation  Competition
898,7061,35.2384,254,138,58,536,12,0,32479,693,2,8,41149,32479,1,15,25,3165,5090490086,1572346713,false,52,298103127,ASIA CHALLENGER LEAGUE
898,4365,39.3207,333,203,81,378,10,155,22484,684,12,2,18760,22484,1,12,25,2050,5110908657,1573626962,true,52,161042969,ASIA CHALLENGER LEAGUE
898,655,58.7616,303,191,64,432,6,100,36138,615,12,9,39902,36138,1,8,27,2484,5811102484,1612072257,false,52,209165399,Asian Blood Roded Championship
896,5259,76.0771,397,231,94,727,14,500,43573,798,5,5,34855,43573,1,10,30,3336,5178625303,1577871822,true,52,161042969,ASIA CHALLENGER LEAGUE
892,7322,100.786,222,108,44,246,22,0,54660,610,8,10,32342,54660,1,8,26,2127,5160532965,1576743954,true,52,142655954,Asian DOTA2 Gold Occupation  Competition
891,4728,36.4189,333,170,48,414,10,0,24885,719,4,5,18741,24885,1,7,27,2127,5700069450,1605321484,true,52,877281328,Asia Challenger league
890,8623,25.454,217,138,68,315,12,0,43983,599,2,10,41824,43983,1,12,26,2424,5278878960,1583559818,false,52,298103127,Masters  Tournament
889,6138,71.294,271,154,53,608,11,0,56497,738,11,10,36990,56497,1,21,25,3210,5105399782,1573282477,false,52,1025925850,Masters  Tournament
886,4760,52.5028,263,133,71,339,8,0,37518,602,0,9,29816,37518,1,3,26,2191,5287811313,1583994941,false,52,1032918275,Masters  Tournament
884,4518,26.2806,261,180,83,360,9,0,30761,635,3,6,19864,30761,1,5,25,2300,5129935474,1574835097,false,52,928606146,Asian Hero League
884,3168,30.2777,297,188,66,347,7,0,31888,649,5,6,20541,31888,1,8,25,2042,5826615045,1612939225,false,52,230080107,WCAA冬季电子竞技挑战赛
883,1310,24.5837,345,223,69,415,9,0,20843,671,2,7,23931,20843,2,3,28,2380,5141683741,1575518211,false,52,135975154,Asian Hero League
882,2235,34.0294,275,164,69,380,7,0,26799,618,6,11,23000,26799,1,4,26,2270,5210327523,1579934200,false,52,298103127,Masters  Tournament
880,9094,37.3091,277,160,68,288,7,0,31342,635,3,5,16523,31342,1,14,24,1860,5253284519,1582277355,true,52,1058098132,Asia Challenger league
879,21133,159.116,272,150,52,648,26,0,71812,947,11,8,54603,71812,3,17,25,3469,5088785966,1572235330,true,52,191719306,ASIA CHALLENGER LEAGUE
879,6320,55.303,252,151,88,269,8,125,25268,593,4,6,22824,25268,1,15,25,1949,4928660378,1564216860,true,52,206379758,Stars Championship Compeition
878,12588,54.7804,254,170,95,388,13,0,36575,739,14,5,29582,37043,1,22,25,2515,5102710447,1573109225,true,52,998096014,Masters  Tournament
876,14917,56.3713,282,153,49,430,13,0,51722,824,2,9,31987,51722,1,14,25,2367,4863401758,1561448756,true,52,237760714,Asian DOTA2 Gold Occupation Invitational Competition S2
876,11633,41.9949,311,170,55,601,14,0,33654,771,1,4,28411,33654,1,13,25,3059,5109534526,1573525817,true,52,1025925850,Masters  Tournament
873,1448,37.5343,223,141,46,302,9,0,26941,579,11,6,22590,26941,1,9,25,2107,5663151793,1603099105,false,52,854385793,Asia Challenger league
872,6143,18.5374,292,208,100,724,9,0,44875,696,3,8,46547,44875,1,5,30,3605,5151555156,1576150279,false,52,998096014,ASIA CHALLENGER LEAGUE
871,16312,62.3721,271,167,78,544,18,390,39997,736,13,9,37827,39997,2,9,25,3409,5003409297,1567491389,true,52,909640667,Destiny Cup
871,6224,16.9093,338,203,63,501,8,350,29687,728,16,5,24645,29687,1,11,28,2538,5676610335,1603959459,false,52,100594231,Top Clans 2020
870,18183,30.0239,328,165,65,406,12,0,44199,787,14,7,26716,44199,1,13,25,2327,4930693583,1564291448,true,52,224195257,Stars Championship Compeition
870,8066,61.7555,285,146,67,313,12,325,21861,727,7,4,13658,21861,1,5,24,1885,5224137683,1580702675,true,52,341533059,"Thailand Celestial Cup "
870,5112,16.2782,314,181,51,478,11,85,24574,735,9,3,25613,24574,1,8,28,2577,5675293082,1603873234,true,52,898754153,CDA-FDC富名文贺DOTA2职业锦标赛
869,10106,35.6981,341,191,71,704,15,0,32940,838,5,5,28941,32940,2,13,25,3379,4863507076,1561452793,true,52,224195257,redrain cup
867,4212,15.0618,253,146,64,255,13,0,25840,594,3,7,25386,25840,1,10,24,1825,5432476467,1590308732,false,52,1048431936,RED STAR CUP
867,2043,10.6403,322,202,95,653,5,0,24494,734,7,5,22850,24494,1,13,29,3040,5316562619,1585298216,false,52,1021364524,Asia Challenger league
867,533,50.4837,305,166,50,360,5,0,24589,574,4,5,23389,24589,1,9,25,2181,5153769645,1576296475,false,52,139494219,Elite Cup Season 3
866,3141,17.2591,352,230,93,596,2,0,33278,659,1,5,34146,33278,1,5,28,2982,5134664127,1575102603,false,52,298103127,ASIA CHALLENGER LEAGUE
865,1869,33.3314,313,182,60,482,10,0,33632,677,10,8,35180,33632,1,16,28,2676,5818129179,1612473384,false,52,1131665504,DPC Winter 21 League (SA) presented by OGA
864,10311,44.153,184,112,36,270,12,0,33177,666,1,8,30441,33177,1,17,28,2318,5147548350,1575867666,true,52,196115648,HaiNan Supreme Cup
862,4271,27.6912,187,114,35,338,24,0,59422,684,8,5,30916,59422,1,11,25,2678,5103188526,1573136368,true,52,138700416,Asian DOTA2 Gold Occupation  Competition
860,5155,58.184,204,123,56,226,16,0,43019,598,3,6,22260,43019,1,7,27,2120,5229099360,1580981166,true,52,1032651180,ASIA CHALLENGER LEAGUE
859,8009,53.4198,276,181,89,293,14,165,33471,598,4,8,22273,33471,1,10,25,2145,5160472723,1576739293,true,52,150588364,Masters  Tournament
858,10030,98.0624,261,183,90,348,9,0,43176,676,7,3,21943,43176,1,22,25,2323,5053793447,1570183149,true,52,998096014,ASIA CHALLENGER LEAGUE
857,7573,43.6615,295,155,54,475,10,0,49196,738,10,7,27496,49196,1,12,25,2569,5098882816,1572852887,true,52,1021364524,Masters  Tournament
856,13052,40.8059,251,126,55,305,12,300,34180,798,0,10,34314,34180,1,17,25,2023,5112161110,1573714784,true,52,169815102,Elite Cup Season 2
854,12591,66.4607,223,168,69,283,16,0,45926,634,11,6,21487,45926,1,12,27,2206,5186916957,1578368348,true,52,188706189,RED STAR CUP
854,3139,32.7245,338,182,72,465,5,0,28563,682,15,5,21257,28563,2,10,26,2318,5414273956,1589436481,false,52,208287519,2020 DSPL 中国DOTA2次级联赛
854,2921,70.2418,304,184,73,590,7,0,49044,666,4,9,45489,49044,1,28,25,3548,5083004109,1571903718,false,52,203980597,ASIA CHALLENGER LEAGUE
853,10008,72.0771,196,107,31,267,18,0,33829,641,5,13,29268,33829,2,9,27,2250,5198637668,1579146973,true,52,372189566,Masters  Tournament
851,10383,46.506,189,79,13,280,4,0,21648,624,11,9,25357,21648,1,19,25,2122,5025374443,1568619731,true,52,1009882497,Asian DOTA2 Gold Occupation Invitational Competition S3
851,6416,47.2003,260,155,74,345,7,0,31803,582,0,6,21303,31803,1,6,27,2447,5314389995,1585197704,false,52,1054909810,Asia Challenger league
851,5028,11.0467,267,192,83,348,8,0,34713,600,2,6,26678,34713,1,13,26,2108,5367919200,1587382166,false,52,374613897,Asia Challenger league
850,12393,26.2567,367,202,86,471,9,115,28378,850,14,4,23540,28378,1,19,26,2211,5676467940,1603947047,true,52,100594231,Monster Energy DOTA Summit 13 Online
850,6164,66.2328,294,201,96,498,11,0,37654,740,5,5,26917,37654,1,19,25,2557,5093090475,1572518744,true,52,1032768189,ASIA CHALLENGER LEAGUE
849,5934,51.9816,221,147,58,235,12,0,35674,618,13,7,20026,35674,1,8,24,1881,5203932895,1579490966,true,52,1009991723,Asian DOTA2 Gold Occupation  Competition
847,13225,51.1111,211,144,57,393,10,0,38120,709,2,9,27065,38120,1,14,25,2453,5095580796,1572669127,true,52,203980597,Masters  Tournament
847,3162,13.2111,280,189,80,372,10,125,38540,626,3,10,26883,38540,1,10,25,2118,4950447925,1565081169,false,52,235002246,ASIA CHALLENGER LEAGUE
846,1050,69.9282,212,130,36,392,13,0,47371,636,6,12,45922,47371,1,15,25,2866,5098921108,1572855804,false,52,1014766785,Asian DOTA2 Gold Occupation  Competition
845,6506,42.9227,326,180,68,391,17,0,31738,796,7,4,15248,31738,1,5,25,1983,4900754747,1563007567,true,52,139822354,The International 2019
844,2432,37.6936,226,113,43,427,11,0,29480,618,5,8,24295,29480,1,10,27,2582,5293117655,1584243184,false,52,1030564800,Asia Challenger league
843,14122,47.403,208,139,71,252,12,250,28737,674,8,5,17146,28737,1,11,25,2045,5816189387,1612358120,true,52,1138117882,X League
840,2220,15.4303,328,161,52,494,9,0,31069,625,2,6,28466,31069,1,5,28,2632,5167147231,1577161654,false,52,1049887172,Masters  Tournament
839,16900,72.5621,267,167,79,404,11,0,41605,740,4,4,40146,41605,1,18,27,2466,5649309131,1602226269,true,52,107803494,AMD SAPPHIRE OGA DOTA PIT CHINA
839,7987,52.6128,239,125,62,403,13,0,54233,743,2,7,28514,54233,1,14,28,2370,5625358232,1600742548,true,52,998096014,Asia Challenger league
837,6929,17.5109,310,210,93,407,12,0,26697,695,5,4,22524,26697,1,10,27,2263,5683115084,1604291811,true,52,1042041719,Masters Tournament
835,14958,56.0026,304,174,42,502,12,0,42231,751,22,10,25240,42231,1,17,25,2859,5068622119,1571022743,true,52,1014766785,Asian DOTA2 Gold Occupation  Competition
835,2102,49.3936,226,158,58,244,9,0,23608,581,5,8,25482,23608,1,6,24,1953,5041287144,1569495508,false,52,1021364524,Masters  Tournament
832,9788,34.6473,213,111,43,491,12,634,37515,652,14,7,42887,37515,2,7,29,3244,5750027854,1608455478,false,52,110837826,WCAA冬季电子竞技挑战赛
829,6316,54.5422,254,100,24,343,18,125,29467,647,9,7,22308,29467,1,7,25,2343,5038424504,1569325746,true,52,377420354,Asian DOTA2 Gold Occupation Invitational Competition S3
828,12257,62.377,193,135,50,218,24,0,51174,692,7,13,31804,51174,1,18,25,2158,4928594135,1564214915,true,52,177909246,Betway Dota 2 Asia League - Season 2
827,11558,37.4025,347,204,81,474,14,0,24339,802,10,3,18271,24339,1,8,25,2200,5665692587,1603271299,true,52,1070551431,CDA-FDC富名文贺DOTA2职业锦标赛
824,9221,81.9135,267,136,37,593,9,0,36845,737,17,6,31181,36845,2,12,25,3175,5070305625,1571131606,true,52,136177710,威客黎明之战
824,2112,39.4115,301,132,37,316,8,0,29396,595,5,11,25232,29396,1,9,25,2108,5093040437,1572515716,false,52,1032651180,ASIA CHALLENGER LEAGUE
823,3448,97.5179,285,175,68,563,7,0,46720,733,8,2,24326,46720,1,8,29,2916,5777007584,1610088785,false,52,122459461,DPC Winter 21 Qualifier (SEA) presented by PGL
821,11711,79.4817,246,165,74,365,10,0,30642,636,8,3,21752,30642,1,14,25,2449,5048993627,1569908750,true,52,324277900,Asian DOTA2 Gold Occupation Invitational Competition S3
821,10479,76.4551,198,97,28,229,16,0,52018,660,3,6,15164,52018,1,12,24,2032,5220397444,1580507198,true,52,168951929,Dotabuff Reach - Pinnacle Division
821,8398,32.5051,318,188,93,604,7,0,19569,779,5,3,17988,19569,1,6,28,2854,5848444853,1613908880,true,52,217599053,META'21 Open. Winter
820,3603,30.3308,235,153,52,355,11,170,41202,620,9,9,37729,42093,1,6,25,2538,4995368973,1567134437,true,52,880093059,Asian DOTA2 Gold Occupation Invitational Competition S3
820,1641,49.2244,246,126,44,252,7,0,23992,536,17,8,18703,23992,1,2,24,1907,5160341926,1576727737,false,52,161042969,Masters  Tournament
