xp_per_min,tower_damage,stuns,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,buybacks,assists,level,duration,match_id,start_time,win,hero_id,account_id,leaguename
836,5883,101.032,285,174,63,777,12,0,68948,778,26,4,23131,68948,1,14,29,3943,5140532243,1575448095,false,80,373706861,ASIA CHALLENGER LEAGUE
833,8772,68.3463,253,131,50,443,7,2426,40503,662,7,6,39018,40503,1,11,29,2928,5143474503,1575634803,false,80,1046201890,ASIA CHALLENGER LEAGUE
799,4498,56.6605,268,151,50,490,7,0,30298,743,4,5,26278,30429,1,9,27,2821,5148137916,1575902917,true,80,369942571,ASIA CHALLENGER LEAGUE
785,19168,61.7243,260,180,57,280,17,0,36105,710,10,5,21790,36105,1,8,24,2162,5495249577,1593649987,true,80,110583422,The Great American Rivalry
777,20406,110.279,245,149,62,656,16,886,71378,765,7,8,38948,71378,1,17,25,4012,4910831000,1563466006,true,80,62533910,joinDOTA League #16
764,6734,0.501543,129,96,43,237,19,495,26475,609,14,5,17210,34048,1,14,25,2555,2030661859,1451131291,true,80,103649582,ASUS ROG Royal Series 1
745,6391,34.2487,276,176,64,434,10,0,26637,695,10,4,20335,26637,1,11,25,2568,4618201182,1554536432,false,80,152545459,AMD SAPPHIRE DOTA PIT Minor 2019
738,19835,134.122,244,150,82,618,10,0,39996,550,13,5,38671,39996,1,11,30,5195,5188241841,1578456956,true,80,101908305,Elite Challenge
737,7598,99.1996,288,162,68,530,17,0,45271,738,12,4,40949,45271,1,5,29,3143,5731428182,1607256855,true,80,311268710,YouTube SIVVIT - Big Russian Show
732,4397,40.6653,182,109,48,318,5,0,27934,506,19,9,30719,27934,1,15,25,2873,4838997547,1560540583,false,80,197419137,"Hardstyle Minor League "
725,15515,31.3907,273,167,74,274,6,0,19173,659,6,2,15776,19173,1,8,22,1802,5634385062,1601298234,true,80,114933489,BTS Dota 2 Online
715,24007,68.4792,266,157,62,373,11,0,37516,651,17,4,25628,37516,1,17,27,2887,5468240463,1592033497,true,80,389033587,BTS Dota 2 Online
715,444,30.5168,231,124,49,325,4,187,16106,634,11,4,16747,28025,1,12,23,2485,2171341487,1456165500,false,80,98092287,Click-Storm DOTA 2 League
713,20181,82.9714,206,148,80,308,9,0,27764,530,17,2,32174,27764,1,20,26,2983,5475423822,1592420452,true,80,1085097985,GamaGames - Season 4 Professional - Part 2
712,11914,83.2064,251,146,60,429,7,0,38484,630,23,3,24194,38484,1,17,25,3241,4797647892,1559242164,true,80,125581247,ESL One Birmingham 2019 powered by Intel
709,16603,10.7302,222,147,60,462,22,0,68876,674,12,5,31859,68876,1,21,25,3452,3457928679,1506035394,true,80,86745912,SL i-League Invitational Season 3
706,9478,45.9374,170,86,37,321,9,0,24429,595,23,8,21199,24429,1,13,25,2868,3589846811,1511995780,true,80,125661623,Polupro ladder league season 1
697,7898,55.6956,293,171,47,439,9,0,21369,550,4,5,34952,21369,1,10,27,2941,5369790611,1587463231,true,80,85395195,Oceanic Esports Dota League
695,2709,9.98694,163,102,43,212,11,0,20057,565,5,8,24841,20057,1,6,25,2373,2929852059,1485008478,false,80,86992358,ProDotA Cup Series by Azubu.tv
694,13304,76.5201,230,138,72,400,17,0,46482,680,3,2,31621,46482,1,8,27,2827,5535953711,1595718653,true,80,249651648,Movistar Liga Pro Gaming Season 5
689,4682,49.5543,147,90,27,236,3,0,23347,423,3,7,32414,23347,1,14,24,2416,5223736260,1580670300,false,80,26717183,Dotabuff Reach - Pinnacle Division
681,3071,73.8234,226,129,59,370,4,0,20086,560,14,5,20343,20086,1,14,26,2709,5458511567,1591520227,false,80,355168766,BTS Dota 2 Online
678,12934,25.6322,258,137,69,402,5,0,22101,676,7,2,24622,22648,1,16,25,2730,3424919330,1504557277,true,80,62533910,WellPlay Invitational by VitalBet
676,2798,14.4283,265,157,71,364,4,252,8200,620,9,3,19041,13913,1,6,23,2468,2168582808,1456070759,false,80,95430068,ProDotA Cup by Azubu.tv
676,2375,0.167187,293,173,67,400,5,0,16255,683,15,5,15343,16255,1,5,25,2440,2968860662,1486097783,false,80,101229364,Dota 2 Asia Championships 2017
675,7108,11.4785,216,149,75,297,14,0,31338,672,7,2,10420,31338,1,11,24,2310,2935481448,1485245315,true,80,132309493,SL i-League StarSeries S3
673,8118,64.4534,198,113,47,425,10,0,39412,567,4,4,20973,39412,1,16,27,3150,5404630078,1588975650,false,80,287348378,ESL One Birmingham 2020 Online powered by Intel
671,4174,66.128,200,129,53,316,4,0,20590,499,12,5,28452,20590,1,10,25,2785,5490115841,1593338144,false,80,137272985,2020 DPL-CDA S2 中国DOTA2职业联赛S2
670,12456,71.032,201,127,51,376,22,400,55481,595,5,6,49807,55481,2,18,28,3407,5662495029,1603044053,false,80,848754868,DIGI CUP MONTHLY
670,11221,75.4492,169,108,44,264,7,0,29840,559,6,8,25885,29840,1,22,25,2867,4557301825,1553169857,true,80,407038958,MantanDoto League Season 2
666,5093,20.9774,210,107,51,549,8,0,29413,624,13,8,28096,29413,1,13,25,3659,3916972828,1527412616,false,80,108680138,CZ-SK Dota 2 League Season 10
665,4798,14.8752,238,135,47,312,10,0,22781,589,6,3,16771,22781,1,7,24,2346,2999907435,1487174394,false,80,196490133,D2CL
664,18094,45.0457,248,154,60,320,9,0,35789,641,16,3,18352,35789,1,15,23,2261,5260916519,1582639260,true,80,906941247,Parimatch League Season 2
664,13611,68.9448,241,157,69,317,3,2702,41803,621,7,4,20595,41803,1,20,24,2440,4503487476,1551969110,true,80,169359249,World Electronic Sports Games 2018-2019
664,3345,1.40488,189,146,68,335,11,0,21333,620,14,4,17867,36014,1,15,24,2726,2060792602,1452160840,false,80,86725175,Winter Major 2016
661,4446,70.235,209,144,66,424,6,2731,45977,613,41,1,22509,45977,1,19,25,2959,3182170543,1494873464,false,80,62533910,ProDotA Cup by Azubu
659,6175,36.8645,231,168,63,249,7,0,24535,487,10,7,31256,24535,1,7,22,2042,5272472657,1583228182,false,80,1014645107,Asian DOTA2 Gold Occupation  Competition
658,7566,21.2649,160,93,30,249,8,0,13199,503,8,6,18687,13199,1,7,25,2565,4270214017,1544793131,false,80,95430068,I Can't Believe It's Not Summit
657,8780,85.5857,199,136,59,328,6,0,27328,442,13,7,40638,27328,1,17,26,3498,5775167754,1609963828,false,80,410149474,DPC Winter 21 Qualifier (SA) presented by OGA
656,9462,90.2017,225,168,61,419,17,1349,44511,593,22,4,31009,44511,1,21,25,3486,3246691279,1497370190,true,80,98092287,WellPlay Invitational by VitalBet
654,4716,95.8156,229,126,57,400,4,0,36658,440,10,8,31695,36658,1,14,27,3664,5446579683,1590937328,false,80,86738694,ESL One Birmingham 2020 Online powered by Intel
652,11223,51.3814,202,95,25,458,8,0,31993,632,4,8,28363,31993,1,19,25,3424,3287799041,1498989181,true,80,114314019,CONQUERORS INSIGNIA MINI (Season 1) Online qualifiers
651,10396,25.1616,236,140,65,621,15,0,57010,737,32,8,26129,57010,2,13,25,3412,4234745645,1542973005,false,80,104963314,joinDOTA League #14
650,10979,23.3966,259,177,83,568,16,0,57681,634,17,10,34734,63072,1,23,25,3742,3570219677,1511066819,false,80,117281554,Perfect World Masters
650,10570,18.7761,268,132,58,486,11,0,41333,592,16,5,26421,42381,2,7,25,3769,4242408204,1543326439,false,80,230328929,The Chongqing Major
650,5783,7.42081,279,159,80,403,6,0,24140,640,13,4,17303,24140,1,9,24,2534,3028976894,1488394966,false,80,53178236,WellPlay Invitational by VitalBet
649,4812,14.8705,194,113,49,305,8,0,27673,542,29,7,18187,27673,1,11,25,2637,4232971816,1542885067,false,80,100626065,E-SPORT LEAGUE-DICKYGAMING
648,5919,58.8405,221,146,47,528,5,4814,42827,622,16,6,40808,42827,1,32,25,4210,4468916368,1551267597,false,80,198455581,ESL One Mumbai 2019 powered by Intel
648,4510,44.811,187,94,40,268,9,0,22666,519,19,7,19507,22666,1,16,25,2607,4309393842,1546439365,true,80,287044066,E-SPORT LEAGUE-DICKYGAMING
647,3321,39.058,231,176,69,278,6,0,17607,623,29,3,15062,35126,1,12,22,2342,2371257583,1463566024,false,80,51684352,SL i-League StarSeries S2
646,6262,12.3439,229,127,42,440,7,0,24069,589,7,4,23247,24069,1,10,25,3171,4382052948,1549062894,false,80,385750274,DreamLeague Season 11
645,7825,15.7705,194,101,36,401,8,0,20512,617,11,3,24831,20512,2,14,25,3055,4361103814,1548436372,true,80,171981096,DreamLeague Season 11
643,188,34.0294,294,218,90,315,3,0,10628,514,9,3,14932,10628,1,3,22,1966,5158355230,1576584488,false,80,237238721,Winter Tournament/Moon Studio
641,2870,19.2,270,188,74,293,6,0,11933,641,23,3,11120,11933,1,7,22,1987,3552856025,1510279190,false,80,94004717,The Summit 5
641,2308,61.9493,160,106,31,233,7,0,26857,412,6,7,27501,26857,1,10,25,2784,5166699510,1577122883,false,80,327519547,"TESL 2 "
639,11627,46.8751,176,112,55,319,6,2793,23337,537,6,9,41676,23337,1,18,25,3420,4873226548,1561824018,true,80,235111454,FUN MATCH LEAGUE
638,4206,21.9595,221,122,47,343,5,0,32903,516,25,6,28336,32903,1,20,25,2742,4234538035,1542964085,false,80,237201026,joinDOTA League #14
636,11272,26.6243,215,150,61,280,3,0,10828,527,26,4,16965,10828,1,13,24,2439,4852353943,1561014956,true,80,137272985,ZBT INVITATIONAL
636,11129,16.1606,231,143,69,392,4,0,23678,603,19,7,21702,23678,1,16,25,2869,3515093661,1508605526,true,80,86745912,PGL DOTA2 OPEN
636,2680,42.9696,241,140,63,390,5,349,13624,605,9,5,23665,20484,2,9,24,2985,2228663009,1458217777,false,80,121193698,SEA Kappa Invitationals
634,7002,43.322,177,110,45,242,7,0,20319,573,7,8,23826,20319,1,11,24,2351,2925167755,1484821824,false,80,192914280,SL i-League StarSeries S3
633,4544,39.4567,238,150,51,360,10,416,15764,637,20,5,16372,27036,1,12,23,2775,2259953911,1459335572,false,80,186977347,H-CUP(好汉杯）
633,1229,28.5071,169,104,58,261,9,0,22415,502,23,6,15103,22415,1,10,23,2242,3072402946,1490261627,false,80,101208242,ProDotA Cup Series by Azubu.tv
633,516,26.6498,177,85,31,427,8,0,33976,547,15,5,23019,33976,2,14,25,3257,4274280250,1544973590,false,80,221532774,YouTube SIVVIT - Big Russian Show
632,14285,25.5052,246,148,57,362,9,0,36691,670,10,2,9213,36691,1,10,25,2638,3076480843,1490432235,true,80,90882159,Dota 2 Professional League 2016
