xp_per_min,tower_damage,stuns,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,buybacks,assists,level,duration,match_id,start_time,win,hero_id,account_id,leaguename
889,2173,1.76624,222,154,48,222,13,400,30227,553,14,6,23169,30227,1,8,24,1860,5177114481,1577774943,false,77,118863996,RED STAR CUP
863,7671,6.50085,246,160,76,258,13,0,26155,642,1,5,31518,26155,1,13,26,2065,5575105284,1597839329,true,77,201809767,Asia Challenger league
846,7066,4.06567,307,206,75,353,6,2467,26119,625,6,1,14874,26119,1,13,25,2088,5538275309,1595833115,true,77,136427601,Asia Challenger league
817,15122,42.4477,299,192,81,616,15,0,45193,693,9,8,69157,45193,3,21,30,4083,5555216450,1596723420,false,77,116934015,Glory of the summer
814,11343,4.00684,288,161,82,346,6,0,16830,609,17,4,19168,16830,1,13,26,2213,5483982223,1592947666,true,77,126238768,BTS Dota 2 Online
806,2016,0,150,126,67,154,12,0,27430,479,10,8,34611,27430,1,6,23,1909,5626235456,1600791174,false,77,234095301,ESL One Germany 2020 Online powered by Intel
795,8327,32.7386,330,188,64,676,21,0,57090,690,11,4,47187,57090,2,10,30,4440,5424170506,1589882068,false,77,129748056,World E-sports Legendary League
788,17261,0,368,184,54,645,4,294,18198,826,12,5,35367,18286,1,15,25,2730,5111436286,1573657026,false,77,1009469896,Asian DOTA2 Gold Occupation  Competition
781,17515,10.5693,259,187,73,385,14,0,26978,696,11,7,39409,26978,1,14,27,2513,5472534074,1592239256,true,77,195988272,GamaGames - Season 4 Professional - Part 2
775,18083,8.85608,332,195,77,489,7,0,24580,776,20,4,36007,24580,1,17,25,2494,5100084528,1572927456,true,77,901576440,God联赛
775,1679,0,307,219,88,307,9,0,19545,602,0,5,14958,19545,1,4,23,1834,5325336262,1585655157,false,77,167584799,Masters  Tournament
772,7322,0,229,135,52,389,11,0,42045,610,7,3,27734,44244,1,20,26,2901,5794821137,1611143947,false,77,366294622,Snow Sweet Snow #1
771,1511,3.54541,215,148,61,292,12,1376,30669,550,3,5,36978,30669,1,5,25,2461,4862272636,1561388529,false,77,862893339,ESL SURA.BRAZEN.ID
