xp_per_min,tower_damage,stuns,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,buybacks,assists,level,duration,match_id,start_time,win,hero_id,account_id,leaguename
1072,3077,6.06519,457,300,124,466,6,0,30502,712,1,4,13796,30502,1,9,26,1929,5206719625,1579683214,false,94,1055750486,Masters  Tournament
1026,8264,0,357,216,63,362,16,0,29382,895,14,3,12023,29382,1,5,25,1825,3626019824,1513589313,true,94,369751488,ProDotA Cup Series
957,4633,49.3685,498,295,89,830,4,0,33435,820,9,3,17176,33435,1,12,29,2912,5211805001,1580021629,false,94,1054644648,Masters  Tournament
935,5925,26.1892,405,253,88,507,6,0,27103,744,8,6,19921,27103,1,10,27,2289,5452837448,1591247060,false,94,244058707,Asian DOTA2 Gold Occupation  Competition
930,1200,20.2356,424,237,56,491,14,0,32867,766,12,5,12385,32867,1,6,26,2255,5454532013,1591333569,false,94,914043225,Asian DOTA2 Gold Occupation  Competition
913,1337,23.2015,301,201,69,362,3,0,20542,581,4,5,15300,20542,1,12,26,2081,5182649904,1578118166,false,94,133018827,RED STAR CUP
895,2568,46.7473,366,243,78,949,6,0,62387,799,10,9,42374,62387,1,11,25,4661,5130175560,1574848728,false,94,1032768189,ASIA CHALLENGER LEAGUE
895,2065,9.33179,426,264,81,570,7,0,36842,709,8,4,17272,40532,1,5,25,2660,4579953055,1553688183,false,94,104758571,ESL One Birmingham 2019 powered by Intel
892,6410,121.59,387,250,90,886,7,0,48064,871,12,4,21433,48064,1,13,30,4027,5146292834,1575794100,false,94,161042969,ASIA CHALLENGER LEAGUE
885,12202,104.045,415,249,84,751,10,0,71051,922,15,5,42168,71051,1,14,29,3110,5317800374,1585339606,false,94,314480111,Movistar Liga Pro Gaming Season 3
873,18597,2.20752,409,259,89,478,6,0,19538,763,9,3,16364,19538,1,5,26,2345,5843047815,1613658561,true,94,980480192,META'21 Open. Winter
869,12945,11.0562,410,230,60,787,18,0,111484,1045,32,3,30213,111484,1,8,25,3445,4715502233,1556882923,true,94,188409855,TNG League 1
860,5639,100.494,385,250,82,554,8,0,26496,765,8,4,14426,26496,1,12,27,2603,5766929943,1609491623,false,94,254710104,WCAA冬季电子竞技挑战赛
860,3970,46.8712,310,212,90,357,9,0,52571,624,5,7,17485,52571,1,10,25,2114,5215047715,1580209980,false,94,244058707,Asian DOTA2 Gold Occupation  Competition
858,12242,24.3831,381,229,73,626,9,0,38483,771,50,2,17763,38483,1,17,25,2937,3889510870,1526300051,true,94,333037164,VivaWin Grand Slam Dota 2 Tournament
853,5681,47.2954,407,228,80,619,6,0,31015,826,11,4,12702,31015,1,7,25,2640,4913588985,1563604060,false,94,900469216,redrain cup
847,5089,15.1183,441,263,125,652,1,0,19295,748,3,4,11594,19295,1,4,27,2478,5300634088,1584589973,false,94,1069729658,Asia Challenger league
838,13196,17.4484,383,235,93,456,7,0,44187,776,20,4,16185,44187,1,13,25,2130,4946286757,1564905348,true,94,464350198,ASIA CHALLENGER LEAGUE
838,7351,12.041,275,170,52,549,16,0,36594,754,10,3,20472,36594,1,21,25,3087,3930953389,1528027713,true,94,127530803,D2CL
831,17509,8.07568,335,191,49,456,11,0,30915,810,25,2,14321,30915,1,10,25,2334,4412696290,1549901718,true,94,230328929,Winter Madness 2.0
831,5254,33.7595,354,210,68,712,11,0,53014,843,13,4,19214,53014,1,19,25,3210,4217581342,1542098561,false,94,238239590,The Kuala Lumpur Major
