xp_per_min,tower_damage,stuns,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,buybacks,assists,level,duration,match_id,start_time,win,hero_id,account_id,leaguename
1280,8525,58.0791,281,210,66,294,15,0,24535,686,1,7,62178,24535,1,6,25,2192,3176031271,1494687021,false,82,335490459,BEYOND GODLIKE LEAGUE
1252,8698,66.9579,377,238,93,377,21,0,27870,1017,2,2,55099,27870,1,6,25,1967,3148966275,1493559229,true,82,282359850,BEYOND GODLIKE LEAGUE
1196,6198,59.7154,327,231,105,352,11,0,22106,719,2,5,45193,22106,1,11,25,1908,4197483506,1541061026,true,82,142718557,gladiator-cup
1100,6130,72.6075,333,209,80,511,25,0,46187,847,3,8,56642,46187,2,10,25,2773,4192671972,1540794535,true,82,337575662,Flame Cup
1060,9606,131.695,281,184,71,520,30,0,74548,799,10,11,110582,74548,3,6,25,3103,4207903964,1541586462,false,82,369521362,TNG League 1
1057,6150,21.28,317,182,68,317,5,0,9355,687,4,4,19198,9355,1,5,24,1812,2838507816,1481461788,true,82,146209492,DafaeSports Indonesia Series Presented by Eternal Gaming
1053,9178,183.603,287,139,46,597,29,0,58112,785,6,10,102021,58112,4,11,25,3443,4177899860,1540040973,true,82,170720616,YouTube SIVVIT - Big Russian Show
1036,1169,128.1,278,161,84,336,11,0,25438,614,2,5,35470,25438,1,12,25,2450,3862104329,1525258525,false,82,100471531,EPICENTER XL
1026,4931,31.4333,331,239,80,331,21,0,36821,809,3,8,43593,36821,2,6,25,1898,2824481001,1480933270,true,82,81773653,AEF Season 1 Qualifiers
1019,2135,114.765,354,211,82,441,16,0,28263,684,11,8,65035,28263,1,4,25,2720,4174654504,1539871320,false,82,237201026,World Electronic Sport Games Southeast Asia
1017,3391,98.8053,346,206,89,1064,22,0,55495,556,4,7,132319,55495,2,11,25,8430,3279800052,1498668807,true,82,132739889,The International 2017
1015,10214,100.648,323,189,75,902,17,0,42392,812,4,9,85351,42392,4,15,25,4647,3179956941,1494806546,true,82,154715080,The Summit 5
1006,7040,44.4581,393,207,99,631,7,0,21157,758,1,12,53967,21157,2,7,25,2773,3283419732,1498826918,false,82,133134951,Uprise Champions Cup: Special
1005,3468,89.1262,232,144,73,416,18,0,36841,642,4,9,36387,36841,2,8,25,2800,4157530240,1538926905,false,82,235261393,TNG League 1
1005,3244,71.9188,382,260,90,390,8,0,10271,786,1,3,51452,17409,1,9,25,1934,2394217435,1464399981,true,82,86700461,Dota 2 Canada Cup Season 7
1004,15329,173.539,246,167,75,426,30,0,102596,884,2,9,164350,102596,1,12,25,2936,4993801114,1567064708,true,82,1009991723,Asian DOTA2 Gold Occupation Invitational Competition S3
1002,942,57.6705,284,164,86,411,12,0,28208,639,2,7,48076,28208,1,7,25,2359,4222281304,1542370147,false,82,188409855,IA Tournament
996,9141,80.2599,415,231,89,634,19,0,30881,882,4,4,50549,31590,2,6,25,2751,4177528627,1540028086,false,82,337575662,DOTA Summit 9
989,4626,65.3296,227,170,92,333,14,0,24888,560,5,8,58760,24888,1,3,25,2603,4217744468,1542107493,false,82,282486202,E-SPORT LEAGUE-DICKYGAMING
987,10340,26.5348,260,187,74,260,7,0,13611,775,1,2,29255,13611,1,2,25,1673,3047831860,1489212598,true,82,106863163,Kiev Major
987,8050,47.5963,280,186,84,280,8,0,14989,712,0,3,30128,14989,1,7,25,1674,2912434430,1484299087,true,82,114787051,WESG
986,5504,139.271,281,160,50,727,13,0,49855,693,0,8,70999,49855,3,17,25,3745,3185054864,1494957687,false,82,55649904,ProDotA Cup by Azubu
985,16722,70.821,272,166,79,351,20,0,29369,815,1,6,56496,31437,1,11,25,2315,3141002129,1493208226,true,82,126417273,SEA Kappa Invitationals
984,9861,81.6772,279,161,48,356,12,0,31065,596,11,10,67539,31065,2,9,25,2816,4168300229,1539510614,false,82,118233883,DOTA Summit 9
978,1221,38.6973,354,193,78,437,10,0,23158,637,3,9,63369,23158,1,5,25,2548,4208114818,1541595293,false,82,360648679,joinDOTA League #14
970,5824,0,248,169,49,291,14,0,19896,699,3,4,40226,22591,2,6,25,2013,1983890571,1449405229,true,82,109155831,VivaWin Grand Slam Dota 2 Tournament
