xp_per_min,tower_damage,stuns,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,buybacks,assists,level,duration,match_id,start_time,win,hero_id,account_id,leaguename
923,3999,14.0604,170,112,36,204,18,0,41849,509,27,11,26075,41849,1,17,28,2363,5297403974,1584441521,false,9,255845056,Asian Hero League
903,1126,118.356,91,39,8,126,18,0,44561,555,7,6,23099,44561,1,30,25,2117,4992162450,1566985719,true,9,117106216,Asian DOTA2 Gold Occupation Invitational Competition S3
870,4385,19.1218,134,74,18,145,20,0,38633,534,5,6,15563,38633,1,15,24,1913,5367470382,1587362117,true,9,234075689,RED STAR CUP
868,1365,53.6082,288,197,104,369,7,400,23331,601,1,5,25747,23331,1,10,27,2367,5268965548,1583051831,true,9,1064197815,Masters  Tournament
844,7857,34.5926,215,149,55,268,22,0,41821,676,8,3,21506,41821,1,22,27,2307,5752809085,1608617265,true,9,134711350,虎牙DOTA2冬季邀请赛
839,194,25.3778,124,98,27,139,11,0,18539,490,11,7,24183,18539,1,14,25,1993,4259209121,1544195637,false,9,206460143,E-SPORT LEAGUE-DICKYGAMING
838,10401,57.6255,213,123,44,284,15,0,39596,620,6,4,19928,39596,1,21,27,2594,5634444873,1601300399,true,9,393842021,FreeWin Invitational - Europe
833,450,66.6414,286,169,54,400,13,0,33011,637,30,4,19873,33011,1,9,25,2470,4173255281,1539786305,false,9,104963314,joinDOTA League #14
832,795,82.468,111,64,15,122,8,0,24875,476,7,6,14409,24875,1,27,24,1954,5076243291,1571491176,true,9,261798680,Meister Division Rookies 2020
827,1510,45.2083,196,119,50,314,14,0,37793,575,23,9,21940,37822,2,13,25,2589,3415824189,1504196361,false,9,141690233,WellPlay Invitational by VitalBet
816,4265,123.202,176,111,41,320,21,0,83777,628,11,9,34263,83777,2,26,25,3309,5021840299,1568449795,true,9,191364625,Asian DOTA2 Gold Occupation Invitational Competition S3
814,2053,122.147,109,46,10,219,14,0,40973,533,3,7,27759,40973,1,35,25,2758,4999936740,1567326116,true,9,117106216,Asian DOTA2 Gold Occupation Invitational Competition S3
811,16407,63.4329,221,129,58,293,18,0,48133,668,11,2,30152,48133,1,11,27,2576,5741025971,1607872854,true,9,12231202,Epic League
809,551,122.874,91,54,19,195,10,5307,46122,473,6,13,35449,46122,2,32,25,2936,4993801114,1567064708,false,9,140155883,Asian DOTA2 Gold Occupation Invitational Competition S3
808,10064,79.425,170,122,62,247,23,125,44765,619,5,7,25536,44765,1,22,28,2584,5420767525,1589720993,true,9,82207597,YouTube SIVVIT - Middle tournament
808,974,66.2211,105,41,13,159,14,0,33246,587,6,14,25804,33246,1,22,25,2335,4993900985,1567069015,true,9,1009790652,Asian DOTA2 Gold Occupation Invitational Competition S3
808,551,68.6503,118,72,13,297,10,0,30058,529,3,10,32081,30058,2,17,25,2998,5029730101,1568876651,false,9,860622456,Asian DOTA2 Gold Occupation Invitational Competition S3
803,672,54.775,158,96,37,199,10,0,28410,498,7,5,21330,28410,1,18,25,2286,4254398640,1543935436,false,9,361564937,E-SPORT LEAGUE-DICKYGAMING
800,1965,35.6333,196,112,48,267,8,0,30010,567,18,5,27710,30010,1,17,25,2223,5047363507,1569812259,false,9,1026060540,Asian DOTA2 Gold Occupation Invitational Competition S3
799,2586,9.63802,260,123,55,447,13,0,28043,656,36,4,22509,28043,1,8,25,3008,4202995501,1541323730,false,9,400603826,gladiator-cup
798,218,120.341,59,43,14,85,10,500,22589,435,4,10,24765,22589,1,24,24,2033,5100090707,1572927962,false,9,289899974,God联赛
796,421,55.4583,150,79,25,189,7,0,17844,489,3,2,11142,17844,1,16,25,2156,5130752424,1574869105,true,9,1002676991,ASIA CHALLENGER LEAGUE
795,1683,33.7988,224,131,55,311,12,396,45227,596,7,8,27904,46179,1,13,25,2473,4194815241,1540907647,false,9,104512126,joinDOTA League #14
791,620,146.816,131,75,31,296,11,405,36831,590,10,9,42578,36831,3,28,28,2784,5151210865,1576123646,false,9,298688649,Asian DOTA2 Gold Occupation  Competition
790,2138,86.9322,68,34,13,94,8,4228,18481,431,0,11,29446,18481,1,28,26,2596,5144476754,1575694571,false,9,283823898,Asian DOTA2 Gold Occupation  Competition
785,1439,37.1775,216,133,55,342,12,0,28125,678,4,4,17359,40266,1,26,25,2478,2576330803,1471371666,true,9,152962063,ProDotA Cup Series by Azubu.tv
784,2996,33.3187,207,117,41,250,10,0,23113,538,4,4,18479,23113,1,20,25,2381,3587668148,1511883863,false,9,87586992,Uprise Champions Cup: Special
782,4814,72.5806,226,131,40,491,18,0,48412,615,10,6,39599,48498,2,18,25,3546,3466740884,1506414945,false,9,282359850,ProDotA Cup by Azubu
781,3028,72.35,83,40,12,87,7,735,21056,463,3,9,19939,21056,1,35,23,1836,5098702224,1572838034,true,9,392130920,God联赛
780,1847,16.9538,193,118,48,315,12,0,23121,595,26,3,21354,23121,1,4,25,2486,3562039160,1510678502,false,9,105248644,DreamLeague season 8
777,168,104.733,100,46,11,206,4,400,23593,465,5,9,29602,23593,1,29,25,2746,5044020990,1569647413,false,9,1009882497,Asian DOTA2 Gold Occupation Invitational Competition S3
775,3054,66.893,223,144,51,305,14,0,41287,635,17,7,23911,41287,1,16,25,2489,4945972937,1564895005,false,9,881188020,ASIA CHALLENGER LEAGUE
774,1889,62.687,86,47,18,128,5,8624,19137,451,3,5,26439,19137,1,38,25,2169,5146091133,1575783792,true,9,1009928326,Asian DOTA2 Gold Occupation  Competition
767,8343,16.6094,223,159,55,605,26,100,50475,667,22,9,63502,50475,3,22,25,4725,4171485858,1539688132,true,9,301750126,joinDOTA League #14
767,5068,46.2129,221,101,43,288,16,0,32363,644,16,3,11467,32363,1,11,23,2309,2661785371,1474563645,true,9,106573901,"The BTS Series "
766,672,45.9671,72,46,28,72,11,3251,17625,416,6,5,16185,17625,1,21,23,1829,4991913124,1566972207,true,9,112664592,Asian DOTA2 Gold Occupation Invitational Competition S3
765,5471,17.9229,320,171,57,548,13,0,35699,735,16,2,23999,36309,1,15,25,2954,4066751467,1534619298,false,9,250114507,The International 2018
764,1600,42.4548,246,136,61,384,10,0,23676,574,27,5,14183,23676,1,7,25,2916,4217313385,1542079150,false,9,86738694,The Kuala Lumpur Major
763,7654,28.3262,212,137,62,229,12,0,24948,610,55,4,16495,24948,1,19,24,1997,4941922348,1564740736,true,9,147267417,"Myanmar Electronic Sport League (MESL) "
763,6499,12.73,103,54,27,125,18,0,36455,523,3,7,18176,36455,1,17,24,2049,5561057061,1597037348,true,9,119866878,OMEGA League
763,4203,63.5556,133,87,43,183,15,0,41336,508,7,10,32396,41336,2,22,27,2939,5515352894,1594831203,true,9,379745768,DIGI CUP MONTHLY
760,6845,30.3027,212,126,46,540,16,100,44758,679,14,5,32250,44758,2,30,25,3665,4051250680,1533827329,false,9,298683250,Uprise Champions Cup: Special
760,109,123.602,106,60,19,170,10,125,33660,449,3,10,25936,33660,1,26,25,2654,5080206497,1571716928,false,9,1032740509,ASIA CHALLENGER LEAGUE
757,3452,42.8213,229,143,58,375,14,0,29893,579,9,8,24379,29893,1,4,25,2674,3520569291,1508856229,false,9,223951166,ESL India Premiership - 2017 Edition
756,2196,85.0856,57,43,20,126,11,240,31180,478,7,11,30596,31180,1,29,25,2669,5067163021,1570948834,true,9,1009928326,Asian DOTA2 Gold Occupation  Competition
756,1835,55.8372,203,134,34,310,20,125,64360,679,18,6,32963,64360,1,16,25,2768,5037921825,1569294561,true,9,995062523,Asian DOTA2 Gold Occupation Invitational Competition S3
754,5019,19.9422,218,130,51,245,17,125,36268,581,15,3,18592,36268,1,17,25,2245,4238472417,1543131536,false,9,255219872,DPL Season 6
754,4928,30.3615,165,101,43,245,13,250,24118,600,7,4,17208,24118,1,18,25,2290,5501462761,1594028621,true,9,91248405,LPL Season 2 2020: Dota 2 Pro
754,687,68.6509,106,60,25,176,10,150,25927,425,10,9,35453,25927,1,14,25,2617,5166095080,1577094206,false,9,1015445985,Asian DOTA2 Gold Occupation  Competition
753,1399,26.8836,216,147,54,223,11,0,17678,510,3,5,16568,17678,1,7,23,2005,5276960187,1583465043,false,9,1032918275,Masters  Tournament
752,1355,119.03,71,39,15,96,7,250,20924,399,2,9,22851,20924,1,31,25,2359,5071498480,1571208823,true,9,140155883,RED STAR CUP
751,1773,30.3096,159,103,52,169,21,0,42008,600,7,7,22349,42008,1,14,24,2072,3079786641,1490545314,false,9,134531475,BEYOND GODLIKE LEAGUE
750,2033,50.1036,174,120,48,277,22,0,45612,602,27,8,29520,45612,1,13,25,2768,4259298269,1544198671,false,9,277812252,E-SPORT LEAGUE-DICKYGAMING
750,333,76.8291,152,103,66,248,13,240,24531,544,1,4,19098,24531,1,11,25,2293,5325116340,1585646788,false,9,1058172608,Masters  Tournament
750,198,84.2179,83,48,21,129,13,0,17821,443,1,9,20614,17821,1,29,24,2226,5098862975,1572851432,true,9,298233105,Elite Cup Season 2
749,1883,116.764,162,83,22,572,8,430,41162,700,6,5,16793,41162,1,14,25,3324,5110795612,1573616749,false,9,1032740509,ASIA CHALLENGER LEAGUE
748,5786,43.4707,212,120,46,254,13,0,31806,589,15,3,14057,31868,1,14,25,2173,3555158526,1510383826,true,9,139174891,ProDotA Cup Series
746,454,167.689,172,86,28,652,13,0,45865,703,2,4,26931,45865,2,26,30,4706,5132021166,1574947652,true,9,1042692824,ASIA CHALLENGER LEAGUE
745,3760,43.2502,164,115,58,172,16,0,26278,591,7,4,13910,26278,1,15,23,1944,4620947704,1554571485,true,9,86799300,AMD SAPPHIRE DOTA PIT Minor 2019
745,848,12.4397,188,97,33,246,11,0,30279,559,4,8,19558,30279,1,23,25,2323,4175730639,1539940625,false,9,195210298,joinDOTA League #14
