xp_per_min,tower_damage,stuns,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,buybacks,assists,level,duration,match_id,start_time,win,hero_id,account_id,leaguename
1022,8232,89.8274,331,186,69,433,12,0,37393,787,11,5,24917,37393,1,5,25,2286,5067088889,1570945403,false,89,1009991723,Asian DOTA2 Gold Occupation  Competition
953,5262,57.1679,414,220,74,718,16,0,46100,874,4,5,32471,46100,1,6,25,2832,5045657033,1569726076,false,89,1014645107,Asian DOTA2 Gold Occupation Invitational Competition S3
931,5769,47.7889,363,228,54,729,20,0,45211,977,4,2,31489,45211,1,7,25,2986,5084488539,1572001064,false,89,167584799,ASIA CHALLENGER LEAGUE
912,313,117.463,287,217,88,378,15,0,32013,709,0,4,23587,32013,1,8,27,2253,5359019193,1587030542,false,89,981431954,Asia Challenger league
886,1997,43.1809,369,217,88,385,3,0,20213,705,2,4,15802,20213,1,11,25,1939,5310511466,1585017743,false,89,1051198481,Asia Challenger league
879,15385,70.4293,431,269,78,758,15,0,46324,939,16,3,32867,46324,1,6,25,2998,5029730101,1568876651,true,89,1009469896,Asian DOTA2 Gold Occupation Invitational Competition S3
870,1018,118.345,292,184,56,815,12,0,54414,810,6,8,52483,54414,2,14,30,3803,5135214870,1575123424,false,89,1025925850,ASIA CHALLENGER LEAGUE
869,3059,105.91,320,183,101,557,20,0,57313,789,6,11,71339,57313,1,9,25,3213,4765447321,1558261048,false,89,112288026,Bishkek Stars League #8
867,20035,25.1042,394,242,62,478,13,0,30161,895,8,4,13342,30161,1,3,26,2203,5812870388,1612152403,true,89,146485028,DPC Winter 21 League (NA) presented by BTS
848,6731,77.4289,328,209,53,560,8,0,33834,753,14,8,47181,33834,1,17,26,2970,5660288058,1602931942,false,89,177804322,Oceanic Esports Dota League Season 2
841,2911,74.3241,277,207,115,432,8,0,23673,607,1,6,20212,23673,1,8,26,2459,5260709792,1582632155,false,89,1054644648,Asia Challenger league
840,10319,110.866,511,274,84,736,15,0,38552,994,6,2,34323,38552,1,9,28,2716,5712489433,1606075201,false,89,110583422,Realms Collide - The Burning Darkness
837,14705,68.3095,361,216,69,484,13,0,38766,844,7,3,27000,38766,1,4,25,2286,4996663505,1567183241,true,89,1004022359,QCF.kz
832,9365,56.7079,437,264,89,526,5,0,18109,829,6,2,16431,18109,1,14,25,2126,4816724869,1559824826,true,89,313744564,redrain cup
824,4969,73.68,274,164,70,372,13,0,39067,678,1,4,27396,39067,1,9,25,2611,4328779402,1547280814,false,89,183286411,安博电竞杯中亚对抗赛
811,9379,70.0092,376,222,79,586,15,0,36638,746,3,4,45987,36638,1,8,27,3013,5826589145,1612937974,false,89,91369376,"Moon Studio Asia "
809,17622,85.8739,391,247,81,495,16,0,28488,758,5,4,31471,28488,1,10,26,2508,5393507479,1588482121,false,89,129683931,2020 DSPL 中国DOTA2次级联赛
