xp_per_min,tower_damage,stuns,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,buybacks,assists,level,duration,match_id,start_time,win,hero_id,account_id,leaguename
894,6042,3.70342,163,99,44,221,26,720,52981,669,12,5,38114,52981,1,16,25,2674,4919183642,1563819476,false,60,186063974,"NIMA Tournaments "
865,250,17.4031,202,130,52,212,13,0,33606,566,26,7,28538,33606,1,4,26,1980,5140472937,1575444030,false,60,158659942,Asian DOTA2 Gold Occupation  Competition
864,2314,19.3652,197,121,50,279,15,0,39549,626,14,5,36745,39549,1,14,25,2792,5039554964,1569393143,true,60,234075689,Asian DOTA2 Gold Occupation Invitational Competition S3
841,12254,15.8828,171,96,42,312,5,0,24716,570,22,2,27211,24716,1,28,27,2794,5660699086,1602948362,true,60,100667778,Dota Saudi League
841,952,11.8662,140,95,51,150,9,0,28909,477,0,5,26695,28909,1,20,25,2081,5729304841,1607138552,true,60,922556834,The Crown Cup
837,1514,41.8413,187,130,66,206,17,0,41446,476,8,10,54372,41446,2,12,26,2616,5147640275,1575875617,false,60,1009894221,Asian DOTA2 Gold Occupation  Competition
832,2779,3.00034,163,110,52,233,13,0,42665,582,11,3,23269,42848,1,16,25,2544,5011319564,1567885831,true,60,113735534,Reshuffle Madness 2019
819,3509,22.2785,225,121,41,297,16,0,30118,654,14,4,20400,30118,1,13,25,2332,5098684893,1572836422,true,60,321907706,中国DOTA2发展联赛
818,322,15.6687,199,123,51,199,18,0,31310,597,17,4,21296,31310,2,4,24,1956,5026909872,1568709583,false,60,117106216,Asian DOTA2 Gold Occupation Invitational Competition S3
803,831,15.7108,185,114,61,337,9,0,29250,539,3,5,35105,29250,1,13,28,2828,5314280146,1585190304,false,60,1070042868,Asia Challenger league
802,435,19.2592,201,125,50,330,11,0,30998,621,23,7,29332,30998,1,9,25,2519,5072768284,1571289952,false,60,399155036,RED STAR CUP
801,4684,7.7207,167,99,34,326,19,0,42497,626,13,10,51581,42497,1,14,25,2694,4579901804,1553687232,false,60,139406237,rainbow cup
801,1336,25.1788,259,162,46,401,7,0,25209,627,7,5,29780,25209,1,13,27,2424,5273809397,1583297735,false,60,1055976418,Masters  Tournament
800,794,9.36616,120,87,42,181,2,0,18854,408,15,7,34324,18854,2,13,25,3048,5129763785,1574823056,true,60,124796795,Campeonato Brasileiro de Dota 2
794,5251,51.7043,178,124,43,317,13,0,52963,554,14,11,72308,52963,2,26,25,3462,5028316237,1568793318,true,60,1014766785,Asian DOTA2 Gold Occupation Invitational Competition S3
792,3233,59.9031,174,104,45,275,19,0,57143,663,10,3,39569,57143,1,16,25,2374,5045784560,1569734303,false,60,204281778,Asian DOTA2 Gold Occupation Invitational Competition S3
788,1473,10.8318,112,71,35,152,9,0,29301,438,9,16,46341,29301,2,29,25,2877,5022035241,1568457708,true,60,1014766785,Asian DOTA2 Gold Occupation Invitational Competition S3
785,3988,34.167,137,98,32,219,14,0,38497,576,10,15,44467,38497,1,23,25,2757,5072816819,1571293581,true,60,136266416,RED STAR CUP
784,2242,43.29,248,134,48,361,16,0,35444,598,6,7,31281,35444,1,12,25,2648,5128524184,1574751631,false,60,262367336,暴风竞技挑战杯
780,1233,31.5239,191,123,56,252,16,0,32942,568,15,6,32006,32942,1,10,25,2518,5039531465,1569391624,false,60,113874152,Asia Communication League
777,2425,8.62246,134,116,64,180,10,888,29198,495,6,2,22562,29198,1,21,24,2141,5102012914,1573053113,true,60,368068300,QUICK DotA2 Thailand League
773,4891,9.67165,166,105,59,199,15,0,36816,516,8,4,26599,36816,1,18,25,2564,4576067664,1553591684,true,60,139406237,Betway Asian Dota League
773,846,1.88457,105,69,44,106,10,0,19712,428,4,8,21342,19712,1,15,23,1954,5665463326,1603251982,true,60,170639894,RED STAR CUP
772,2942,20.8627,178,101,28,338,17,0,40074,587,9,11,47710,40074,1,11,30,3332,5160372364,1576730559,false,60,161042969,Masters  Tournament
767,857,30.2644,173,86,38,298,8,90,38564,472,20,5,37177,38564,1,11,25,2768,5037921825,1569294561,false,60,132315437,Asian DOTA2 Gold Occupation Invitational Competition S3
764,2664,13.1747,170,103,54,183,10,0,22922,535,5,8,22189,22922,1,12,23,1858,5683192943,1604297957,true,60,369942571,Masters Tournament
763,1814,44.6515,176,95,37,228,12,0,31014,523,1,5,31047,31014,1,13,25,2323,5053793447,1570183149,false,60,1034644554,ASIA CHALLENGER LEAGUE
760,3967,58.9495,216,130,57,315,14,0,43104,598,17,5,33017,43104,2,18,28,2650,5143262969,1575623353,true,60,241590901,HaiNan Supreme Cup
760,818,2.64654,218,122,46,304,9,230,23425,547,16,2,14351,23425,2,10,25,2481,5017143806,1568204370,false,60,396221331,Asia Communication League
752,8414,29.6815,213,113,48,335,12,0,36099,599,10,4,31774,36099,1,13,27,2764,5157532965,1576515511,true,60,122922461,Winter Tournament/Moon Studio
751,10034,1.77144,138,74,29,155,13,0,28173,517,8,7,29886,28173,1,19,25,2651,4883689494,1562256965,true,60,489899944,E-SPORT LEAGUE-DICKYGAMING
749,0,2.70854,137,112,41,166,11,125,34111,437,13,12,28830,34111,1,12,25,2470,5009968043,1567837843,false,60,377420354,Asian DOTA2 Gold Occupation Invitational Competition S3
748,3527,9.28177,145,102,49,162,10,0,26319,481,11,2,18949,26319,1,18,23,1999,5728279953,1607077303,true,60,223344914,Artisan Dota League
747,350,2.40234,122,78,37,195,9,0,23390,540,20,11,39751,23390,1,17,25,2428,4446344839,1550763599,false,60,215998439,Iran Dota2 League – S5
742,6839,37.2113,120,60,30,251,14,0,41728,524,6,9,56885,41728,1,28,25,3322,4353652961,1548173705,false,60,162220523,E-SPORT LEAGUE-DICKYGAMING
742,2881,19.4034,160,97,49,266,10,663,31422,546,22,6,32202,31422,1,18,25,2829,5056943803,1570345977,true,60,139937922,MDL Chengdu Major
739,596,39.5606,247,136,39,402,10,125,40049,591,19,10,43939,40049,1,15,25,3032,5072666681,1571281732,false,60,1014766785,RED STAR CUP
738,5002,2.71197,135,102,52,185,10,0,18084,472,7,1,14724,18084,1,20,25,2336,5706247536,1605706243,true,60,296226696,Epic League
737,374,11.6615,113,61,35,147,11,0,20224,432,5,13,43524,20224,2,18,26,2566,5711963096,1606051573,false,60,110396292,"LIGA KBBD "
735,3211,39.238,156,82,46,203,7,1350,30722,533,7,6,26526,32876,1,25,25,2434,5096921122,1572734384,true,60,153258161,Dotabuff Reach - Pinnacle Division
734,1154,4.64775,125,91,32,221,15,0,41318,531,1,7,36428,41318,2,20,25,2873,4941369988,1564717868,true,60,164958524,Dota2 Battle
722,7108,20.7876,158,114,69,304,14,0,29502,604,2,6,33778,29502,1,11,27,2774,5148708816,1575945589,true,60,118863996,Asian DOTA2 Gold Occupation  Competition
721,7300,29.3334,166,94,39,211,11,0,28097,571,9,6,24470,28097,1,20,25,2423,5096063723,1572695096,true,60,219225327,SECTOR ESPORTS
721,2170,9.34086,275,162,70,319,8,0,18938,604,15,5,23978,18938,1,3,24,2150,5261848854,1582695552,true,60,1025553404,RED STAR CUP
720,4361,25.7771,212,119,46,358,6,0,26632,516,5,2,16512,26632,1,13,25,3485,5061273672,1570599121,false,60,156328257,Dota Summit 11
720,1251,37.752,206,114,39,478,12,0,30416,614,9,9,46388,30416,1,16,25,3575,5101337247,1573012251,false,60,187298596,Masters  Tournament
719,3044,21.6658,136,82,38,178,9,3981,19585,489,4,4,21668,19585,1,19,25,2367,5083406172,1571924993,true,60,24009418,ESL One Hamburg 2019 powered by Intel
716,7652,27.7681,213,116,38,611,6,0,31593,642,9,6,33541,31593,2,21,25,4216,5112206368,1573718419,true,60,1001387863,ASIA CHALLENGER LEAGUE
714,1436,24.0994,104,72,34,170,15,0,40527,435,10,8,49425,40527,1,20,25,3076,5044966456,1569683307,false,60,427890894,Esports Ukraine Dota 2 League
712,8825,35.4032,243,130,50,494,11,0,40631,639,19,5,39779,40631,1,12,28,3546,5676864985,1603974456,false,60,148215639,CDA-FDC富名文贺DOTA2职业锦标赛
711,2200,20.2946,184,116,47,250,9,0,40334,467,20,12,43634,40334,1,19,25,3067,5068672326,1571026885,false,60,1025553404,Asian DOTA2 Gold Occupation  Competition
709,6204,13.6625,264,149,57,648,13,0,39484,710,2,4,47043,39484,1,12,25,4024,5130078062,1574843518,true,60,1032699094,ASIA CHALLENGER LEAGUE
