xp_per_min,tower_damage,stuns,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,buybacks,assists,level,duration,match_id,start_time,win,hero_id,account_id,leaguename
1008,977,22.2174,322,199,76,569,13,0,43166,709,3,9,34391,43166,1,10,30,3096,5258763740,1582536900,false,120,1056779454,Asia Challenger league
990,4049,16.9468,404,247,84,743,8,0,30759,781,3,3,18619,30759,1,6,30,3113,5164358284,1576986234,false,120,203980597,Masters  Tournament
971,468,6.67786,166,97,41,247,11,375,34070,569,10,7,20004,34070,1,15,25,2367,4863401758,1561448756,false,120,895505736,Asian DOTA2 Gold Occupation Invitational Competition S2
931,3258,38.3637,382,214,63,806,16,2029,50936,891,5,5,31381,50936,1,10,30,3136,5257540847,1582468125,false,120,1058156584,Asia Challenger league
928,2553,4.98059,274,156,49,371,11,0,29789,620,11,7,24517,29789,1,16,27,2373,5151646668,1576154769,false,120,167584799,ASIA CHALLENGER LEAGUE
925,2975,37.0723,148,83,67,174,20,2953,41003,633,6,9,34463,41003,1,21,27,2249,5566924785,1597378456,true,120,397025016,Asian DOTA2 Gold Occupation  Competition
891,184,5.67602,118,55,6,214,22,1110,57482,572,5,14,42044,57482,3,22,25,2959,5008123018,1567744191,true,120,908221052,Asian DOTA2 Gold Occupation Invitational Competition S3
886,2856,23.7865,240,159,65,255,8,0,36036,612,7,2,12523,36036,1,24,25,1894,5150269706,1576060403,true,120,468599935,WESG 2019-2020 Online Qualifiers
878,289,34.5751,209,122,44,370,12,5602,65526,597,7,11,48426,65526,1,27,25,3267,5067241281,1570952349,false,120,1009744623,Asian DOTA2 Gold Occupation  Competition
870,54,24.2089,330,171,52,633,8,0,29473,663,9,3,25702,29473,1,11,30,3183,5185874840,1578304584,false,120,1045552496,ASIA CHALLENGER LEAGUE
867,962,0.18581,273,181,53,320,8,0,28641,602,3,6,16110,28641,1,14,26,2080,5262022782,1582705388,true,120,143810335,RED STAR CUP
849,680,3.03369,243,129,42,322,9,125,27913,608,1,8,25499,27913,1,21,25,2142,5170402128,1577370470,false,120,1014667163,Asian DOTA2 Gold Occupation  Competition
844,1210,37.7008,247,130,65,352,23,110,58542,672,15,5,26425,58784,1,20,25,2585,5098773714,1572844312,true,120,38628747,Dotabuff Reach - Pinnacle Division
842,2771,0.36731,206,112,38,222,9,2478,26327,545,9,7,18478,26327,1,19,24,1961,5228991229,1580975861,true,120,1009744623,RED STAR CUP
842,2308,15.4785,199,121,41,231,5,0,16133,445,3,5,21555,16178,1,13,25,2301,5195372233,1578915513,false,120,372189566,ASIA CHALLENGER LEAGUE
835,1957,21.276,236,114,52,325,11,4537,32252,579,11,9,24965,32252,2,23,25,2462,4766921198,1558288550,false,120,43784698,MT League
832,805,52.804,256,143,64,342,8,0,33205,603,6,5,20561,33205,1,21,26,2499,5806696958,1611836595,true,120,204592689,Asian Blood Roded Championship
829,1726,20.0644,222,126,51,336,15,0,38657,639,6,6,28192,38657,1,21,28,2670,5672220120,1603660153,true,120,238239590,Monster Energy DOTA Summit 13 Online
827,0,16.8854,163,95,55,269,12,40,35517,567,2,4,17535,35517,1,23,25,2411,4247541248,1543602253,false,120,77490514,The Chongqing Major
821,60,32.1567,203,119,40,467,15,0,75574,612,5,7,40653,75574,3,12,29,3231,5544131981,1596133682,false,120,221532774,Time of Bet Dota 2 Cup
820,4211,99.7501,285,136,54,543,8,0,55120,708,9,9,29530,55120,2,33,30,3125,5812997906,1612162452,true,120,230080107,DPC Winter 21 League (CN) presented by Perfect World
816,3644,2.93321,160,116,39,202,16,0,26425,570,6,7,15733,26425,1,23,26,2289,5821482583,1612675535,true,120,137021269,WCAA冬季电子竞技挑战赛
816,586,11.1902,238,101,20,297,5,286,22021,575,4,11,24423,22021,1,17,25,2183,5071546299,1571212323,false,120,143810335,RED STAR CUP
