xp_per_min,tower_damage,stuns,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,buybacks,assists,level,duration,match_id,start_time,win,hero_id,account_id,leaguename
1078,238,0,409,266,96,452,11,0,42259,835,3,4,22356,42259,1,5,25,2108,5093040437,1572515716,false,44,1032760693,ASIA CHALLENGER LEAGUE
1044,289,0,230,160,92,231,10,0,25833,591,1,7,42586,25833,2,5,25,1872,5738771934,1607746983,false,44,170639894,The Crown Cup
1024,2325,18.2288,282,177,57,333,17,0,67974,687,13,8,26846,67974,1,3,29,2287,5248622485,1582015953,false,44,258613596,RED STAR CUP
1012,10137,26.7491,327,164,66,698,25,0,80297,909,1,5,38090,80339,1,8,30,3331,5171272229,1577433869,true,44,1025925850,Masters  Tournament
1000,1618,10.0004,348,164,55,532,7,0,25939,737,0,7,23500,25939,1,12,28,2520,5577916337,1598008046,false,44,140571204,Asia Challenger league
987,777,9.70113,351,170,37,475,16,0,44125,767,19,7,25187,44125,1,7,30,2441,5156818980,1576474207,false,44,432546468,Masters  Tournament
966,10825,10.0271,341,183,48,624,21,0,69241,891,9,3,19200,69241,1,15,30,3094,5765290836,1609385654,true,44,390160995,WCAA冬季电子竞技挑战赛
966,6013,8.03247,386,237,63,527,15,0,35238,692,9,7,43390,35238,1,4,29,2899,5197738326,1579084768,false,44,1015445985,Asian DOTA2 Gold Occupation  Competition
961,8230,13.0796,323,218,85,652,24,0,73624,864,20,10,42170,73624,1,6,25,3501,4954568333,1565264355,false,44,377420354,Asian DOTA2 Gold Occupation Invitational Competition S3
957,11052,12.3755,332,191,68,461,16,105,61456,827,3,5,31073,61456,1,7,25,2472,5003414171,1567491662,false,44,995062523,Asian DOTA2 Gold Occupation Invitational Competition S3
951,6373,10.2348,313,242,91,353,21,0,44145,780,4,6,27019,44145,1,9,27,2107,5727997911,1607054473,false,44,1051568153,The Crown Cup
937,873,0,276,131,48,487,16,0,57330,760,12,7,32434,57330,1,10,25,2803,5097369375,1572766086,true,44,1025925850,Masters  Tournament
929,2224,24.0349,286,169,64,658,16,0,55552,679,30,7,41819,55552,1,10,30,3936,5133062655,1575016383,false,44,452376367,ASIA CHALLENGER LEAGUE
929,1735,0,291,194,59,503,12,0,50381,763,22,11,37725,50381,1,11,29,2850,5300635448,1584590066,false,44,356343152,Asian Hero League
923,2237,14.1704,168,145,44,188,13,0,33136,571,16,8,25557,33136,1,2,26,2049,5132936133,1575007627,false,44,880093059,Asian DOTA2 Gold Occupation  Competition
921,3582,11.7066,272,187,58,335,15,0,36611,630,13,3,25052,36611,1,7,26,2291,5475524291,1592425331,false,44,1085113047,GamaGames - Season 4 Professional - Part 2
918,9062,27.3677,290,190,61,672,18,0,51621,810,8,5,35391,51621,1,8,30,3852,5849116917,1613931042,true,44,152455523,DPC Winter 21 League (EEU) presented by ESL One
916,213,0,311,182,41,358,10,0,24777,598,7,4,20662,24777,1,7,26,2051,5176925451,1577760171,false,44,1014645107,RED STAR CUP
915,1217,0,323,217,69,376,14,0,49663,711,9,3,23588,49663,1,4,27,2192,5359123149,1587034772,false,44,136427601,Asia Challenger league
909,5330,8.86187,282,165,51,307,16,0,36790,761,9,3,18267,36790,1,4,25,1946,5697721445,1605176316,true,44,122049498,Epic League
903,7985,12.0076,290,135,43,411,22,0,65224,697,7,12,46890,65224,2,12,25,3067,5068672326,1571026885,false,44,1025744545,Asian DOTA2 Gold Occupation  Competition
901,3258,0,362,209,74,612,18,0,58727,792,4,5,35354,58727,1,6,25,3143,5109853489,1573552997,true,44,139212407,Asian DOTA2 Gold Occupation  Competition
897,5971,0,316,211,63,366,9,0,22379,640,13,2,16918,22379,1,1,25,2382,5719528063,1606512953,false,44,152455523,Epic League
896,13103,23.6807,300,178,65,496,16,0,52911,808,16,1,23640,52911,1,23,28,2634,5795734306,1611201982,true,44,433367927,Asian Blood Roded Championship
896,4986,0,291,198,45,461,20,0,55215,799,11,6,37137,55215,1,5,25,2537,5088840119,1572239952,false,44,432546468,ASIA CHALLENGER LEAGUE
