xp_per_min,tower_damage,stuns,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,buybacks,assists,level,duration,match_id,start_time,win,hero_id,account_id,leaguename
984,633,11.1997,197,102,45,213,18,0,37253,659,4,5,16585,37253,1,14,26,2049,5675281042,1603872130,true,32,285770518,Mid-autumn Cup
941,1184,6.02051,258,143,60,306,17,0,36440,624,3,5,17481,36440,1,4,27,2220,5282647731,1583724453,false,32,1051198481,Masters  Tournament
938,527,0,305,157,56,422,13,0,42860,674,12,6,23294,42860,1,14,27,2677,5800304304,1611473179,false,32,136187546,Asian Blood Roded Championship
917,1301,29.7964,203,92,39,441,17,0,53543,717,8,6,32464,53543,1,9,28,2962,5356818611,1586937776,false,32,120901780,Oceanic Esports Dota League
903,647,0,341,184,47,547,14,0,41718,721,17,6,27221,41718,1,6,29,2764,5295207783,1584333717,false,32,1051198481,Asia Challenger league
894,4617,4.51562,265,166,54,763,14,0,86044,788,12,4,28975,86044,2,14,30,3953,5818463080,1612504492,false,32,320252024,DPC Winter 21 League (CN) presented by Perfect World
867,2756,1.50513,225,136,67,359,12,0,47425,551,36,7,36708,48294,1,16,27,2831,5490013948,1593332772,false,32,100594231,ONE Esports Dota 2 SEA League
864,1611,6.1543,248,136,52,283,16,0,30698,677,7,3,15398,30698,1,13,24,1964,5741414673,1607893617,true,32,110583422,BTS Dota 2 Online
864,189,0,152,107,53,216,19,0,57014,566,16,7,31603,57014,1,22,25,2550,5044118616,1569651326,false,32,191364625,Asian DOTA2 Gold Occupation Invitational Competition S3
858,146,0,153,113,50,192,11,0,45680,505,9,7,33045,45680,2,11,25,2347,5129811804,1574826378,false,32,233173053,Asian Hero League
857,937,0,297,149,41,590,15,0,39873,677,11,6,25353,39873,1,9,27,3129,5783812547,1610476162,false,32,195108598,DPC Winter 21 Qualifier (CIS) presented by ESL One
853,256,20.3691,174,101,37,291,12,0,29853,541,6,7,27348,29853,2,6,27,2545,5613120626,1600008375,false,32,155556652,YouTube SIVVIT - Big Russian Show
852,41,12.6096,132,83,46,157,19,0,38645,580,24,3,19182,38645,1,11,25,2053,5107229682,1573378121,true,32,131814862,Dotabuff Reach - Pinnacle Division
850,567,0,183,109,46,188,10,0,25701,578,7,11,25404,25701,1,10,24,1907,5302854475,1584697318,false,32,1051962720,RED STAR CUP
839,352,0,112,64,27,150,14,0,29688,446,17,6,20676,29688,1,19,25,2392,4838914381,1560537479,false,32,160253515,"Hardstyle Minor League "
834,9663,17.145,274,144,47,702,17,0,59609,781,22,7,39594,59609,2,20,30,3797,5839744914,1613504146,true,32,379735016,DIGI CUP MONTHLY
828,3407,0,196,95,41,210,8,0,26184,552,3,9,19447,26184,1,18,25,2080,5262022782,1582705388,true,32,118863996,RED STAR CUP
825,5496,0,316,169,60,543,11,0,58017,757,1,5,27927,58017,1,14,29,3014,5781650262,1610344776,false,32,248388120,DPC Winter 21 Qualifier (SEA) presented by PGL
824,6994,0,194,100,40,430,13,0,62942,746,6,4,35097,62942,1,27,30,3137,5823269909,1612771392,true,32,133218189,X League
822,5771,55.3296,160,94,49,475,29,0,97054,614,23,12,76638,97054,1,11,30,5269,5461916775,1591693472,false,32,342425977,ROG Community Cup Season 2
818,110,4.21436,213,126,41,241,11,0,27301,498,10,6,14931,27301,1,6,24,2010,5367837993,1587379207,false,32,867199726,Asia Challenger league
817,528,0,290,165,47,486,11,0,39386,693,7,5,15009,39386,2,7,26,2478,5798204558,1611352353,false,32,345072645,DPC Winter 21 League (SA) presented by OGA
816,175,19.8677,184,104,64,226,11,0,32169,532,14,9,25360,32169,1,8,25,2450,4995782350,1567155577,false,32,191364625,Asian DOTA2 Gold Occupation Invitational Competition S3
815,794,11.4338,124,90,40,146,14,0,34064,561,15,5,17205,34064,1,20,24,2043,5741725048,1607925674,true,32,113457795,BTS Dota 2 Online
814,470,0,252,140,42,282,14,0,38658,543,12,5,22680,38658,1,8,25,2359,5843072688,1613659322,false,32,231622898,"Moon Studio Asia "
810,3269,0,320,147,39,592,7,0,36203,756,10,2,19837,36203,1,18,29,2891,5811637801,1612095361,true,32,1086211656,YouTube SIVVIT - Big Russian Show
