xp_per_min,tower_damage,stuns,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,buybacks,assists,level,duration,match_id,start_time,win,hero_id,account_id,leaguename
1040,78,42.6936,273,168,51,380,19,0,51065,669,9,6,30094,51065,1,10,29,2683,5155431191,1576390964,true,11,1032889954,Masters  Tournament
1023,3377,19.4227,262,171,67,273,19,0,30203,673,20,8,23853,30203,1,4,26,2014,5606502816,1599633077,false,11,998096014,Masters  Tournament
1020,4612,0,345,209,63,585,15,0,50769,777,29,6,32319,50769,1,5,30,2617,5166095080,1577094206,false,11,1014667163,Asian DOTA2 Gold Occupation  Competition
1010,992,22.7461,194,145,67,201,17,0,31294,683,12,7,21038,31294,1,3,26,1840,5563915126,1597199704,true,11,1057451623,Asian DOTA2 Gold Occupation  Competition
1007,2076,25.2305,256,162,59,278,21,0,42694,759,12,4,24678,42694,1,8,26,1925,5684833467,1604394519,true,11,139212407,Asian DOTA2 Gold Occupation  Competition
1000,1331,15.1238,359,222,90,409,9,250,37125,548,4,6,20749,37125,1,9,27,2420,5384170530,1588076460,false,11,374613897,Asia Challenger league
976,3806,3.77637,279,178,48,281,16,125,29709,717,4,5,22176,29709,1,12,26,1834,5325336262,1585655157,true,11,1051198481,Masters  Tournament
973,3663,22.6494,273,180,82,285,13,0,27671,740,28,4,16103,27671,1,12,25,1934,4964113644,1565670674,true,11,960052472,Destiny Cup
954,1738,37.7974,263,175,74,287,14,125,33192,663,7,9,22467,33192,1,10,26,2148,5549846321,1596422074,false,11,293705213,Asian DOTA2 Gold Occupation  Competition
954,1556,20.0684,382,185,73,525,10,0,28769,771,23,6,25214,28769,1,2,25,2448,5045079409,1569687271,false,11,348266199,Phantom League 2da Edición
941,1206,61.4816,301,187,69,429,10,105,40016,692,33,5,19406,40016,1,15,29,2620,5452822609,1591245967,true,11,123679217,Stella Cup
935,3924,0,227,155,65,236,9,0,21518,554,18,7,33701,21518,1,7,25,1874,5553199154,1596611988,true,11,914704182,Asian DOTA2 Gold Occupation  Competition
933,9420,30.2178,322,231,78,394,23,0,39755,764,30,3,17692,39755,1,10,25,2326,5100194242,1572936527,true,11,141175556,Elite Cup Season 2
929,11788,0,374,217,103,633,18,0,58273,827,10,4,52153,58273,1,10,30,2764,5295207783,1584333717,false,11,185128119,Asia Challenger league
929,6393,0,341,230,85,480,10,0,33520,748,36,6,21791,33520,1,2,27,2293,5198093541,1579101827,false,11,204281778,Asian DOTA2 Gold Occupation  Competition
929,2604,43.2037,386,233,90,871,4,0,20337,789,18,5,28795,20337,1,11,30,3869,5132189419,1574953612,false,11,203980597,ASIA CHALLENGER LEAGUE
927,10292,0,241,159,67,257,13,0,33017,723,2,6,18438,33017,1,11,26,1910,5516388594,1594877621,true,11,969706575,Asia Challenger league
923,5095,0,396,219,81,446,7,0,18754,658,1,3,12439,18754,1,0,25,2215,5435889887,1590464717,false,11,998096014,Asia Challenger league
923,4556,48.4708,322,222,67,549,15,0,48099,718,10,6,21293,48099,1,12,30,3011,5225949742,1580805625,true,11,141250669,ASIA CHALLENGER LEAGUE
920,7317,0,339,216,76,428,10,0,37791,635,9,5,21013,37791,1,8,27,2397,5186881705,1578365009,false,11,220136159,RED STAR CUP
917,2291,4.71606,285,170,75,331,21,250,34684,781,14,2,14056,34684,1,12,26,2216,5860660242,1614514514,true,11,1085528469,YouTube SIVVIT - Big Russian Show
914,7206,2.37476,341,249,117,499,10,0,36209,642,2,8,34259,36209,1,5,28,2642,5259086214,1582548532,false,11,1032918275,Asia Challenger league
914,6645,7.52563,262,168,74,284,10,0,30114,663,18,7,17929,30114,1,18,25,1981,5129894996,1574832429,true,11,1009744623,Asian DOTA2 Gold Occupation  Competition
913,7883,4.0471,300,200,102,551,9,0,37874,724,8,5,31715,37874,1,9,30,2807,5229367193,1580992599,true,11,1021364524,ASIA CHALLENGER LEAGUE
913,2408,0,302,209,58,313,9,65,21248,650,19,4,13481,21248,1,10,25,1844,5266953291,1582965855,true,11,397073989,Asian DOTA2 Gold Occupation  Competition
908,14626,0,282,156,64,310,8,125,32123,664,15,7,21962,32123,1,11,26,1936,5217985005,1580379369,true,11,138700416,Asian DOTA2 Gold Occupation  Competition
908,4391,20.2134,347,251,123,362,10,0,27079,600,14,6,22283,27079,1,7,25,1907,5266814129,1582960106,false,11,1054644648,Masters  Tournament
908,3290,15.1238,345,221,101,554,17,0,43359,695,16,6,22111,43359,2,10,25,2794,3671716982,1515604212,false,11,5150808,ESL One Katowice 2018 powered by Intel
908,1895,0,349,198,84,694,12,0,27412,711,30,7,31931,27412,1,6,30,3238,5162826212,1576896031,false,11,1025366805,Masters  Tournament
907,2161,10.0342,301,169,70,301,8,0,20739,660,20,2,6837,20739,1,11,24,1859,5451378894,1591174112,true,11,413862776,ROG Community Cup Season 2
902,1134,40.2092,351,218,81,645,7,0,37479,732,24,5,26794,37479,1,10,30,3320,5133141329,1575021263,true,11,1021364524,ASIA CHALLENGER LEAGUE
901,90,17.6082,257,174,50,329,11,0,39638,595,15,9,26977,39638,1,5,26,2286,5311034072,1585045992,false,11,244058707,RED STAR CUP
896,3726,27.7632,324,185,90,386,16,125,29121,788,25,5,15556,29121,1,14,25,1992,4998180179,1567254023,true,11,365351539,Destiny Cup
895,4691,55.6685,304,196,68,683,14,125,35022,817,28,4,27982,35022,1,16,30,3293,5408902771,1589170452,true,11,208287519,Vulcan Champions League II
895,4292,12.6152,259,174,74,280,10,0,32613,656,8,8,24481,32613,2,9,25,1980,5582581548,1598260855,true,11,969706575,Asia Challenger league
894,5998,0,283,146,55,307,9,0,26179,653,5,5,19621,26179,1,11,25,1957,5200336577,1579268022,true,11,152707258,Asian DOTA2 Gold Occupation  Competition
892,13509,0,291,213,91,307,8,0,31445,716,5,3,14426,31445,1,15,25,1939,5310511466,1585017743,true,11,1032889954,Asia Challenger league
892,10843,0,322,198,84,602,16,0,57308,738,17,7,50514,57308,1,24,30,3323,5718540279,1606462947,true,11,101968048,Motivation Cup by Moon Studio
892,3219,13.4458,366,197,78,512,7,0,28794,645,21,7,26457,29351,2,7,25,2290,5107843928,1573403442,false,11,106755427,Dotabuff Reach - Pinnacle Division
891,2929,0,290,148,62,360,18,0,42665,666,25,7,25817,42665,1,9,28,2250,5198637668,1579146973,false,11,161042969,Masters  Tournament
888,10668,0,303,203,96,518,12,150,64879,686,20,4,42854,64879,1,25,29,2883,5284503667,1583817714,true,11,358102129,Hainan Master Spring Invitational
888,6454,1.76624,273,195,69,301,16,0,47055,622,22,6,24623,47055,1,7,25,2081,5230349648,1581050237,false,11,1009991723,RED STAR CUP
887,2146,89.334,307,212,76,485,12,0,32958,708,27,4,33275,32958,1,14,30,2749,5143793115,1575646779,true,11,1032768189,ASIA CHALLENGER LEAGUE
887,1798,0,283,183,83,293,13,0,35126,612,19,8,23162,35126,1,4,25,1932,5193746865,1578811633,false,11,1009469896,RED STAR CUP
885,1824,21.6404,283,182,79,318,16,0,39198,707,11,4,18871,39198,1,13,27,2065,5148932102,1575965995,true,11,404529913,HaiNan Supreme Cup
884,9395,0,339,201,60,563,11,0,29245,708,24,6,39289,29245,1,7,29,2857,5184448347,1578216943,true,11,1032768189,ASIA CHALLENGER LEAGUE
884,2013,30.175,264,163,86,293,16,0,31980,589,18,5,18257,31980,1,10,25,2366,4678779962,1555925797,true,11,371249022," IVPL (Indonesian Virtual Predator League) SEASON 1"
882,6857,89.2957,312,201,82,532,24,0,43614,800,31,3,26239,43614,1,20,25,3129,4797342704,1559232599,true,11,116585378,ESL One Birmingham 2019 powered by Intel
882,156,25.158,312,196,64,387,7,125,36105,617,18,4,21111,36105,2,11,26,2258,5299086376,1584521748,false,11,1032768189,Asia Challenger league
879,123,0,332,201,71,468,9,0,33051,637,15,4,24583,33051,1,3,27,2524,5155562969,1576397842,false,11,233173053,Elite Cup Season 3
878,15894,0,297,227,90,392,6,0,25880,663,8,4,24358,25880,1,15,27,2271,5176400500,1577722493,true,11,1026060540,Asian DOTA2 Gold Occupation  Competition
877,594,72.915,367,191,55,649,14,0,37965,816,18,7,23389,37965,2,9,25,3082,5026785673,1568701707,true,11,365351539,Blue Dota冠军赛
876,858,39.8022,192,115,26,328,19,0,42970,584,12,11,40204,42970,1,15,28,2784,5151210865,1576123646,false,11,1036723936,Asian DOTA2 Gold Occupation  Competition
875,1648,35.168,448,241,112,608,9,0,32181,694,14,9,24929,32181,1,7,25,2453,3792771961,1521641618,false,11,250114507,2017 Mars Dota 2 League
872,5719,12.5911,252,133,56,290,13,0,33147,675,14,4,21563,33147,1,13,25,2278,4402230531,1549632287,true,11,474696927,Meister Division 2019
871,9151,0,334,234,92,587,7,0,41972,669,19,5,42315,41972,1,6,29,3208,5196567485,1579001206,false,11,1032768189,ASIA CHALLENGER LEAGUE
870,2184,42.7659,285,188,78,554,12,0,34461,659,10,10,40618,34461,1,8,29,2986,5168557493,1577257259,false,11,1025366805,Masters  Tournament
869,14904,0,331,221,80,610,15,0,81626,764,6,5,39396,81626,3,19,30,3334,5148450189,1575919670,true,11,54151884,WESG 2019-2020 Online Qualifiers
869,7224,0.200625,344,208,101,509,13,0,35254,712,49,5,26643,35254,1,5,25,2921,3218556660,1496339978,false,11,175463659,Uprise Champions Cup: Special
868,5508,105.491,252,156,69,494,26,0,67727,732,21,11,53051,67727,2,20,30,3517,5670513186,1603564329,false,11,86783886,Dota Saudi League
867,1364,0,343,211,97,433,8,0,31701,640,18,5,19838,31701,1,2,26,2220,5167445352,1577182964,false,11,1036723936,Asian DOTA2 Gold Occupation  Competition
865,2089,0,241,119,48,407,17,0,48926,614,34,14,44112,48926,1,8,29,2791,5153855797,1576302413,false,11,150588364,Masters  Tournament
864,2086,0,324,219,94,394,8,0,24292,602,4,5,21580,24292,1,8,26,2200,5219432833,1580464219,false,11,1054909810,Masters  Tournament
864,1553,32.6836,360,222,77,461,9,5926,35225,640,11,2,29190,35225,1,4,25,2229,4901835876,1563045223,false,11,94786276,The International 2019
864,1379,22.1978,360,219,78,732,18,0,55026,882,11,4,35168,55026,2,22,30,3257,5848579188,1613912980,true,11,1139933301,YouTube SIVVIT - Big Russian Show
862,1021,30.175,338,209,77,495,15,0,41726,653,23,4,19621,41726,1,3,25,2906,4695157100,1556370460,false,11,358091609,Bishkek Stars League #8
862,613,39.2391,267,184,85,347,9,0,23627,586,11,5,20927,23627,1,8,27,2570,5510381333,1594580518,true,11,118067511,Hot Price Season 4
861,7173,0,355,211,84,634,15,0,46305,825,32,3,26556,46305,1,13,25,3263,3855201180,1524934051,true,11,250114507,EPICENTER XL
860,3430,52.0076,313,160,60,436,12,0,43818,706,28,4,17901,43818,1,15,25,2567,4972033900,1566051523,true,11,238406957,Phantom League
860,844,17.6565,272,164,73,439,14,250,37937,667,13,9,30530,37937,1,13,28,2752,5499118975,1593882459,false,11,175620394,Indonesian FlaroxSIS League (IFL)
859,3371,41.0788,280,175,66,404,16,0,25439,695,3,4,18964,25439,1,15,25,2507,3781917114,1521109675,true,11,107855479,World Electronic Sports Games International
858,4785,27.6907,340,205,84,634,10,0,47060,716,4,5,36038,47060,1,17,30,3159,5268553780,1583034720,false,11,1069729658,Masters  Tournament
858,2746,14.6499,276,183,85,399,23,0,42698,774,15,4,25607,42698,1,18,30,2631,5862786815,1614619520,true,11,1167550166,DIGI CUP MONTHLY
855,4327,0,356,242,96,387,10,0,34641,702,26,1,10688,34641,1,13,25,1961,5149406840,1575990458,true,11,195001460,Esports Ukraine Dota 2 League
855,2111,0,400,253,103,491,2,4519,15161,614,8,3,18403,15161,1,7,26,2333,5167105789,1577158050,false,11,1032889954,Masters  Tournament
854,14147,0,279,182,65,490,19,0,86053,778,10,4,51091,86053,1,17,29,2924,5212394371,1580048838,true,11,337728220,Dotabuff Reach - Pinnacle Division
854,6653,41.3137,304,183,79,555,12,375,39558,792,4,5,27614,40212,1,11,29,2984,5712434234,1606071713,true,11,458949189,DIGI CUP MONTHLY
854,1304,22.7219,274,217,88,317,10,0,19148,589,16,9,23784,19148,1,5,25,2107,5302963729,1584702204,false,11,1036723936,RED STAR CUP
853,9862,0,312,243,105,312,8,0,16860,647,0,3,13324,16860,1,4,23,1800,5630881147,1601093540,true,11,439548339,Asia Challenger league
853,6607,37.6003,260,163,64,296,17,375,24095,666,21,2,14083,24209,1,12,25,2052,5775204156,1609965996,true,11,182887879,DPC Winter 21 Qualifier (SA) presented by OGA
852,9228,42.8795,300,191,87,484,13,125,51460,708,19,4,28133,51460,1,23,29,3164,5621439812,1600522001,true,11,480412663,BTS Dota 2 Online
851,15042,0,330,224,97,415,16,0,26201,786,34,2,13167,26201,1,6,25,2174,3187234555,1495033559,true,11,175463659,Uprise Champions Cup: Special
849,2523,35.7273,245,160,61,384,10,0,33184,637,16,8,30384,33184,1,15,25,2525,4937101681,1564543492,true,11,986857888,Asian DOTA2 Gold Occupation Invitational Competition S2
849,581,33.2614,278,204,80,360,10,0,35526,606,29,5,21907,35526,1,8,26,2161,5276033364,1583413067,false,11,1036723936,Asian DOTA2 Gold Occupation  Competition
848,934,20.0684,228,154,66,246,16,0,40208,531,28,8,29559,40208,1,3,26,2249,5152406067,1576207863,false,11,880093059,Asian DOTA2 Gold Occupation  Competition
847,3346,22.6011,307,190,80,405,11,325,26789,702,30,2,10934,26789,1,11,26,2273,5758297107,1608971947,true,11,373520478,虎牙DOTA2冬季邀请赛
847,2350,51.7671,306,232,74,462,17,25,39842,730,36,3,21353,39842,1,13,28,2608,5436687468,1590502756,true,11,250114507,ESL One Birmingham 2020 Online powered by Intel
847,719,25.1338,222,148,65,234,7,0,23442,503,16,8,19279,23442,1,14,24,1913,5367470382,1587362117,true,11,1057451623,RED STAR CUP
845,12838,0,259,164,74,360,26,0,56494,731,19,5,13861,56494,1,17,25,2795,3870449143,1525618057,true,11,125754754,ESL India Premiership - 2017 Edition
845,3917,71.9348,308,225,96,444,15,375,48680,650,23,5,24626,48680,1,17,28,2723,5220942183,1580544640,true,11,85612299,AEF Dota 2 Premier League Season 3
844,15670,0,308,210,77,470,16,495,34714,702,9,4,19007,34714,1,8,29,2843,5203533888,1579456935,true,11,110819366,Hot Price League
843,2349,66.3648,263,159,82,501,11,375,35756,736,16,10,29808,35756,3,22,30,3088,5863970062,1614693781,true,11,848344046,Кубок TMeSF
842,212,73.7753,294,179,71,415,5,125,34289,592,8,8,28961,34289,1,12,27,2733,5256591931,1582435153,true,11,416081785,Hainan Master Spring Invitational
842,199,66.5137,268,178,68,495,9,0,29078,631,23,10,42005,29078,1,11,25,3115,5130635580,1574865140,false,11,881188020,ASIA CHALLENGER LEAGUE
841,3090,84.4596,281,168,59,592,21,0,48159,768,30,3,27052,48159,1,14,25,3277,3670830153,1515566977,true,11,164532005,ESL One Katowice 2018 powered by Intel
841,2206,80.3399,304,193,61,518,14,0,47470,682,32,6,28416,47470,1,10,25,2896,5112466517,1573734624,false,11,133018827,Asian DOTA2 Gold Occupation  Competition
841,1800,20.0684,293,180,68,327,11,400,24511,619,17,4,19060,24511,1,4,25,2117,5339650272,1586247028,false,11,150862738,Amadeus Cup
840,8230,0,218,167,65,283,17,0,38053,635,10,9,30816,38053,1,14,26,2145,5200036410,1579250644,true,11,191364625,Asian DOTA2 Gold Occupation  Competition
839,5391,0,221,126,57,247,12,0,27840,639,13,10,26195,27840,2,7,24,1992,5109586090,1573531048,false,11,294387499,Elite Cup Season 2
837,3698,33.8728,318,201,71,557,9,125,26072,716,3,6,26461,26072,2,17,28,3113,5779190767,1610204959,true,11,400709028,DPC Winter 21 Qualifier (CIS) presented by ESL One
835,8352,0,268,150,79,495,21,0,52859,804,48,6,38022,52859,1,13,25,3057,3684323149,1516197658,true,11,94281932,GESC: Indonesia
834,3691,22.6252,285,201,81,344,10,125,33329,590,4,6,18867,33329,1,6,25,2280,5470437626,1592135544,false,11,1058098132,Masters  Tournament
831,476,25.0241,329,220,100,445,6,0,25414,573,10,4,16812,25414,1,9,25,2452,5852799702,1614117673,false,11,86738694,DPC Winter 21 League (WEU) presented by DreamLeague
830,8502,1.56074,342,208,80,661,9,70,33377,686,27,4,32654,33377,1,6,28,3512,5525369243,1595225743,false,11,208287519,libertango cup
830,4320,32.6765,297,171,68,929,21,0,57370,917,6,9,46876,57370,3,11,30,4031,5790226407,1610854312,true,11,169750210,MESA Pro Series #2
830,2646,72.0174,278,170,67,377,9,0,36784,596,8,7,21826,36784,1,11,28,2619,5139227250,1575361045,true,11,118233883,DreamLeague Season 13
829,14300,0,350,208,78,387,3,0,21103,714,13,6,22136,21103,1,11,25,2032,5148789979,1575953843,true,11,1036723936,Asian DOTA2 Gold Occupation  Competition
828,2148,42.0339,276,167,69,414,10,0,24819,688,6,5,18935,24819,1,18,27,2451,5289721991,1584094950,true,11,253897281,Asian Hero League
827,7183,0,269,175,85,382,17,0,28355,648,32,9,26754,28355,1,12,25,2563,3404895016,1503775152,true,11,232356398,CZ-SK Dota 2 League Season 10
825,2761,25.158,260,157,71,402,12,125,36888,644,12,7,24934,36888,1,8,28,2375,5206570340,1579672791,true,11,185128119,Masters  Tournament
821,1857,20.3174,287,194,57,535,12,0,34173,694,33,4,15608,34173,1,12,25,3151,3707437548,1517298023,false,11,139822354,Dota2 Asia Championships 2018
821,528,12.5427,315,186,78,374,7,4061,16470,626,29,4,20777,16470,1,8,25,2170,4531563652,1552586017,false,11,120613892,joinDOTA League #15
820,4345,0,186,133,53,382,23,0,61815,665,52,12,35025,61815,1,9,25,3360,4254194788,1543928588,true,11,188409855,E-SPORT LEAGUE-DICKYGAMING
820,1975,45.3713,192,113,56,306,14,0,40875,608,14,13,34806,40875,1,12,25,2651,4883689494,1562256965,false,11,130764392,E-SPORT LEAGUE-DICKYGAMING
820,61,27.739,296,185,73,385,11,0,27422,578,8,3,17400,27422,1,9,25,2398,5430580351,1590220965,false,11,883376187,Dota SEA Invitational 2020
817,592,25.1821,219,158,79,224,18,125,34561,587,17,8,22314,34561,2,15,24,1974,5645409331,1601982696,false,11,139253146,Moon Studio Mid-Autumn League
816,2002,40.2576,209,125,45,381,16,490,51467,623,11,5,20915,51467,1,17,25,2629,4889038294,1562482406,false,11,196931374,The International 2019
815,2617,51.2283,300,211,87,407,7,0,31814,590,18,3,23332,31814,1,15,25,2545,5093169336,1572522875,false,11,202217968," Hainan  Master League "
814,6337,0,294,165,71,579,7,0,27344,650,19,7,39831,27344,1,9,29,3183,5185874840,1578304584,false,11,161042969,ASIA CHALLENGER LEAGUE
814,5870,0,291,205,91,479,10,0,31848,636,18,3,20283,31848,1,6,25,2888,3308645107,1499852714,false,11,164532005,Uprise Champions Cup: Special
814,4448,1.76624,274,158,73,620,15,0,28140,647,23,6,43558,28140,2,17,29,3916,5161861364,1576837002,false,11,148063231,QUICK DotA2 Thailand League
812,2145,1.76624,328,207,83,478,6,400,23647,625,32,7,20134,23647,1,2,27,2524,5161532629,1576809407,false,11,185128119,Masters  Tournament
812,1834,30.5857,336,173,77,574,8,0,36689,752,7,4,22401,36689,1,9,28,2738,5350571881,1586680243,false,11,180012313,Amadeus Cup
812,1216,31.5231,252,164,77,279,14,0,31092,581,17,6,18992,31092,1,18,24,2038,5382796103,1588007149,true,11,118419316,LootBet home camp
811,2297,50.4719,333,186,67,448,14,0,33487,726,17,2,15145,33487,1,10,25,2430,4349619973,1548045308,true,11,468599935,The Chongqing Major
810,598,0,241,129,57,336,11,5601,26562,615,19,11,27877,26562,1,12,25,2203,5010429817,1567855896,false,11,235002246,ASIA CHALLENGER LEAGUE
810,24,10.1067,262,168,62,276,7,0,23096,505,15,8,31122,23096,1,10,25,2068,5154006034,1576311090,false,11,1021364524,Masters  Tournament
809,3012,30.2959,257,195,80,257,12,0,28385,627,19,5,23677,28385,1,9,23,1807,5502791778,1594112796,false,11,204281778,Asian DOTA2 Gold Occupation  Competition
809,2187,60.1047,196,126,53,307,13,0,43117,582,18,8,26774,43353,2,12,25,2669,4912323720,1563543388,false,11,189448537,ESL India Premiership 2019 - Challenger Cup
808,9267,42.7178,241,151,50,446,18,0,48303,826,37,10,31072,48303,1,16,25,2873,4838997547,1560540583,true,11,189536858,"Hardstyle Minor League "
808,2383,35.1438,274,188,84,380,4,250,29813,596,12,1,12075,29813,1,21,27,2527,5463706808,1591790202,true,11,195001460,Beyond Epic League
807,3112,25.1338,292,196,70,353,7,125,21088,637,13,7,14510,21088,1,18,25,2089,5081885994,1571829272,true,11,153836240,ESL One Hamburg 2019 powered by Intel
807,1897,93.4048,292,197,67,445,12,0,45351,635,31,2,22861,45351,1,14,27,2770,5207333788,1579716503,false,11,195001460,Hot Price League
807,1412,28.0514,261,159,72,355,9,0,39302,531,16,5,19301,39302,1,10,26,2335,5380707538,1587917357,false,11,115651292,LootBet home camp
806,5288,17.584,221,161,68,278,12,50,24238,645,13,5,20561,24238,1,21,25,2169,5773364672,1609859359,true,11,414074991,DPC Winter 21 Qualifier (CIS) presented by ESL One
806,4921,0,200,148,47,265,8,125,50413,548,15,8,34322,50413,1,22,26,2304,5184168894,1578202254,true,11,225364949,RED STAR CUP
804,5120,17.584,306,208,96,360,13,0,27901,676,23,2,18766,27901,1,16,26,2270,5555051246,1596717409,true,11,400709028,OMEGA League
804,3619,50.4674,306,189,71,560,17,0,45159,702,18,4,29767,45159,2,16,29,3293,5349666500,1586637240,true,11,412753955,ESL One Los Angeles 2020 Online powered by Intel
804,2581,0,227,183,85,229,7,796,18315,558,15,5,16572,18315,1,11,23,1845,5572384214,1597673282,true,11,277121156,Asia Challenger league
802,8085,0,282,168,56,300,9,0,36042,655,13,8,27106,36042,1,11,24,2034,5204041543,1579500424,false,11,204281778,Asian DOTA2 Gold Occupation  Competition
802,7185,20.8043,329,225,85,391,11,0,27353,723,11,4,16569,27353,1,19,25,2196,4809394931,1559581820,true,11,49274352,joinDOTA League #16
802,1761,37.749,229,152,67,459,17,0,53253,668,25,11,47905,53253,2,16,25,3150,4826406781,1560098072,false,11,373488044,E-SPORT LEAGUE-DICKYGAMING
801,4692,0,237,164,67,279,6,3484,19721,613,13,5,21519,19721,1,9,24,1986,5533366000,1595600967,true,11,172298224,Voodoo league
801,2564,0,253,166,74,339,8,0,35445,628,16,4,20930,35445,1,15,25,2296,3818881289,1523011366,false,11,114787051,Dota 2 Professional League 2016
801,111,44.01,329,198,77,624,9,0,34140,720,32,3,20278,34140,1,10,25,3153,5070040335,1571111735,true,11,130750772,VARENA赛事
800,4166,20.0684,268,151,42,723,20,0,63339,733,29,15,43616,63339,2,20,25,4013,3794682870,1521742019,false,11,116514161,2017 Mars Dota 2 League
800,2235,27.7148,256,155,75,349,8,0,25305,656,15,9,19756,25305,1,10,25,2183,5094567257,1572609918,true,11,1009744623,Asian DOTA2 Gold Occupation  Competition
799,3625,17.5598,314,194,87,551,12,0,39435,705,37,7,22887,39435,2,8,28,2876,5183251403,1578146671,true,11,157563163,ESL India Premiership 2019 - Masters League
798,11944,0,318,192,85,345,18,0,27900,783,39,3,19762,27900,2,9,25,2039,3336266780,1501023088,true,11,116514161,KOD League 2017
798,2738,21.8746,220,155,55,458,14,4698,47211,710,24,6,35712,47211,2,16,25,2822,4530268555,1552565538,false,11,162588284,joinDOTA League #15
796,5721,5.00418,326,202,84,437,11,0,35839,632,13,5,28750,35839,1,11,26,2509,5169763560,1577333465,false,11,124936122,中国DOTA2发展联赛
795,2747,20.3936,290,186,78,524,19,0,46587,676,20,5,33619,46587,3,11,28,3223,5790222404,1610854006,false,11,844701899,MESA Pro Series #2
795,809,0,297,183,62,409,10,0,43613,571,30,3,25100,43613,1,6,27,2630,5266572205,1582947857,false,11,150970092,中国DOTA2发展联赛
794,2225,15.0513,325,170,71,573,9,0,37506,679,16,4,26352,37506,1,6,25,3212,4794758580,1559147233,false,11,81852496,ESL One Birmingham 2019 powered by Intel
794,678,20.0925,291,210,102,443,8,0,28065,625,20,10,28581,28065,1,9,27,2767,5829075664,1613051467,false,11,103289327,X League
792,9393,17.0915,289,187,73,555,24,0,78381,783,27,7,47593,78381,2,11,30,3101,5223474986,1580658241,true,11,352357692,ESL SURA.BRAZEN.ID
792,1929,15.1238,307,199,76,481,6,0,32156,696,12,6,21964,32156,1,5,25,2500,4937368934,1564555384,false,11,104512126,Stars Championship Compeition
792,904,0,296,200,82,361,6,0,26562,582,13,5,28268,26562,1,4,25,2253,5156209227,1576425354,false,11,131522471,YouTube SIVVIT - Big Russian Show
791,2686,38.1541,324,175,89,457,8,0,15963,713,53,2,13466,16085,1,6,25,2375,3667833474,1515413853,false,11,94281932,SL i-League Invitational Season 4
790,7962,0,278,172,81,513,22,0,50154,757,21,5,26241,50154,1,7,25,2928,3858746706,1525100139,false,11,250114507,EPICENTER XL
790,5400,0,228,151,57,298,12,635,32176,608,22,10,32798,32176,1,6,26,2200,5305106165,1584791852,false,11,1026060540,RED STAR CUP
790,83,37.7862,283,174,77,399,8,0,21032,559,15,5,14977,21032,1,7,26,2641,5505660614,1594299235,false,11,104963314,ONE Esports Dota 2 SEA League
789,715,17.6323,315,191,61,483,8,665,23000,691,23,3,16940,23000,1,9,25,2417,4971353216,1566027518,false,11,153836240,The International 2019
788,2736,27.6907,263,168,61,315,12,125,27020,597,26,3,17515,27020,1,9,24,2084,5378430818,1587827055,true,11,845444762,EGB Isolation Cup
787,16202,0,367,225,68,604,6,0,42395,732,25,3,33143,42395,1,7,27,2766,5270460856,1583118296,true,11,196493853,Elite Challenge
787,7755,0,262,149,56,369,8,0,37730,567,10,6,31193,39437,1,15,26,2688,5150848602,1576088954,false,11,400709028,SECTOR ESPORTS
787,7134,20.1167,293,206,86,378,11,0,37019,658,13,5,19499,37019,1,17,26,2446,5556734246,1596810047,true,11,118419316,Glory of the summer
787,2513,38.0221,229,140,75,320,21,0,21513,709,11,6,17744,25853,1,13,25,2477,1928080181,1447203372,true,11,131370401,Tecnolan 2015
787,0,0,268,171,76,290,8,0,21990,548,5,8,21432,21990,1,11,24,2045,5816189387,1612358120,false,11,150550195,X League
786,4796,20.1409,248,149,67,272,21,591,44245,634,27,2,13576,44245,1,12,24,2079,5415700905,1589498672,true,11,131303632,Copa Dota 2 Brasil
786,1908,0,302,206,104,419,16,0,42675,569,20,10,46791,42675,1,12,27,2908,5231648713,1581107674,false,11,397078682,Dotabuff Reach - Pinnacle Division
785,4384,20.1409,268,208,68,587,19,0,51737,741,17,5,23074,51737,1,15,25,3172,3647703764,1514524260,false,11,369751488,H-CUP(好汉杯）
785,4096,134.843,220,130,52,658,22,0,76061,748,42,12,56203,76061,2,25,25,4033,5057991418,1570386823,true,11,118419316,MDL Chengdu Major
784,3289,0,318,243,118,318,8,0,21047,628,0,5,12050,21047,1,5,23,1800,5308771623,1584941428,false,11,1054909810,Asia Challenger league
784,1732,15.0513,285,154,49,440,13,400,37670,703,21,4,18253,37670,1,7,25,2466,3631237053,1513808755,false,11,59463394,SL i-League Invitational Season 4
784,1081,0,288,176,57,392,4,0,23821,564,30,8,16846,23821,1,15,25,2554,3907027514,1526983885,false,11,130574494,ProDotA Cup Series
782,3888,89.5738,202,127,57,723,39,0,77430,727,23,11,52492,77430,4,23,25,4671,3778426484,1520923645,false,11,110583422,World Electronic Sports Games International
781,16973,0,231,121,59,418,20,0,45689,765,15,4,35552,45689,1,3,25,2973,3152181310,1493687530,true,11,126317154,Dota 2 Challenge Mexico
