xp_per_min,tower_damage,stuns,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,buybacks,assists,level,duration,match_id,start_time,win,hero_id,account_id,leaguename
997,967,0,114,47,5,203,17,0,50077,660,4,11,31918,50077,1,18,25,2535,5001756753,1567407698,false,75,140155883,Asian DOTA2 Gold Occupation Invitational Competition S3
929,1266,0,188,143,54,188,17,0,38316,598,21,7,19346,38316,1,18,25,1955,5143166036,1575616826,true,75,132315437,Asian DOTA2 Gold Occupation  Competition
883,6114,48.7267,191,118,53,244,30,0,55204,806,21,4,10248,55204,1,14,25,2098,4879895595,1562089019,true,75,862893339,E-SPORT LEAGUE-DICKYGAMING
860,200,0,33,15,6,33,15,240,31703,500,1,5,15795,31703,1,28,24,1903,4915778518,1563690498,true,75,126598297,redrain cup
853,3354,18.5966,271,143,50,358,22,0,46631,642,3,5,21041,46631,1,12,28,2764,5295207783,1584333717,true,75,167584799,Asia Challenger league
845,5384,0,207,131,46,230,12,0,23123,661,15,6,19321,23123,1,10,25,2031,5129761478,1574822582,true,75,471533921,Asian DOTA2 Gold Occupation  Competition
839,10183,37.5092,134,68,25,188,32,0,64081,722,23,5,25284,64081,1,8,25,2289,4879236908,1562070122,true,75,862893339,E-SPORT LEAGUE-DICKYGAMING
839,1558,0,108,68,29,113,16,0,38505,487,15,13,31610,38505,1,10,25,2006,5129987989,1574838357,false,75,1009744623,Asian DOTA2 Gold Occupation  Competition
823,248,3.51196,158,98,44,203,11,0,28764,598,10,11,20333,28764,1,8,25,2073,5129991850,1574838592,false,75,137519820,Asian Hero League
815,674,0,179,95,40,207,5,0,20405,488,13,8,16259,20405,1,16,24,1960,5161726014,1576826989,false,75,998096014,Masters  Tournament
806,1549,29.519,280,171,63,378,16,0,39663,719,36,2,14956,39663,1,4,25,2532,5010122586,1567844430,true,75,404529913,Asia Communication League
805,1103,7.02393,99,31,8,181,6,522,27465,459,15,13,31147,27465,1,23,25,2861,4939511813,1564643619,false,75,102158434,Asian DOTA2 Gold Occupation Invitational Competition S3
796,12353,25.1523,150,85,43,278,26,0,50028,683,29,4,16534,50028,1,17,25,2697,4782964455,1558792703,true,75,862893339,TNG League 1
794,6185,12.3086,117,74,32,168,14,0,45052,626,12,11,30214,45052,1,18,26,2178,5147592969,1575871595,true,75,110276878,HaiNan Supreme Cup
789,0,31.8386,79,38,5,283,16,400,46075,543,4,12,30303,46075,2,21,30,3803,5135214870,1575123424,false,75,872254126,ASIA CHALLENGER LEAGUE
772,2036,0,182,114,53,205,8,0,23876,513,24,8,20338,23876,2,13,24,2047,5034588881,1569122614,true,75,404529913,Blue Dota冠军赛
766,3503,28.167,116,83,38,157,21,0,49889,579,22,11,26417,49889,1,24,25,2248,4872855660,1561815242,true,75,862893339,FUN MATCH LEAGUE
763,413,3.34473,124,60,0,240,8,0,20243,569,4,6,15432,20243,1,17,26,2463,5149003622,1575970799,false,75,1032807078,ASIA CHALLENGER LEAGUE
755,3506,0,274,162,68,376,12,0,38780,597,9,3,14674,38780,1,5,27,2679,5139031114,1575344930,false,75,123494171,Asian Hero League
745,5491,26.2891,159,106,47,301,27,0,75847,541,4,8,38883,75847,1,17,25,3822,3393507875,1503342700,true,75,54273357,CZ-SK Dota 2 League Season 10
735,5688,0,209,131,66,261,8,0,32141,612,31,2,10027,32141,1,18,25,2286,5148211725,1575906232,true,75,96803083,WESG 2019-2020 Online Qualifiers
727,1677,0,146,94,53,323,14,0,69456,595,18,15,43718,69456,1,21,29,3139,5147825902,1575888819,true,75,1047174434,ASIA CHALLENGER LEAGUE
726,58,50.806,221,122,60,331,7,0,26443,586,19,6,23875,26443,3,18,25,2816,4962186130,1565580435,false,75,104512126,Destiny Cup
717,3060,35.3962,222,125,47,488,9,0,41299,557,39,11,39327,41299,1,9,25,4024,5130078062,1574843518,false,75,1032768189,ASIA CHALLENGER LEAGUE
717,2934,0,172,103,45,197,12,0,37277,537,15,6,17708,37277,1,9,24,2278,4940854315,1564684958,false,75,835280602,Tehran Esports Pro League
716,629,25.6205,70,37,4,206,9,0,35592,510,4,12,27834,35592,1,17,28,3219,5146487719,1575803177,false,75,1025817419,ASIA CHALLENGER LEAGUE
715,2847,68.8035,200,152,59,375,15,0,53069,565,26,10,34490,53069,1,15,25,3325,4844730120,1560718478,false,75,122021562,"Hardstyle Minor League "
714,2454,0,160,110,64,160,16,0,30516,486,29,10,19908,30516,1,7,22,1833,5176045947,1577707988,false,75,1009744623,Asian DOTA2 Gold Occupation  Competition
710,6723,7.02393,208,130,63,258,12,0,42329,549,13,3,22494,42329,1,20,26,2453,5428924285,1590138663,true,75,85612299,Oceanic Esports Dota League
710,707,0,150,116,53,194,8,0,33369,517,9,8,24252,33369,1,13,24,2181,5131682949,1574932129,false,75,138700416,Asian DOTA2 Gold Occupation  Competition
707,7317,11.7734,208,128,61,336,17,0,47787,662,26,4,32139,47787,1,22,26,2690,5360828700,1587106804,true,75,152545459,BTS Dota 2 Online
697,1626,31.4404,193,133,61,318,4,0,20078,540,18,12,26754,20078,1,13,25,3055,5130329576,1574855271,false,75,998096014,ASIA CHALLENGER LEAGUE
696,5982,0,206,133,55,303,9,0,39799,548,39,3,13838,39799,1,12,26,2638,5658592272,1602831686,true,75,102811031,Oceanic Esports Dota League Season 2
695,120,15.687,62,38,7,185,5,0,19343,456,6,9,21294,19343,1,22,26,2841,5143386828,1575630812,false,75,218649546,ASIA CHALLENGER LEAGUE
694,3673,0,190,139,59,215,11,0,24040,520,17,5,11548,24040,1,14,22,1962,5378539134,1587829992,true,75,90810663,EGB Isolation Cup
693,8428,1.94,144,109,52,180,7,0,30758,483,24,6,17795,30758,1,24,24,2336,5407691388,1589115103,true,75,377568540,YouTube SIVVIT - Middle tournament
691,1803,46.3705,179,113,51,285,14,0,41331,623,16,10,23390,41331,1,22,25,2560,5028152196,1568781467,true,75,404529913,Blue Dota冠军赛
687,2693,25.005,157,120,43,246,9,0,25890,534,19,8,21140,25890,1,21,25,2501,5747460619,1608310859,true,75,250114507,AMD SAPPHIRE OGA DOTA PIT EU/CIS
680,1003,6.35498,15,11,5,33,10,385,22960,393,3,8,19784,22960,1,18,25,2603,5207764105,1579755617,true,75,136433990,Masters  Tournament
679,141,16.0623,183,113,53,465,8,0,42492,495,12,7,23716,42492,1,22,25,3251,3382334145,1502961447,false,75,104963314,ProDotA Cup by Azubu
676,5610,23.5468,216,129,58,343,11,0,26860,706,33,4,16836,26860,1,3,26,2617,5140259897,1575426622,true,75,221666230,DreamLeague Season 13
673,4245,0,40,19,6,73,5,1696,25562,357,3,8,15078,25562,1,28,24,2525,5577904990,1598007448,true,75,23170779,Oceanic Esports Dota League Season 2
673,1634,8.32855,103,65,36,183,10,0,56877,439,13,17,49714,56877,2,24,28,3074,5335368783,1586074659,true,75,251881949,希望发展杯 Hope development cup
