xp_per_min,tower_damage,stuns,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,buybacks,assists,level,duration,match_id,start_time,win,hero_id,account_id,leaguename
910,2186,75.2912,226,152,58,331,19,0,42359,670,13,6,53219,42359,1,14,28,2426,5224418499,1580718900,true,28,1045552496,ASIA CHALLENGER LEAGUE
900,745,45.5517,224,170,59,252,9,0,22876,550,36,6,27790,22876,1,8,25,2166,5174419273,1577612729,true,28,1025553404,Asian DOTA2 Gold Occupation  Competition
883,1814,91.2648,168,111,56,177,6,5867,13831,561,7,2,21115,13831,1,18,26,1939,5310511466,1585017743,true,28,1032801874,Asia Challenger league
855,3908,80.9547,138,102,33,193,20,0,41350,611,7,13,54389,41350,2,14,25,3100,5071383159,1571199295,false,28,139212407,RED STAR CUP
841,1316,51.5723,139,113,51,142,11,2815,17853,508,5,9,26125,17853,1,12,25,2011,5247579042,1581948673,true,28,1032651180,Asia Challenger league
834,3913,81.3739,185,99,55,279,9,0,29512,505,13,10,40223,29512,1,11,27,2899,5197738326,1579084768,false,28,1014766785,Asian DOTA2 Gold Occupation  Competition
834,2713,72.3125,207,115,47,296,8,0,27331,553,5,10,32881,27331,1,19,27,2752,5180100159,1577963294,false,28,117199412,ASIA CHALLENGER LEAGUE
820,290,55.1656,169,96,49,250,9,0,26794,518,9,7,33182,26794,1,10,26,2572,5270555624,1583125068,false,28,1058098132,Masters  Tournament
819,3569,63.4048,220,147,56,245,10,0,22376,619,13,2,16016,22376,1,17,25,2147,5561895002,1597078304,true,28,887657854,OMEGA League
816,4077,115.219,161,83,30,303,17,0,55662,622,9,7,55562,55662,1,18,29,3085,5148748233,1575949806,true,28,1036723936,Asian DOTA2 Gold Occupation  Competition
814,2964,84.8389,263,151,49,332,8,0,31210,631,0,5,18354,31210,1,10,25,2287,5725780763,1606907163,false,28,1011080901,Asian New Star League
810,2638,73.7934,210,153,50,270,11,0,27370,549,13,6,26607,27370,1,10,25,2247,5184024516,1578192002,false,28,1014645107,RED STAR CUP
807,3167,66.069,125,79,43,129,14,0,26932,464,7,4,16980,26932,1,17,24,2005,5276960187,1583465043,true,28,1032651180,Masters  Tournament
797,1692,71.6505,153,111,67,173,13,0,23015,517,13,5,17185,23015,1,20,25,2184,5703312977,1605509909,true,28,141065684,Perfect World League
781,2702,99.6994,62,45,19,67,8,0,11783,457,6,3,16546,11783,1,25,24,2010,2903710187,1483914816,true,28,349501919,The Battle Fury 2016
774,5395,85.2227,173,124,63,243,14,0,36453,572,21,9,51998,36453,1,27,27,3069,5781020356,1610297877,false,28,56939869,DPC Winter 21 Qualifier (WEU) presented by DreamLeague
774,515,111.399,136,84,51,151,16,0,43434,463,15,13,44336,43434,1,14,25,2548,5151312214,1576132890,false,28,132315437,Asian DOTA2 Gold Occupation  Competition
768,1025,105.557,49,31,3,54,10,0,18490,435,8,6,16878,18490,1,28,24,2021,4153655815,1538751990,true,28,383941979,E-SPORT LEAGUE-DICKYGAMING
757,1738,43.0258,153,116,39,171,3,0,16321,486,14,7,15584,16321,1,19,23,2011,5731155496,1607243926,true,28,157301774,Asian New Star League
755,3353,61.6951,119,77,52,137,5,0,13688,470,10,6,21150,13688,1,25,23,2050,5737670549,1607678466,true,28,162641196,Artisan Dota League
750,1482,43.2225,275,194,79,298,5,1406,14402,570,11,6,23740,14402,1,7,24,2167,5028162251,1568782226,false,28,137217992,Masters  Tournament
748,3905,64.0041,178,119,48,242,9,0,29796,483,14,3,24101,29796,1,14,26,2524,5671487128,1603626677,false,28,292829433,Monster Energy DOTA Summit 13 Online
731,873,57.7078,84,42,24,115,7,0,17501,411,4,12,36575,17501,1,17,25,2555,4246316434,1543547668,true,28,147625613,"ABOY PRO GAMING LEAGUE "
730,1083,94.871,154,109,58,226,21,2162,38379,500,13,10,76890,38379,1,21,25,3309,5021840299,1568449795,false,28,234075689,Asian DOTA2 Gold Occupation Invitational Competition S3
729,3063,87.1294,101,82,26,172,8,0,25488,477,3,12,54567,25488,1,29,25,3081,4829402144,1560206747,true,28,105663807,joinDOTA League #16
729,88,96.6908,179,113,49,273,11,0,32967,520,6,10,36388,32967,2,12,27,2603,5207764105,1579755617,false,28,1058156584,Masters  Tournament
727,1875,72.6639,144,97,46,148,7,0,17090,442,18,6,21633,17090,1,15,23,2104,5725516031,1606886957,true,28,318286721,Moon Studio Carnival Cup
724,6736,66.0494,131,100,45,216,8,0,15418,520,13,7,30598,15418,1,25,27,2681,5728081634,1607062036,true,28,318286721,Moon Studio Carnival Cup
