xp_per_min,tower_damage,stuns,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,buybacks,assists,level,duration,match_id,start_time,win,hero_id,account_id,leaguename
983,3939,0,246,132,49,247,13,0,31231,553,11,6,38198,31231,1,19,26,2079,5143042677,1575607244,false,93,143810335,Asian DOTA2 Gold Occupation  Competition
979,4227,2.87,268,185,67,268,14,0,34661,723,12,2,22010,34661,1,12,26,1808,5723255179,1606738305,true,93,145399790,Asian New Star League
975,9895,7.32495,239,127,59,241,12,0,22823,694,14,8,30229,22823,1,10,25,1910,5516388594,1594877621,true,93,136427601,Asia Challenger league
962,5633,9.93394,255,154,60,266,14,0,26180,661,12,6,24005,26180,1,11,27,1952,5635546003,1601375265,true,93,1032918275,Masters  Tournament
951,12154,22.1309,265,160,54,506,25,0,56688,762,10,3,59576,56688,2,18,30,3381,5523573814,1595150112,false,93,221743617,Moon Studio Asian league
945,1074,10.7366,275,169,61,281,14,0,29226,633,2,4,20566,29226,1,7,25,1872,5428575215,1590115767,false,93,867199726,Asia Challenger league
943,3359,0,280,164,64,433,10,0,39609,595,25,8,39344,39609,1,5,29,3012,5227477830,1580891526,false,93,1056816962,ASIA CHALLENGER LEAGUE
929,2055,9.03076,238,184,77,278,9,0,37839,540,9,6,29585,37839,1,8,26,2247,5178724867,1577876953,false,93,185128119,ASIA CHALLENGER LEAGUE
924,1098,0,198,122,44,246,14,0,37476,550,10,5,53607,37476,2,13,27,2176,5443645186,1590829076,false,93,1101821395,Octopus League
924,546,0,258,166,37,285,10,0,20688,617,11,5,27997,20726,1,5,25,2026,5186992837,1578375367,false,93,140357589,RED STAR CUP
918,2420,8.79673,244,134,54,270,12,0,22474,688,10,3,13599,22474,1,6,25,1930,4931863171,1564323412,true,93,95430068,Loot.bet/dota Season 1
917,6458,55.32,198,122,26,320,14,0,51748,604,6,6,56374,51748,1,22,25,2746,5044020990,1569647413,false,93,1009469896,Asian DOTA2 Gold Occupation Invitational Competition S3
897,4702,0,260,145,26,271,11,0,22305,599,10,5,25724,22305,1,13,25,1951,5427122935,1590040185,true,93,416242099,Asia Challenger league
896,14937,0,339,209,70,695,14,0,34605,916,21,4,34305,34605,1,2,30,2910,5253656365,1582291780,true,93,1055550508,Asia Challenger league
893,5129,0,246,116,38,381,13,0,38781,701,11,6,32665,38781,1,18,30,2420,5169745970,1577331911,true,93,1051198481,Masters  Tournament
892,3080,0,249,147,49,397,8,400,28101,626,0,7,46525,28101,1,4,27,2656,5312522277,1585111739,false,93,1032699094,Asia Challenger league
890,68,1.50513,157,99,45,231,16,0,31638,622,10,10,33806,31638,1,13,25,2300,5129935474,1574835097,false,93,889210415,Asian Hero League
888,1526,4.77648,308,171,59,413,10,0,26088,593,11,4,44356,26088,1,5,27,2452,5196509411,1578997579,false,93,1025925850,ASIA CHALLENGER LEAGUE
887,1732,11.8405,242,123,49,398,14,0,28709,625,17,6,36012,28709,1,13,28,2651,5229476105,1580996353,false,93,1025925850,ASIA CHALLENGER LEAGUE
886,3994,8.59585,374,213,66,593,8,0,24928,792,19,3,34670,24928,1,8,28,2759,5529400892,1595407765,false,93,100594231,Southeast Asia competition
883,269,0,388,222,68,453,4,0,10410,639,19,4,18641,10410,1,3,25,2195,5275316546,1583375754,false,93,1066742392,Masters  Tournament
