xp_per_min,tower_damage,stuns,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,buybacks,assists,level,duration,match_id,start_time,win,hero_id,account_id,leaguename
932,342,128.885,75,23,2,78,4,400,15202,404,4,13,27141,15202,1,27,25,1850,5586727716,1598503614,true,71,1051852966,RED STAR CUP
864,732,176.052,104,34,15,110,13,0,30896,475,2,5,32566,30896,1,15,24,1878,5566851010,1597372613,true,71,397025016,Asian DOTA2 Gold Occupation  Competition
863,698,138.342,79,41,7,111,11,0,21262,460,1,7,29774,21262,1,25,25,2417,4865541995,1561538101,true,71,140159807,redrain cup
842,143,151.353,35,20,6,81,3,0,14261,386,3,18,41994,14261,1,20,25,2290,5576210319,1597905333,false,71,255423549,RED STAR CUP
838,2160,98.5501,191,115,49,209,9,0,17989,504,13,6,27667,17989,1,13,25,2080,5262022782,1582705388,false,71,141581042,RED STAR CUP
803,3432,238.041,33,13,2,107,19,240,45727,436,3,14,50168,45727,1,38,25,3567,4843756791,1560690687,true,71,162220523,ESL SURA.BRAZEN.ID
790,2287,171.145,56,28,10,136,14,0,32980,475,13,12,42041,32980,1,22,27,2596,5144476754,1575694571,false,71,178177481,Asian DOTA2 Gold Occupation  Competition
784,1303,258.757,45,15,10,72,12,0,28723,443,3,11,31912,28723,1,35,25,2171,5064274325,1570794135,true,71,1015445985,Asian DOTA2 Gold Occupation  Competition
782,301,138.214,118,70,14,160,5,125,19691,431,3,7,22652,19691,1,18,25,2307,5573441690,1597740605,false,71,869277719,StarLuck Cup
757,0,162.909,74,23,6,74,10,115,13835,430,1,7,17023,13835,1,31,22,1840,5727896349,1607043902,true,71,86726887,Realms Collide - The Burning Darkness
753,1658,162.151,89,41,15,109,11,0,24174,473,12,13,34184,24174,3,26,25,2570,4935182858,1564467645,true,71,522916,Asian DOTA2 Gold Occupation Invitational Competition S2
739,196,146.8,138,84,46,199,6,75,19478,520,8,6,27266,19478,1,23,25,2401,5013606519,1567998345,true,71,135656964,Asia Communication League
738,1624,135.031,52,19,7,86,9,2770,18029,386,4,7,25069,18029,1,29,25,2342,4855618945,1561131167,true,71,353043531,Meister Division 2019
733,930,279.448,52,21,4,196,20,240,47336,474,4,9,54950,47336,3,34,25,4012,4910831000,1563466006,false,71,348703642,joinDOTA League #16
722,720,117.881,108,85,31,110,12,0,25568,473,7,8,29870,25568,1,19,22,1871,5346129986,1586518229,true,71,1070042868,Masters  Tournament
718,973,118.178,114,48,1,225,10,125,24824,530,0,6,17376,24824,1,20,26,2450,5794310874,1611100800,true,71,124147811,END OF YEAR Professional League BY LEG
718,746,139.326,204,112,55,208,8,0,20035,480,17,5,18476,20035,1,8,22,1885,5407075856,1589091586,false,71,138561549,Masters  Tournament
717,1444,115.747,38,28,2,105,13,988,20815,435,3,8,30328,20815,1,20,25,2571,5740723946,1607861007,true,71,118429986,YouTube SIVVIT - Big Russian Show
715,290,230.681,51,20,2,139,8,0,31335,515,3,9,31917,31335,1,27,27,3067,5184364254,1578212739,false,71,1025817419,ASIA CHALLENGER LEAGUE
711,972,180.6,87,39,4,214,10,0,28754,481,8,13,44329,28754,1,29,25,3325,4844730120,1560718478,true,71,150967482,"Hardstyle Minor League "
703,319,193.239,34,7,5,39,12,480,28167,404,1,12,33056,28167,2,37,23,2025,4998029804,1567249301,false,71,140155883,Asian DOTA2 Gold Occupation Invitational Competition S3
701,0,218.386,43,18,5,66,7,213,23242,381,0,14,46053,23242,2,35,25,2777,4822715047,1560002142,false,71,161406648,ESL SURA.BRAZEN.ID
