xp_per_min,tower_damage,stuns,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,buybacks,assists,level,duration,match_id,start_time,win,hero_id,account_id,leaguename
1205,11245,7.85991,382,233,132,469,21,0,52910,944,1,6,17001,52910,1,12,30,2465,5617967005,1600317580,true,46,1118134006,Asia Challenger league
1176,2754,9.04715,440,277,123,823,13,0,43351,901,16,3,9529,43351,2,4,30,2952,5182980801,1578136135,false,46,150588364,ASIA CHALLENGER LEAGUE
1166,5234,5.05054,401,260,94,562,18,0,45135,797,3,3,16161,45135,1,8,29,2451,5199906558,1579240507,false,46,150588364,Masters  Tournament
1123,1522,7.25815,416,253,86,558,9,0,26942,710,13,3,11223,26942,1,2,28,2562,5388113743,1588256242,false,46,163463616,Asia Challenger league
1118,6470,1.53857,304,205,97,304,20,0,38031,769,17,7,12286,38031,1,3,25,1814,5666825507,1603345738,false,46,204281778,RED STAR CUP
1036,1666,0,239,174,91,239,18,0,38174,692,10,7,18650,38174,1,7,25,1806,5693741808,1604915546,false,46,868787608,Asian DOTA2 Gold Occupation  Competition
1024,13287,9.09766,331,229,84,341,10,171,30071,703,9,3,14331,30071,1,15,25,2106,5079130960,1571651993,true,46,161042969,ASIA CHALLENGER LEAGUE
1020,6246,9.6327,372,234,107,577,18,0,39865,842,11,2,15972,39865,1,12,25,2848,5108604284,1573464987,true,46,204281778,Asian DOTA2 Gold Occupation  Competition
1018,7249,9.22798,312,199,91,475,16,0,42906,712,4,9,27805,42906,1,5,28,2963,5541162908,1595973995,false,46,314480111,ESL One Thailand 2020 Online powered by Intel
1012,5137,4.95021,375,249,93,375,11,0,24954,736,3,3,12906,24954,1,5,26,1946,5494016597,1593576550,false,46,163463616,Masters  Tournament
1006,318,2.80957,348,199,61,354,14,0,43560,691,14,5,18264,43560,1,7,26,1930,5227179602,1580873900,false,46,1025553404,RED STAR CUP
1005,8951,6.85659,268,166,62,280,19,0,45864,723,7,5,14485,45864,1,8,28,1966,5185591665,1578282381,true,46,140357589,RED STAR CUP
1004,6148,4.44849,362,216,91,379,14,0,28553,739,10,4,12934,28553,1,10,26,1881,5203932895,1579490966,false,46,1014667163,Asian DOTA2 Gold Occupation  Competition
1001,10271,11.7403,410,297,116,730,13,0,57136,805,1,4,11534,57136,1,9,30,3157,5250431775,1582116657,false,46,1058098132,Asia Challenger league
