xp_per_min,tower_damage,stuns,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,buybacks,assists,level,duration,match_id,start_time,win,hero_id,account_id,leaguename
1001,10949,0,532,250,69,548,11,0,20906,1031,4,1,10779,21650,1,3,27,1899,5719786068,1606535433,true,109,454849686,The Crown Cup
931,10107,0,285,231,77,287,12,20,29625,742,13,5,31375,34107,1,20,26,1891,5566884829,1597375269,true,109,293705213,Asian DOTA2 Gold Occupation  Competition
905,5670,0,444,213,63,514,6,0,17572,812,0,4,20597,23328,1,3,26,2138,5724183216,1606798375,false,109,142655954,The Crown Cup
896,6281,0,278,186,79,341,12,0,22861,707,1,8,20285,25840,1,9,25,2064,5673779334,1603770936,true,109,397480648,RED STAR CUP
894,2151,0,481,301,81,511,4,0,16617,819,16,3,15879,17601,1,9,25,1962,5722895993,1606713292,true,109,139212407,The Crown Cup
873,16128,0,380,294,90,441,5,0,29407,737,2,6,27348,34637,1,9,25,2176,4995867963,1567159202,true,109,144819522,ASIA CHALLENGER LEAGUE
866,15653,0,330,199,86,358,17,0,28836,816,33,3,13199,30956,1,5,25,2133,3130183126,1492722508,true,109,55584590,CZ-SK Dota 2 League Season 9
863,12917,0,289,176,38,360,15,0,39079,779,6,4,22982,41605,1,0,26,2162,5324758237,1585628143,false,109,381836070,Asian DOTA2 Gold Occupation  Competition
861,7525,0,286,176,45,305,9,195,32218,603,5,8,32600,37395,1,10,25,2048,5140399405,1575438453,false,109,136266416,Asian DOTA2 Gold Occupation  Competition
849,14963,0,384,190,65,451,12,202,52354,821,8,4,23099,56898,1,10,27,2246,5348185232,1586594598,true,109,201809767,Masters  Tournament
829,10868,0,328,192,53,589,19,126,47384,806,12,4,31541,48490,1,15,28,3071,5652969586,1602434847,false,109,118074133,YouTube SIVVIT - Big Russian Show
828,15814,0,348,207,54,464,12,0,43150,803,14,3,27084,48185,1,19,27,2454,5561236975,1597049112,true,109,100594231,OMEGA League
824,16140,0,295,159,32,560,16,0,62217,832,7,3,26806,66952,1,11,29,3048,5675896037,1603902637,true,109,477425014,DIGI CUP MONTHLY
817,1732,0,272,198,68,403,13,0,46539,684,10,5,32131,54393,1,5,25,2358,4683152627,1556037533,false,109,160586530,IRAN Championship Competition - S2
815,6758,0,256,168,43,261,4,0,12820,541,19,7,21944,15103,1,3,24,1862,5155685754,1576403881,false,109,283503694,Asian DOTA2 Gold Occupation  Competition
814,15626,0,430,243,88,901,9,18,48294,940,13,3,25500,52226,2,10,25,3232,4502509926,1551956032,false,109,94004717,World Electronic Sports Games 2018-2019
803,14190,0,363,209,67,798,13,25,69123,975,7,3,58921,75903,1,12,28,3341,5792208865,1610972186,false,109,360648679,DPC Winter 21 League (SEA) presented by PGL
802,19905,1.43823,377,220,67,650,16,0,55343,948,15,6,42327,59254,1,8,27,2859,5692888070,1604852994,false,109,103910993,Epic League
800,15052,0,372,215,65,459,14,0,31074,880,4,3,18120,35719,1,14,25,2180,4167554734,1539471604,true,109,131706718,DOTA Summit 9
799,17516,1.60537,365,199,53,886,14,0,78373,1007,9,2,44202,80190,1,8,29,3298,5635946925,1601392734,false,109,185181822,FreeWin Invitational - Europe
799,13008,0,340,191,80,507,9,42,26295,699,1,7,38414,33467,1,3,26,2572,5270555624,1583125068,false,109,1058156584,Masters  Tournament
798,12669,0,315,191,72,332,6,0,17858,706,0,4,18340,23393,1,9,23,1940,5692010220,1604814461,true,109,981431954,Masters Tournament
798,1609,0,234,126,49,295,17,400,38561,661,26,4,18677,43563,1,4,25,2146,4158410930,1538983408,false,109,370371370,TNG League 1
796,1839,0,365,198,69,520,6,0,21825,752,11,3,20507,24153,1,2,25,2154,5550886262,1596474459,false,109,339235645,The Great American Rivalry
794,13680,0,350,218,73,544,7,0,31139,730,8,4,50523,35206,2,16,26,2598,5780883399,1610292244,false,109,325325909,DPC Winter 21 Qualifier (CIS) presented by ESL One
790,20984,38.5181,295,179,56,544,19,0,44022,776,31,8,49581,53949,2,5,25,3578,4797249268,1559230345,true,109,373488044,TNG League 1
784,19799,0,373,206,65,633,16,13,40833,886,27,1,20693,50354,1,7,25,2988,4759116001,1558094560,true,109,105248644,EPICENTER Major 2019
781,11052,0,305,150,59,409,15,0,42752,807,11,5,25750,47703,1,9,25,2638,4345380901,1547906624,true,109,235111454,E-SPORT LEAGUE-DICKYGAMING
781,4741,3.34482,401,236,89,812,13,0,68689,902,3,6,34451,75516,2,9,27,2829,5688687670,1604621975,false,109,452400903,Movistar Liga Pro Gaming Season 6
773,11179,1.76624,445,245,86,775,9,0,32798,935,2,3,18485,34438,1,3,26,2623,5451579520,1591183683,false,109,1044361136,World E-sports Legendary League
773,10880,0,329,178,66,512,9,0,41760,786,3,8,32189,45373,1,18,26,2507,5721233058,1606613433,false,109,164685175,Realms Collide - The Burning Darkness
772,11939,0,271,171,58,361,19,0,41246,821,6,2,21833,50254,1,8,25,2189,4209809228,1541688278,true,109,100311765,ESL India Premiership - Masters League
770,4624,0,282,153,59,651,18,0,69109,765,47,5,47754,79513,1,9,25,3425,3817860018,1522947959,false,109,114070719,CZ-SK Dota 2 League Season 10
764,25312,0,321,182,53,623,12,0,58183,905,6,2,52027,65246,1,11,27,2970,5689989580,1604696599,false,109,122049498,Monster Energy DOTA Summit 13 Online
764,15021,0,365,213,56,586,15,0,71483,777,3,7,67981,78848,2,11,28,3379,5395138070,1588540086,false,109,95825708,Realms Collide
764,11254,0,488,259,82,782,7,159,41893,992,14,5,20915,46826,1,4,25,2721,4335372956,1547539796,false,109,365351539,安博电竞杯中亚对抗赛
764,8845,0,300,181,45,415,22,0,41884,752,26,7,33150,52537,2,12,25,2665,4161722430,1539167784,true,109,299469779,E-SPORT LEAGUE-DICKYGAMING
764,3105,0,327,190,61,483,6,0,25295,666,7,7,34705,31753,1,6,25,2563,5671390215,1603622487,false,109,153727297,Monster Energy DOTA Summit 13 Online
760,16105,0,313,195,67,607,10,0,50570,799,6,8,58622,58867,1,21,27,3133,5550379926,1596455218,false,109,389022189,Moon Studio Asian League
758,13453,0,353,239,82,562,8,49,38735,858,24,4,31908,44873,1,10,25,2544,4337411473,1547621812,false,109,136177710,安博电竞杯中亚对抗赛
754,11012,3.51196,331,181,62,501,12,0,32738,751,6,4,18790,35256,1,5,25,2713,3439970621,1505225142,true,109,106204137,ProDotA Cup by Azubu
754,10064,0,219,141,52,350,24,0,54304,682,17,5,39399,62882,2,19,25,2770,3701779425,1517036561,true,109,196813596,Dota2 Asia Championships 2018
752,12072,0,289,184,63,604,13,265,46393,797,11,6,40501,50338,1,6,25,3235,4259657285,1544216636,false,109,122049498,joinDOTA League #14
750,1997,0,280,168,64,437,4,320,19124,666,3,6,24315,23386,1,9,25,2542,4149888034,1538561287,false,109,108382060,World Electronic Sports Games 2018-2019
749,8379,0,320,200,83,439,8,0,35483,696,23,5,27819,37238,1,16,25,2380,5735314498,1607512644,false,109,132309493,BTS Dota 2 Online
748,18421,0,395,211,82,721,16,0,82728,879,8,9,77612,85394,2,7,29,3364,5336349194,1586101829,true,109,874703421,EGB Isolation Cup
748,11805,0,298,147,48,376,11,0,21335,735,6,1,14903,23578,1,14,25,2230,4236870428,1543063298,true,109,321563730,Meister Division 2019
742,4017,0,262,134,58,854,13,91,49176,872,27,6,23843,56308,1,15,25,3752,4172942957,1539774246,false,109,194792424,"ABOY PRO GAMING LEAGUE "
739,12008,0,265,160,69,371,14,0,41506,694,13,4,22311,45427,1,21,25,2428,4566270506,1553351803,true,109,312583615,Meister Division 2019
739,6523,3.51953,350,222,80,706,18,0,35961,704,29,5,32512,41688,2,13,25,4058,3846925965,1524470854,false,109,282359850,GESC: Thailand
738,6551,0,235,133,48,420,10,110,37250,731,21,6,24297,42021,1,7,25,2590,4163002541,1539243908,false,109,182325064,Asian Dota2 League
738,3376,0,303,170,56,540,10,0,27700,753,8,2,20577,34725,2,8,25,2809,4184879768,1540403716,false,109,100594231,ESL One Hamburg 2018 powered by Intel
737,14127,0,286,174,48,562,12,0,37686,775,13,4,16605,38192,1,15,25,2952,4250391418,1543736067,true,109,199222238,VARENA赛事
737,10899,3.51953,353,221,65,830,19,0,60829,845,15,4,48819,73592,1,8,25,3876,4206368304,1541499212,false,109,206960035,AEF Dota 2 Pro League Season 1
736,2866,0,232,122,38,376,12,0,30958,657,12,10,24556,35747,1,10,25,2461,4166110196,1539414187,false,109,397574220,DOTA Summit 9
734,5621,0,387,219,86,591,5,0,16034,697,0,2,8752,16707,1,1,25,2425,5187503507,1578404884,false,109,1032760693,ASIA CHALLENGER LEAGUE
733,521,0,236,151,57,286,6,0,21167,564,16,3,21764,26461,1,7,24,2085,3631031732,1513796791,false,109,110605738,SL i-League Invitational Season 4
731,9904,0,271,189,56,294,10,0,42012,688,17,4,22605,44272,1,9,24,2119,4666040772,1555604213,true,109,241519559,Adrenaline Cyber League
730,16671,12.0393,362,228,78,747,15,0,47141,975,8,5,56501,50920,1,6,28,2856,5361229674,1587123464,false,109,471575591,Oceanic Esports Dota League
730,11889,0,207,132,64,436,12,0,27825,672,14,5,28862,33698,1,8,25,2886,3493835843,1507631085,true,109,89001276,AEF Season 2
730,11129,0,333,206,66,443,8,0,30207,732,13,6,24761,34548,1,16,25,2394,5567592049,1597415713,true,109,145610818,ESL One Thailand 2020 Online powered by Intel
729,27768,0,362,256,94,600,8,23,36022,811,6,1,41920,40087,1,8,27,2795,5428599341,1590117761,true,109,181563525,Dota SEA Invitational 2020
729,16668,0,332,172,48,553,12,0,25315,759,13,5,23658,26755,1,5,26,2628,5421668939,1589749904,false,109,346091339,Copa Dota 2 Brasil
729,4865,0,335,212,71,485,6,0,23897,747,22,2,26024,26972,1,11,25,2466,3549145408,1510087811,false,109,177411785,The Summit 5
728,12321,1.271,344,206,54,630,15,0,49025,850,16,5,29739,60084,2,10,25,2952,4270247935,1544794255,true,109,277742444,Chinese Dota2 Winter Cup
726,12374,0,338,206,68,527,10,0,39850,816,32,2,15686,44028,1,18,25,2634,4198973282,1541139214,true,109,104611628,gladiator-cup
726,8221,0,343,174,67,515,11,0,49589,703,9,4,28487,52883,1,11,25,2731,5114095724,1573837858,false,109,168385950,Parimatch League Season 1
723,21581,0,367,197,72,515,7,0,21694,798,12,4,22957,24125,1,12,25,2431,5703335135,1605511735,true,109,356343152,Perfect World League
723,12386,1.50513,313,183,67,1110,11,0,107937,1002,11,6,62194,118437,1,11,29,4185,5688161195,1604590426,false,109,152545459,Monster Energy DOTA Summit 13 Online
723,6139,0,381,219,75,595,6,0,28250,765,7,3,28957,31961,1,7,25,2529,5641236669,1601731045,false,109,20603135,Sazka eLEAGUE - Split2
723,3878,0,182,109,49,227,13,104,47186,568,21,11,38088,52346,2,13,25,2325,3842533052,1524249414,false,109,124604563,ProDotA Cup Series
722,20481,0,383,197,53,633,16,308,53632,933,17,2,26388,57267,1,14,25,2743,4714797766,1556869270,true,109,841647310,IRAN Championship Competition - S2
722,3905,0,350,215,64,513,8,21,25306,781,32,4,15613,27342,1,3,25,2468,4531265898,1552579202,false,109,86745912,DreamLeague Season 11
720,11739,0,168,90,39,329,15,588,37049,647,13,6,33830,43949,2,20,25,2852,4409607383,1549816167,false,109,5311693,Indonesian FlaroxSIS League (IFL)
718,18823,0,389,223,81,975,12,0,57899,1012,8,3,29019,61037,1,10,29,3654,5699114560,1605267737,true,109,181092754,CDA-FDC富名文贺DOTA2职业锦标赛
717,19119,0,323,193,60,604,7,0,36760,843,8,3,56918,43984,1,15,28,2936,5509513250,1594540799,true,109,137272985,2020 DPL-CDA S2 中国DOTA2职业联赛S2
717,7863,0,197,132,47,643,21,0,58831,778,1,10,33776,68858,1,10,25,3527,4126994214,1537405584,false,109,94364925,The Kuala Lumpur Major
717,7022,0.501592,368,229,70,622,12,0,40448,815,9,5,25648,45279,1,14,26,2817,5796432475,1611244259,false,109,175463659,DPC Winter 21 League (EEU) presented by ESL One
716,3723,0,325,191,67,446,7,0,18218,659,13,6,16760,25149,1,6,25,2478,4170159937,1539608184,false,109,397574220,Flame Cup
715,7928,0,260,157,65,268,11,0,24061,554,8,5,25281,31363,1,9,23,1929,5318478445,1585376507,true,109,381836070,Asian DOTA2 Gold Occupation  Competition
714,4208,0,345,188,70,535,13,0,32312,793,17,4,27405,35175,1,3,25,2479,4610937568,1554387295,false,109,446624286,CHINA FUTURE  CUP
713,15390,5.87212,395,216,77,812,10,0,56297,873,5,3,50675,59907,2,7,27,3319,5706837447,1605741776,false,109,119315361,Realms Collide - The Burning Darkness
713,11693,15.1183,325,231,58,404,13,0,28752,651,20,6,38219,34768,1,9,25,2485,4786397675,1558880526,true,109,354095441,YouTube SIVVIT - Big Russian Show
713,9159,0,329,209,89,665,15,0,58523,817,4,5,39891,64729,1,9,28,3310,5629904642,1601037360,false,109,150748346,ESL One Germany 2020 Online powered by Intel
713,8741,0,460,248,87,693,6,0,25439,835,24,3,21234,28724,1,3,26,2707,5393796640,1588495091,false,109,898754153,AMD SAPPHIRE OGA DOTA PIT CHINA Region
713,7284,0,282,156,42,418,14,56,39101,633,23,5,27760,41451,1,15,25,2751,4276046111,1545066648,false,109,188409855,E-SPORT LEAGUE-DICKYGAMING
713,4831,0,297,183,62,488,11,0,24215,719,11,6,24236,24845,1,13,25,2460,5626228299,1600790868,false,109,177203952,ESL One Germany 2020 Online powered by Intel
713,4411,3.17749,353,227,54,514,9,14,38927,737,6,8,39089,41630,1,5,26,2605,5722606506,1606684807,false,109,452400903,Realms Collide - The Burning Darkness
712,17999,8.26162,384,235,75,528,6,0,17940,834,8,2,19873,19922,1,13,25,2409,5848621075,1613914216,true,109,193564777,META'21 Open. Winter
712,12524,7.02393,286,176,53,588,6,0,24568,715,7,3,18416,26276,1,16,25,3159,4190168861,1540663541,true,109,116881520,Autumn Cup
712,1903,0,308,179,65,476,14,0,29290,732,7,4,21467,33098,1,8,25,2456,4214212341,1541916071,false,109,137193239,The Kuala Lumpur Major
711,15416,0,329,163,88,421,10,22,28177,834,8,4,17493,33405,1,15,24,2253,3020162435,1488027305,true,109,130416036,SL i-League StarSeries S3
711,14456,0,284,141,65,686,18,0,70162,794,4,4,35516,82667,3,21,25,3468,3631550859,1513826991,true,109,94004717,SL i-League Invitational Season 4
711,7476,0,346,175,55,518,13,393,40807,755,8,1,33939,45901,1,4,26,2566,5188306129,1578463427,false,109,149486894,中国DOTA2职业联赛
711,4869,0,280,147,54,561,13,0,39606,677,23,7,38404,50081,3,14,25,3631,3848393534,1524554873,false,109,110759067,CHINA DOTA2 SUPER MAJOR
711,4772,18.5796,349,207,83,803,16,0,33803,828,17,5,26321,38688,1,7,25,3318,3493511995,1507615545,false,109,373520478,Dota 2 Professional League 2016
711,3768,0,365,221,73,383,8,0,32849,689,9,4,14049,34092,1,5,24,2112,4322880764,1547017725,false,109,231622898,challenge cup
711,1659,0,291,148,52,455,6,0,32956,721,13,7,16648,36478,1,5,25,2314,4171401815,1539684025,false,109,362653751,joinDOTA League #14
710,17771,-0.0369336,276,166,73,614,18,92,51930,829,16,3,36864,57154,1,16,25,3693,3165602911,1494252026,true,109,132739889,EPICENTER: Moscow Season 2
710,14800,0,374,221,61,636,13,0,55732,802,8,5,47318,61992,1,11,26,2966,5692025522,1604815398,false,109,424549572,Wild Freedom CUP
710,7122,0,331,166,74,353,7,0,13081,756,13,4,11130,19899,1,12,21,1967,2034927194,1451265748,true,109,105178768,Dota Pit League Season Four
710,3560,4.71611,347,205,53,647,9,0,29206,784,6,8,30004,30436,1,3,27,2976,5643710313,1601877604,false,109,898754153,AMD SAPPHIRE OGA DOTA PIT CHINA
709,6912,0,202,116,45,453,12,400,46079,642,12,9,41138,55894,2,29,25,3016,4345233796,1547903868,false,109,341748692,Meister Division 2019
709,5076,0,239,135,71,300,10,0,28382,691,25,8,24683,35216,1,9,24,2321,3055471230,1489519003,true,109,92404683,CZ-SK Dota 2 League Season 9
708,19759,0,431,243,81,718,1,0,18514,859,10,2,15972,21945,1,8,26,2660,5500156568,1593947523,true,109,898754153,2020 DPL-CDA S2 中国DOTA2职业联赛S2
708,19721,0,347,195,74,514,12,0,28885,874,12,4,27946,31596,1,6,25,2409,4312456160,1546582615,true,109,139280377,MDL Macau
708,11810,0,282,166,52,406,12,0,35906,687,6,8,28721,40169,1,11,25,2668,5560994038,1597032401,false,109,116080282,The Great American Rivalry
708,9141,0,309,186,52,663,12,0,48347,729,11,5,31115,55875,2,25,25,3467,4209462795,1541675549,false,109,137530209,ACER PREDATOR LEAGUE 2019 | INDIA QUALIFIERS
707,9275,6.62246,452,273,71,685,8,0,42349,790,1,2,23535,42349,1,10,26,2877,5779165221,1610204081,false,109,195108598,DPC Winter 21 Qualifier (CIS) presented by ESL One
706,26110,10.7364,358,229,72,430,5,0,16954,775,1,1,16611,18514,1,7,23,2160,5419993028,1589694858,true,109,323845738,Dota SEA Invitational 2020
705,18628,0,330,212,62,643,16,0,40394,807,28,6,48340,43390,2,15,28,3208,5575353308,1597848721,false,109,192981126,Glory of the summer
705,17859,0.066875,290,182,75,780,6,122,37190,836,8,7,52948,46758,1,13,25,3992,3173158138,1494585527,true,109,256269737,ProDotA Cup Series by Azubu.tv
705,15894,0,287,158,58,490,10,0,34138,785,0,6,27645,37375,1,16,25,2626,4202692117,1541311640,true,109,181092754,VARENA赛事
705,13530,0,380,216,88,601,6,184,39640,767,5,6,33715,48360,1,11,26,2859,5498533184,1593857381,true,109,136177710,2020 DPL-CDA S2 中国DOTA2职业联赛S2
705,4893,0,370,212,54,749,9,0,28919,856,15,5,34199,28919,2,7,26,3024,5736398319,1607587101,false,109,277141004,AMD SAPPHIRE OGA DOTA PIT CHINA
705,3374,0,381,234,73,661,9,4,37882,788,13,3,39037,39123,1,8,27,2999,5739317880,1607779181,false,109,110837826,虎牙DOTA2冬季邀请赛
704,1540,0,272,147,58,334,11,11,28761,647,4,8,23442,32576,1,2,25,2380,3173006506,1494579728,false,109,119939006,ProDotA Cup Series by Azubu.tv
703,14975,0,376,220,70,618,9,0,56413,811,2,4,59032,61512,1,9,27,2856,5622460481,1600578068,false,109,320252024,IMBA!中国DOTA2职业杯
702,13990,9.64688,389,219,74,894,13,156,67004,893,11,5,51756,67834,1,14,25,3878,4800864065,1559350991,false,109,146485028,Tug of War: Dire
702,1965,12.1076,353,196,68,695,8,0,77049,791,10,4,49848,86492,1,10,28,3287,5688030271,1604585218,false,109,181716137,Monster Energy DOTA Summit 13 Online
701,19263,0,298,173,69,758,20,70,61828,937,7,2,43429,72223,1,9,25,3291,4390104060,1549285928,true,109,105248644,DreamLeague Season 11
701,9482,0,396,226,66,576,8,483,29044,725,12,2,14444,31511,1,8,25,2530,4980541717,1566467407,true,109,125581247,The International 2019
701,5352,0,248,114,47,362,11,0,49541,662,11,13,32604,54093,1,8,25,2428,4255988664,1544021817,false,109,361564937,E-SPORT LEAGUE-DICKYGAMING
700,14425,0,413,233,64,720,9,0,46731,876,19,3,24509,54903,1,5,25,3031,4165073662,1539354620,true,109,389033587,IESPL Tokopedia Battle of Friday
700,6138,0,234,131,41,484,16,9,48980,593,17,7,40471,66571,3,13,25,3602,4234969997,1542980140,false,109,244173393,Meister Division 2019
699,20692,0,388,230,81,601,13,0,45531,830,35,4,26227,46448,1,8,25,2932,4950777353,1565093474,false,109,99155835,Loot.bet/dota Season 1
699,12409,2.1,291,176,58,559,19,0,52146,802,12,8,44610,57419,1,15,28,3010,5563501495,1597169040,true,109,94004717,ESL One Thailand 2020 Online powered by Intel
