xp_per_min,tower_damage,stuns,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,buybacks,assists,level,duration,match_id,start_time,win,hero_id,account_id,leaguename
1088,5308,42.4065,379,255,98,587,7,0,44620,718,9,5,34474,44620,1,8,30,2840,5297062182,1584424712,false,19,1064197815,Asia Challenger league
1044,1344,48.6423,369,215,60,531,7,0,29183,708,10,5,33683,29183,1,6,29,2397,5151401280,1576140042,false,19,998096014,ASIA CHALLENGER LEAGUE
1033,3009,44.478,275,193,88,319,17,0,32803,674,5,6,25497,32803,1,5,28,2074,5131511139,1574920409,false,19,1009991723,Asian DOTA2 Gold Occupation  Competition
1028,3188,53.8759,261,156,54,301,14,110,42576,585,3,7,28815,42576,2,12,25,2133,5011867656,1567920296,false,19,155707532,ASIA CHALLENGER LEAGUE
1010,14385,109.9,187,119,51,308,24,0,73113,691,13,3,48273,73113,2,22,30,2548,5151312214,1576132890,true,19,377420354,Asian DOTA2 Gold Occupation  Competition
1003,9320,76.5387,343,203,90,590,22,0,66407,762,7,7,41311,66407,2,7,30,3159,5268553780,1583034720,true,19,1064197815,Masters  Tournament
1002,9868,40.6711,363,207,92,531,11,0,34918,767,28,2,31399,34918,1,6,29,2392,5152675763,1576229882,false,19,1021364524,Masters  Tournament
994,305,52.3996,431,242,78,481,16,0,32991,742,10,6,36259,32991,1,3,29,2120,5167241115,1577169105,false,19,1029387987,Masters  Tournament
987,13553,85.3941,335,213,90,480,10,0,33130,742,7,3,20017,33130,1,13,29,2484,5206614587,1579676072,true,19,1054909810,Masters  Tournament
953,1779,93.8363,186,87,38,247,18,270,46799,627,16,10,31296,46799,1,12,25,2479,5080211070,1571717330,false,19,136266416,RED STAR CUP
945,1043,90.1994,122,91,55,140,21,125,43567,573,0,3,23469,43567,1,15,26,2099,5678296789,1604057411,false,19,204281778,Asian DOTA2 Gold Occupation  Competition
939,3437,46.6444,385,235,109,401,6,0,24340,626,13,4,36377,24340,1,5,26,2217,5172631839,1577515299,false,19,161042969,Masters  Tournament
936,17240,81.8824,346,241,84,542,10,0,56992,756,2,6,58324,56992,1,13,30,2987,5135487183,1575132677,true,19,881188020,ASIA CHALLENGER LEAGUE
934,11815,88.2172,373,258,97,536,12,0,45522,737,3,4,40440,45522,1,11,29,2929,5273739936,1583292854,true,19,298103127,Masters  Tournament
934,1062,70.2424,174,74,6,372,15,0,43121,623,4,9,38123,43121,1,6,30,2996,5232686819,1581164930,false,19,481303474,ASIA CHALLENGER LEAGUE
931,14856,64.4668,281,200,94,382,13,0,46688,704,0,5,39548,46688,1,10,29,2339,5196819862,1579013149,true,19,1054531985,ASIA CHALLENGER LEAGUE
929,6679,43.9361,331,194,65,357,13,0,23449,649,7,4,26542,23449,1,7,26,2023,5165904667,1577080119,false,19,167584799,Masters  Tournament
929,5303,42.7164,330,212,119,501,5,0,24504,623,4,7,47154,24504,1,6,28,2798,5219285648,1580456896,false,19,1055750486,Masters  Tournament
924,2093,74.9889,169,117,39,175,8,125,20560,529,3,7,23829,20560,1,19,24,1808,5594776794,1598937930,true,19,877281328,Masters  Tournament
909,53,69.265,39,11,7,46,8,0,17542,374,0,6,20037,17542,1,15,25,1905,5670949968,1603597491,true,19,377420354,RED STAR CUP
906,3605,94.7122,166,110,51,277,20,335,54818,580,5,4,31294,54818,1,19,25,2802,4931144318,1564304917,true,19,204281778,Asian DOTA2 Gold Occupation Invitational Competition S2
906,0,117.938,63,31,14,63,17,0,30957,425,1,2,16851,30957,1,17,25,2016,5715780042,1606292778,false,19,117893901,RED STAR CUP
896,9694,41.1866,414,265,91,558,5,0,24706,689,2,4,34086,24706,1,6,28,2632,5167147231,1577161654,false,19,203980597,Masters  Tournament
