xp_per_min,tower_damage,stuns,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,buybacks,assists,level,duration,match_id,start_time,win,hero_id,account_id,leaguename
1439,7739,70.8493,301,176,76,804,17,400,65817,880,13,6,58911,65817,2,8,30,3715,5129363731,1574795110,true,95,86131091,Campeonato Brasileiro de Dota 2
1010,8970,64.0914,333,191,66,389,18,0,58567,726,24,4,70535,58567,1,9,25,2585,4772018532,1558453005,false,95,392565237,"ABOY PRO GAMING LEAGUE "
1002,11158,138.461,408,244,58,922,18,0,124267,934,2,8,79020,124267,1,15,30,3847,5331201578,1585908924,true,95,1055998509,Masters  Tournament
997,10928,63.3109,217,142,53,236,27,0,70357,744,19,5,26369,70357,1,6,29,2055,5187169674,1578388626,true,95,385763597,RED STAR CUP
993,2790,12.0161,325,171,50,325,7,0,15758,681,18,6,17597,15758,1,5,25,1821,5302545716,1584681267,false,95,1054951211,Asia Challenger league
983,6731,77.4185,435,231,73,992,11,0,52188,963,56,3,30453,52188,1,3,30,3582,5132301823,1574958228,false,95,167584799,ASIA CHALLENGER LEAGUE
966,5496,18.4667,261,180,63,312,19,0,43039,661,28,4,34083,43039,1,12,25,2208,4695526312,1556375872,false,95,206967833,Bishkek Stars League #8
965,13515,10.9311,391,242,73,470,7,0,25973,763,13,6,23261,25973,1,12,25,2301,5073006699,1571306506,true,95,167584799,ASIA CHALLENGER LEAGUE
959,7179,47.2731,364,200,55,536,13,0,48379,788,4,3,41344,48379,1,6,28,2458,5341713652,1586337968,false,95,167584799,Masters  Tournament
950,6825,30.1592,336,179,46,645,12,0,25830,717,7,6,41085,25830,1,1,30,3047,5162989395,1576908690,false,95,1029387987,Masters  Tournament
943,1421,12.8532,274,180,69,312,16,0,32795,597,0,5,35374,32795,1,3,27,2200,5219432833,1580464219,false,95,167584799,Masters  Tournament
941,14830,91.7626,308,175,54,492,21,0,74774,791,11,3,54995,74774,1,12,30,2978,5582968579,1598278647,true,95,103910993,Glory of the summer
940,14761,33.4756,334,185,72,350,15,0,32977,851,27,2,23483,32977,1,11,25,1910,4863121162,1561435267,true,95,995062523,Asian DOTA2 Gold Occupation Invitational Competition S2
934,8222,32.7038,321,187,82,355,12,0,33016,715,6,5,30048,33016,1,5,26,2081,5729304841,1607138552,false,95,1009469896,The Crown Cup
931,4480,41.6081,417,233,83,1107,13,0,37283,944,25,4,29666,37283,1,6,25,4024,5130078062,1574843518,false,95,1032760693,ASIA CHALLENGER LEAGUE
929,5384,27.3163,374,224,70,406,11,0,25985,787,20,4,17317,25985,1,8,26,1994,5516314594,1594874184,true,95,136427601,Asia Challenger league
929,5339,32.6764,274,160,53,276,10,0,37869,613,2,9,40164,37869,1,20,25,1839,5193879663,1578818491,false,95,158659942,RED STAR CUP
924,11251,38.0008,372,206,74,504,14,0,25847,765,7,3,32891,25847,1,4,27,2271,5196464013,1578994354,false,95,1025925850,ASIA CHALLENGER LEAGUE
924,8343,15.9072,223,173,65,232,20,0,34478,755,11,4,19109,34478,1,5,25,2107,2726497195,1477123133,true,95,158571074,DafaeSports Indonesia Series Presented by Eternal Gaming
924,1615,56.0492,462,241,70,664,10,0,30992,766,15,2,28903,30992,1,2,28,2354,5250720223,1582127025,false,95,1056816962,Asia Challenger league
918,4521,28.3516,304,221,78,405,7,0,23061,640,10,6,31218,23061,1,4,26,2335,5254963168,1582360548,false,95,1066742392,Asia Challenger league
918,2682,16.5073,272,185,69,335,9,0,33828,699,8,8,28095,33828,1,5,25,2280,4950440552,1565080892,false,95,204281778,Asian DOTA2 Gold Occupation Invitational Competition S3
918,1558,26.0131,364,185,44,497,6,0,24118,709,10,3,27141,24118,1,6,26,2291,5746769626,1608279185,false,95,196251251,MESA Pro Series #1
916,5152,22.0374,266,184,51,266,11,0,32899,664,5,4,28825,32899,1,8,24,1804,5661400644,1602992817,false,95,244058707,RED STAR CUP
910,4596,20.6693,279,137,72,282,11,0,27357,637,8,5,21213,27357,1,3,24,1871,5443421445,1590820103,false,95,201809767,Asia Challenger league
908,9189,15.5652,329,173,56,606,14,0,53549,793,5,7,42285,53549,1,7,30,2910,5274016248,1583310162,true,95,1067318400,Masters  Tournament
900,5245,27.7572,325,198,61,474,8,0,35902,613,38,5,48997,35902,1,8,26,2963,5426469732,1589996310,false,95,113995822,AMD SAPPHIRE OGA DOTA PIT EU/CIS Region
893,12531,11.1193,317,219,58,318,8,0,18391,684,8,3,24353,18391,1,8,24,1877,5591511509,1598760762,false,95,877281328,Masters  Tournament
886,10564,25.1552,359,201,56,692,17,0,62003,906,2,5,38481,62003,1,12,30,3194,5319027833,1585396453,true,95,1051198481,Masters  Tournament
885,7307,42.2321,368,204,67,691,8,0,31380,784,21,6,46291,31380,1,7,27,3084,5692293171,1604829085,false,95,180012313,The Nationals - Season 2 Playoffs
884,2104,29.1856,356,215,78,434,8,0,29468,666,4,4,27815,29468,1,11,26,2278,5278998836,1583565157,false,95,1032760693,Masters  Tournament
883,10426,17.0045,285,156,55,389,11,0,26707,732,4,7,24725,26707,1,7,26,2233,5350895916,1586690889,true,95,167584799,Masters  Tournament
874,2004,35.0882,296,190,76,377,4,0,21799,604,15,7,36056,21799,1,10,27,2332,5153740627,1576294161,false,95,167584799,Masters  Tournament
872,6153,29.1409,325,220,75,392,8,0,22507,657,4,4,25551,22507,1,10,26,2279,5625398026,1600745753,false,95,140571204,Asia Challenger league
871,1023,16.6157,337,167,72,337,12,0,17044,668,5,6,19860,17044,1,3,24,1892,5685042481,1604405973,false,95,158659942,Asian DOTA2 Gold Occupation  Competition
870,8201,44.016,271,116,50,357,9,0,27951,629,3,8,35472,27951,1,8,26,2490,5260161839,1582605712,true,95,1009991723,RED STAR CUP
867,12822,68.8712,279,183,65,353,16,0,46075,760,20,5,31435,46075,1,16,27,2233,5567939653,1597429676,true,95,103910993,Glory of the summer
865,25386,163.27,311,195,60,1058,23,0,65175,924,29,8,68664,65175,4,17,30,5388,5535399269,1595693243,false,95,167976729,Time of Bet Dota 2 Cup
860,16571,27.9596,214,137,49,224,10,0,26429,634,6,4,24099,26429,1,15,24,1907,5258502271,1582524028,true,95,1036577559,RED STAR CUP
860,4098,78.0531,411,219,69,814,10,0,86045,890,13,6,98313,86045,2,7,30,3621,5650547948,1602301866,false,95,238028541,4D ESPORTS
857,10025,28.7843,322,199,108,370,11,0,32214,669,1,2,23473,32214,1,9,27,2237,5295148562,1584329853,true,95,1069729658,Asia Challenger league
857,5701,16.5396,293,184,52,332,15,0,34572,717,9,5,24084,34572,1,13,25,2167,4648430256,1555174896,true,95,131276351,MT League
857,2334,28.9838,368,198,65,555,12,0,36311,684,9,3,29194,36311,1,6,29,2582,5293117655,1584243184,false,95,1051198481,Asia Challenger league
856,3338,21.3876,364,228,88,526,8,0,32578,675,5,6,38465,32578,1,4,28,2711,5282809759,1583735147,false,95,1067318400,Masters  Tournament
855,22642,70.1844,260,171,62,431,17,0,48531,734,17,5,28198,48531,1,13,28,2762,5454580912,1591337096,true,95,96429099,ONE Esports Dota 2 SEA League
854,4221,16.6857,328,190,58,432,12,0,31275,770,8,2,29084,31275,1,4,25,2259,4561861834,1553263342,false,95,312583615,Meister Division 2019
853,2103,31.8873,212,144,54,239,11,0,24222,582,32,3,20650,24222,1,6,25,2000,4347881260,1547985188,false,95,269827348,YouTube SIVVIT - Big Russian Show
851,4956,45.4777,203,129,45,244,14,0,36330,583,16,7,37700,36330,1,13,27,2216,5224891787,1580738724,true,95,1015445985,Asian DOTA2 Gold Occupation  Competition
850,18992,53.0749,337,200,77,525,12,0,35384,797,23,2,36268,35384,1,11,28,2730,5416071104,1589525978,true,95,129683931,Vulcan Champions League II
849,4218,9.28464,172,122,40,181,25,0,27377,743,6,5,15215,32743,1,10,22,1887,2503942537,1468511211,true,95,157439734,ESL India Premiership - Season One
844,19943,51.8698,353,197,66,618,11,0,42700,666,16,7,38451,42700,1,16,30,3847,5275410364,1583382765,true,95,337575662,Hainan Master Spring Invitational
844,7914,36.6787,309,191,59,445,7,0,53111,710,12,6,41065,53111,1,3,27,2371,5261745844,1582688402,false,95,1009991723,RED STAR CUP
842,686,7.81433,291,156,41,317,9,0,17073,661,18,4,17369,17073,1,8,24,2008,5790849770,1610886957,false,95,285188942,YouTube SIVVIT - Big Russian Show
841,7288,9.67982,303,158,63,355,10,0,22384,659,3,5,15957,22384,1,7,25,2075,5434100906,1590384455,true,95,854385793,Asia Challenger league
841,4638,6.98738,369,224,57,563,7,0,14681,706,4,4,25705,14681,1,10,26,2481,5472649528,1592244661,false,95,193564777,ROG Community Cup Season 2
