xp_per_min,tower_damage,stuns,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,buybacks,assists,level,duration,match_id,start_time,win,hero_id,account_id,leaguename
1063,1078,35.6669,215,144,57,220,17,1221,44687,696,20,8,25346,44687,1,4,25,1850,4958142949,1565420540,false,47,244058707,Asian DOTA2 Gold Occupation Invitational Competition S3
1007,15779,0,262,208,123,302,13,0,36598,618,7,6,26355,36598,1,20,27,2301,5195372233,1578915513,true,47,1032768189,ASIA CHALLENGER LEAGUE
987,6911,7.05735,173,88,30,231,19,0,73054,558,27,11,33635,73054,1,27,28,2596,5144476754,1575694571,true,47,204281778,Asian DOTA2 Gold Occupation  Competition
983,2320,0,173,143,54,184,21,0,37333,558,13,8,17785,37481,1,9,26,1962,5133077722,1575017329,false,47,1009894221,Asian DOTA2 Gold Occupation  Competition
909,1406,0,244,148,46,279,14,360,28433,559,18,6,15693,28433,1,4,27,2186,5199872076,1579237373,false,47,150588364,Masters  Tournament
894,1198,44.5595,247,155,60,398,13,4302,29475,647,2,7,29530,29475,1,14,25,2754,5101392772,1573017380,false,47,141250669,Masters  Tournament
887,4365,0,199,132,57,285,15,0,62207,553,32,8,32333,65045,1,14,26,2643,5160579327,1576747308,false,47,158659942,Asian DOTA2 Gold Occupation  Competition
886,93,33.6777,245,154,77,270,9,2698,31967,603,10,5,23431,31967,1,6,25,2056,4582914367,1553767202,false,47,177804322,AEF DPL S2
884,5922,0,277,151,54,457,14,0,51022,614,49,6,27628,51022,2,16,28,2912,5160629577,1576750881,true,47,136266416,Asian DOTA2 Gold Occupation  Competition
869,10596,7.07837,370,224,98,736,13,0,57464,785,4,5,36586,57464,1,12,30,3643,5177289861,1577786027,true,47,1054531985,ASIA CHALLENGER LEAGUE
864,1975,0,221,101,20,264,7,0,40403,538,14,16,27790,40403,2,19,25,2221,5185783463,1578298536,false,47,1009882497,RED STAR CUP
863,3894,0,217,125,52,249,12,0,41260,520,18,10,28961,41260,1,19,25,2359,5184114581,1578198795,false,47,399155036,RED STAR CUP
858,1446,0,251,178,76,279,9,0,30720,569,7,3,16335,30720,1,14,26,2149,5612203613,1599967145,true,47,998096014,Masters  Tournament
835,2372,47.257,242,114,44,510,10,0,38187,665,18,12,34711,38187,1,12,25,3318,5113191732,1573785396,false,47,372189566,ASIA CHALLENGER LEAGUE
834,670,0,220,145,72,244,12,0,44596,542,6,8,30464,44596,1,10,27,2263,5683115084,1604291811,false,47,277121156,Masters Tournament
