xp_per_min,tower_damage,stuns,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,buybacks,assists,level,duration,match_id,start_time,win,hero_id,account_id,leaguename
1062,844,15.1851,179,125,63,202,26,125,66522,661,8,6,28417,66522,1,6,27,2202,5655948311,1602648223,false,126,158659942,RED STAR CUP
1015,1230,13.103,224,139,65,224,14,0,39341,644,18,4,29354,39341,1,11,25,1857,5337480345,1586153364,false,126,1009744623,Asian DOTA2 Gold Occupation  Competition
928,55,4.53589,85,63,9,85,18,0,32478,484,5,10,30749,32478,1,19,26,2125,5728077324,1607061657,true,126,144862244,The Crown Cup
923,176,0,127,102,48,144,13,0,36410,493,4,9,24095,36410,1,12,25,1919,5475925046,1592456039,false,126,868787608,RED STAR CUP
909,3029,47.8147,203,141,56,217,17,0,43712,564,6,8,25720,43712,1,11,27,2226,5230565274,1581062179,true,126,286428848,RED STAR CUP
900,1229,15.0996,205,122,55,207,14,160,35291,600,7,1,18498,35291,1,18,25,1912,5807222310,1611856856,true,126,55649904,Snow Sweet Snow #1
895,999,2.50854,241,174,61,492,16,0,54716,657,3,7,35114,54716,1,8,30,3311,5214550093,1580179088,true,126,372189566,Masters  Tournament
893,1351,10.0918,155,96,47,229,12,0,32016,549,5,5,27801,32016,1,18,28,2763,5750348619,1608467827,false,126,218476207,YouTube SIVVIT - Big Russian Show
886,2479,22.5684,138,73,47,175,18,0,40956,575,7,4,25137,40956,1,24,27,2246,5584988119,1598393404,true,126,197574429,OMEGA League
885,880,17.584,222,123,33,270,17,0,33739,581,4,6,29729,33739,1,5,25,2029,5231540655,1581101661,false,126,980766567,Dotabuff Reach - Pinnacle Division
881,1823,14.5979,183,143,48,195,20,65,40367,540,12,6,21417,40367,1,16,25,2161,5420241930,1589704316,true,126,372105535,Dota SEA Invitational 2020
870,449,2.50854,239,156,68,425,25,125,62073,685,12,6,37119,62747,1,9,30,3051,5827661430,1612975287,false,126,329459976,DIGI CUP MONTHLY
870,247,27.6665,142,99,44,145,9,250,21495,484,24,6,19604,21495,1,21,24,1877,5485870038,1593078597,true,126,113457795,ONE Esports Dota 2 SEA League
861,2435,15.0513,165,117,53,166,10,125,24649,539,13,3,14306,24649,1,22,24,1844,5477815840,1592570732,true,126,104963314,ONE Esports Dota 2 SEA League
