xp_per_min,tower_damage,stuns,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,buybacks,assists,level,duration,match_id,start_time,win,hero_id,account_id,leaguename
1020,690,85.598,238,156,68,304,19,0,43236,728,6,2,18930,43236,1,13,25,2176,4995867963,1567159202,true,21,993068824,ASIA CHALLENGER LEAGUE
1002,1643,105.758,185,108,44,259,28,0,67750,696,6,7,28909,67750,1,16,25,2545,5107210389,1573377212,true,21,417663640,Asian DOTA2 Gold Occupation  Competition
988,1825,29.9925,259,165,62,292,18,0,40497,687,14,7,19533,40497,1,8,27,1977,5176963024,1577763404,false,21,1014766785,RED STAR CUP
984,366,78.0961,224,136,62,351,24,0,55504,655,16,6,27650,55504,1,16,25,2908,5008195896,1567748832,false,21,377420354,Asian DOTA2 Gold Occupation Invitational Competition S3
948,3648,100.014,143,103,53,208,28,0,55886,657,18,8,26647,55886,1,15,25,2570,4935182858,1564467645,true,21,132315437,Asian DOTA2 Gold Occupation Invitational Competition S2
933,634,64.788,168,101,53,264,16,375,39522,568,15,9,35174,39522,1,17,25,2843,5047455146,1569819537,false,21,204281778,Asian DOTA2 Gold Occupation Invitational Competition S3
910,845,69.9446,211,123,43,383,22,0,55475,708,15,4,25715,55475,1,17,25,2792,5039554964,1569393143,false,21,399155036,Asian DOTA2 Gold Occupation Invitational Competition S3
908,305,41.2829,100,73,27,102,18,0,31431,527,9,16,28382,31431,2,18,25,2158,4928594135,1564214915,false,21,308143458,Betway Dota 2 Asia League - Season 2
904,4703,47.0671,277,200,85,345,16,0,41534,661,4,5,18544,41534,1,7,29,2333,5167105789,1577158050,true,21,203980597,Masters  Tournament
904,978,38.3491,284,171,69,336,7,0,20250,578,12,4,21039,20250,1,10,27,2511,5304608280,1584772980,true,21,1032889954,Asia Challenger league
904,75,67.0364,170,122,48,192,12,0,35746,484,7,7,31407,35816,1,15,26,2189,5143079482,1575610255,false,21,143810335,Asian DOTA2 Gold Occupation  Competition
890,880,48.2211,200,121,53,212,14,0,33125,481,20,9,28503,33125,1,2,26,2524,5225603321,1580784041,false,21,1025593488,RED STAR CUP
880,2263,52.594,221,127,51,276,16,0,39007,626,18,4,20021,39007,1,9,27,2286,5311034072,1585045992,false,21,377420354,RED STAR CUP
878,5388,58.3398,275,201,104,487,13,0,45067,692,8,9,30735,45067,1,5,30,2996,5232686819,1581164930,true,21,1058098132,ASIA CHALLENGER LEAGUE
870,2906,67.8427,156,100,37,262,20,0,41083,605,12,11,30169,41083,1,10,30,2808,5198679845,1579150959,true,21,1030564800,Masters  Tournament
869,1821,37.9984,242,142,54,277,21,0,42739,634,16,2,10662,42739,1,9,27,2102,5167503748,1577186369,true,21,399155036,Asian DOTA2 Gold Occupation  Competition
860,1694,83.3097,152,123,47,227,22,250,50306,553,22,11,31623,50306,1,11,28,2594,5197631719,1579077215,true,21,1014667163,Asian DOTA2 Gold Occupation  Competition
858,5850,100.08,182,137,48,217,24,0,45482,684,4,3,18200,45482,1,28,26,2160,5796115963,1611230665,true,21,372105535,DPC Winter 21 League (SEA) presented by PGL
858,426,24.6312,296,196,72,565,13,0,36041,638,14,8,37592,36041,1,7,25,3588,5108317901,1573440161,false,21,881188020,Masters  Tournament
855,2763,55.0243,193,117,57,245,20,0,67513,610,12,9,42571,67513,1,7,29,2742,5134302183,1575084061,true,21,377420354,Asian DOTA2 Gold Occupation  Competition
855,1631,52.1753,250,159,64,501,20,0,62400,733,4,6,33790,62400,1,12,25,3143,5109853489,1573552997,false,21,1025553404,Asian DOTA2 Gold Occupation  Competition
854,5560,34.9688,237,161,77,317,10,0,36284,549,19,8,23356,36284,2,16,25,2676,4853709363,1561052384,false,21,862893339,"Hardstyle Minor League "
851,2176,61.3796,221,135,50,285,13,0,28768,495,36,9,34331,28768,1,13,25,2693,5038099880,1569307429,false,21,1014766785,Asian DOTA2 Gold Occupation Invitational Competition S3
850,2699,44.265,155,128,51,178,20,0,31574,523,18,10,20948,31574,1,7,26,2142,5170402128,1577370470,false,21,1014766785,Asian DOTA2 Gold Occupation  Competition
850,2018,97.3021,187,101,39,295,13,0,45304,548,8,7,47143,45304,2,20,25,3551,4912505729,1563548556,false,21,899654571,DOTA 2 INDONESIA ONLINE PROFESSIONAL TOURNAMENT 2019
