xp_per_min,tower_damage,stuns,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,buybacks,assists,level,duration,match_id,start_time,win,hero_id,account_id,leaguename
968,852,26.1163,333,169,60,379,8,0,22224,736,1,4,27081,22224,1,7,26,1984,5814603238,1612261150,false,42,851507111,WCAA Spring Festival cup
957,11482,81.9693,355,167,52,592,16,0,52088,940,3,7,48253,52088,1,12,30,2717,5856612739,1614332972,false,42,182325064,"Moon Studio Asia "
936,9037,29.6065,359,197,68,494,9,0,33701,798,19,2,29431,33701,1,7,27,2443,5760209199,1609073863,false,42,148215639,虎牙DOTA2冬季邀请赛
933,9016,52.7807,415,250,94,611,4,48,32166,768,3,4,37463,32166,1,16,25,2661,4995431201,1567138190,false,42,283503694,Asian DOTA2 Gold Occupation Invitational Competition S3
926,9799,93.2153,333,202,63,491,11,1040,67889,743,2,7,54894,67889,1,19,25,2836,4993709435,1567060251,false,42,995062523,Asian DOTA2 Gold Occupation Invitational Competition S3
919,2165,42.561,337,265,71,359,8,364,27410,687,12,5,28093,27410,1,11,25,1946,5008181187,1567747910,false,42,178894154,ASIA CHALLENGER LEAGUE
912,5646,54.4176,281,168,46,291,8,59,27367,719,10,4,19959,27367,1,17,25,1858,4916707714,1563717768,true,42,355168766,redrain cup
882,1012,51.7815,248,142,49,271,9,500,28052,580,11,8,31474,28052,1,7,25,1913,5148722124,1575946871,false,42,114948754,Elite Cup Season 3
881,12819,81.8363,289,200,60,610,9,0,45075,708,4,6,70812,45075,2,12,29,3320,5777772877,1610125596,false,42,418319531,DPC Winter 21 Qualifier (CIS) presented by ESL One
878,4186,68.9471,270,142,46,384,13,817,33515,721,10,7,41664,33515,1,6,25,2418,4906277857,1563253263,false,42,182325064,Radiance Cup
876,4127,38.2213,375,232,88,417,4,323,22072,648,3,3,30760,22072,1,3,25,2115,5470302758,1592130212,false,42,1058156584,Masters  Tournament
867,13454,30.2024,344,190,69,462,10,0,26721,833,18,2,31334,26721,1,17,26,2222,5754459637,1608726593,true,42,148215639,虎牙DOTA2冬季邀请赛
865,9369,91.3691,241,135,54,470,13,1574,41200,825,14,4,41535,41200,1,14,25,2525,4937101681,1564543492,true,42,377420354,Asian DOTA2 Gold Occupation Invitational Competition S2
863,19765,96.5353,289,199,73,415,23,0,56669,830,3,4,41062,56669,1,24,29,2615,5776697453,1610060414,true,42,191290281,DPC Winter 21 Qualifier (SA) presented by OGA
862,6499,62.9744,260,166,65,320,8,409,25362,571,12,8,40982,25362,1,19,26,2289,5452837448,1591247060,false,42,908221052,Asian DOTA2 Gold Occupation  Competition
861,18289,34.1864,323,194,66,373,8,0,24543,809,3,1,23041,24543,1,20,25,1991,5855182532,1614254249,true,42,182325064,"Moon Studio Asia "
859,10763,40.5948,384,222,85,431,5,885,30284,777,13,5,29542,30284,1,14,25,2120,5091461314,1572408169,true,42,139771064,ASIA CHALLENGER LEAGUE
855,12792,162.933,248,120,50,595,31,1245,115197,799,18,7,107433,115197,2,24,25,4046,4930887344,1564297468,true,42,985702548,Betway Dota 2 Asia League - Season 2
855,9663,50.9267,311,193,59,401,12,4702,33527,802,12,2,33281,33527,1,13,25,2313,4722127158,1557044789,true,42,196331985,The Nationals - Conference 2
849,5593,25.2615,336,190,65,368,7,2823,12096,721,0,3,24258,12096,1,11,25,2040,5607715013,1599706554,true,42,981431954,Masters  Tournament
848,21609,55.7409,314,210,65,523,10,3295,30807,878,16,3,37875,30807,1,15,28,2600,5573152020,1597720934,true,42,86765434,LUMO Cup
847,12246,39.1627,307,180,56,358,6,280,20562,744,12,5,22849,20562,1,10,25,1994,5090283307,1572333094,true,42,144819522,ASIA CHALLENGER LEAGUE
838,4766,44.8193,328,168,30,391,9,2983,33316,572,3,6,42956,33316,1,11,27,2420,5384170530,1588076460,true,42,136318455,Asia Challenger league
837,21419,111.707,330,195,74,858,13,0,83626,843,6,3,115188,83626,1,16,30,4170,5829707304,1613073616,false,42,81475303,DPC Winter 21 League (NA) presented by BTS
836,5310,72.1791,173,91,36,273,11,425,28513,623,11,12,57227,28513,1,14,25,2514,4865298564,1561529889,false,42,466059441,redrain cup
836,4047,65.9274,271,141,33,582,13,4203,33784,787,16,7,40817,33784,1,21,25,2980,4925398467,1564078898,false,42,25273800,joinDOTA League #16
833,9530,56.3758,334,196,69,340,12,38,30546,817,11,2,24700,30546,1,16,24,1905,4798958313,1559297892,true,42,992810541,Feng Ye Professional Invitational Competition
832,4870,70.3601,288,142,31,541,11,0,38164,704,13,5,40246,38164,2,13,25,3173,4931035786,1564301743,false,42,150537827,Meister Division 2019
827,1103,45.0436,314,152,49,541,3,1781,30698,669,0,4,41119,30698,1,3,28,2816,5172417111,1577500397,false,42,1029387987,Masters  Tournament
822,5047,47.0784,252,136,41,380,6,1441,27519,697,17,5,32947,27519,1,11,25,2398,4889958868,1562512370,false,42,350446803,YouTube SIVVIT - Big Russian Show
820,5930,25.3837,329,169,57,455,8,1455,25002,685,10,3,23280,25002,1,6,25,2549,4929014248,1564227513,false,42,181092754,中国DOTA2发展联赛
816,16793,52.7292,312,187,61,422,14,1388,38225,802,20,3,36832,38225,1,16,25,2326,4931362249,1564311636,true,42,277742444,中国DOTA2发展联赛
812,11462,149.283,282,166,66,738,16,6490,66416,826,15,8,125925,66416,3,20,30,4299,5571930444,1597651464,true,42,1023568179,StarLuck Cup
810,6254,62.8277,336,166,61,640,7,0,52315,759,3,9,82379,52315,2,10,29,3496,5822079851,1612705218,false,42,898754153,DPC Winter 21 League (CN) presented by Perfect World
810,5290,32.8854,333,219,78,417,4,0,18011,624,2,2,20951,18011,1,1,25,2250,5859289071,1614446922,false,42,1151133490,سایبرکاپ
809,8026,93.5478,225,163,59,384,13,1376,59619,722,16,6,52279,59619,2,18,25,2915,4757318890,1558026296,true,42,108452107,EPICENTER Major 2019
809,4925,148.632,284,180,45,968,8,3098,57026,777,18,7,123834,57026,4,21,25,4790,4965219831,1565712529,false,42,52406002,Loot.bet/dota Season 1
808,2787,60.3718,269,150,56,423,9,2965,30547,678,4,3,29262,30547,1,9,26,2345,5166450646,1577111227,false,42,191364625,Asian DOTA2 Gold Occupation  Competition
807,7698,111.571,331,177,64,846,10,5547,67212,881,2,9,116500,67212,1,10,30,3780,5147923575,1575893912,false,42,432546468,ASIA CHALLENGER LEAGUE
806,1977,68.7246,335,181,53,692,7,165,40461,785,4,5,48163,40461,1,17,30,2986,5257417867,1582464471,false,42,1058156584,Asia Challenger league
803,722,35.4508,279,168,70,284,5,1852,14344,574,1,6,27801,14424,1,7,24,1991,5590298034,1598700072,false,42,1042041719,Asia Challenger league
802,12166,76.4236,305,198,54,494,11,3511,25664,668,7,4,69168,25664,1,9,27,3078,5623570939,1600624153,false,42,164962869,AMD SAPPHIRE OGA DOTA PIT EU/CIS
802,5038,122.057,264,166,52,530,10,6448,41058,726,4,9,65837,41058,1,15,25,3132,5098615002,1572829586,false,42,171794969,Dotabuff Reach - Pinnacle Division
